"w","period","period_label","ratio_mean","ratio_median","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid"
1.45821154906901e-05,"pre_krill","Pre-Krill Fishing (1964-1973)",4.87812202496417,0.996462035940928,0.971362983072232,0.981534212267725,1.00626165202502,1.05870683730223,2111
2.0917792907584e-05,"pre_krill","Pre-Krill Fishing (1964-1973)",4.38429731789441,0.9970301847072,0.971961448331017,0.981990051130434,1.0075719724287,1.05849975902366,2111
3.00062127750894e-05,"pre_krill","Pre-Krill Fishing (1964-1973)",4.10479976363235,0.997626823977334,0.974077236515387,0.98292885113541,1.00893195068321,1.05887885122577,2111
4.30433941612213e-05,"pre_krill","Pre-Krill Fishing (1964-1973)",4.00413078800998,0.998828233475777,0.977017722060532,0.985183123246313,1.0106307565797,1.05904967794483,2111
6.17450057694841e-05,"pre_krill","Pre-Krill Fishing (1964-1973)",3.55778721886299,1.00110587777792,0.981478102605787,0.988287417526238,1.01257236662653,1.06000643549419,2111
8.85721447336123e-05,"pre_krill","Pre-Krill Fishing (1964-1973)",3.15076459473403,1.00320742020399,0.985865615970176,0.992376473777433,1.01541525389123,1.06470595353853,2111
0.000127055212400501,"pre_krill","Pre-Krill Fishing (1964-1973)",2.80631930835231,1.00593310811351,0.990119564502521,0.997461827431235,1.0205413309034,1.06868174243348,2111
0.000182258508549024,"pre_krill","Pre-Krill Fishing (1964-1973)",2.51237969660297,1.00901189737676,0.994712524054247,1.00155818765271,1.0272615303924,1.07420673598485,2111
0.000261446683775594,"pre_krill","Pre-Krill Fishing (1964-1973)",2.25728716100148,1.01194608163824,0.997877204737559,1.00482544541898,1.03332863171825,1.08078332200622,2111
0.000375040753934783,"pre_krill","Pre-Krill Fishing (1964-1973)",2.03129197349985,1.01656801777856,1.00038514314344,1.00656255574033,1.03785590409178,1.08435519019924,2111
0.000537989486348578,"pre_krill","Pre-Krill Fishing (1964-1973)",1.82694330119246,1.02082107492185,1.00159985521705,1.00673246848481,1.04138305290441,1.08618200002526,2111
0.000771736629646219,"pre_krill","Pre-Krill Fishing (1964-1973)",1.63953256022733,1.02342655059675,1.00028555915737,1.00674192962208,1.04347969405314,1.08697304232031,2111
0.00110704287100476,"pre_krill","Pre-Krill Fishing (1964-1973)",1.46725322775917,1.0238879827339,0.996091934144975,1.00669816299051,1.04343309733841,1.08086932028366,2111
0.00158803388508885,"pre_krill","Pre-Krill Fishing (1964-1973)",1.30952605652134,1.02260854605716,0.989218803473277,1.00609148944837,1.04091850565987,1.06722784473854,2111
0.00227800719036431,"pre_krill","Pre-Krill Fishing (1964-1973)",1.17229566258047,1.01811373760582,0.978808848290344,1.00271736396139,1.03106828269432,1.0535982234236,2111
0.00326776198422312,"pre_krill","Pre-Krill Fishing (1964-1973)",1.06020039229366,1.0065459899945,0.967127656582563,0.998185153104635,1.01481495713349,1.03828786105623,2111
0.0046875481476536,"pre_krill","Pre-Krill Fishing (1964-1973)",0.999282286733715,0.996734412470405,0.977523463037945,0.988152036022489,1.00719001486164,1.02280080937673,2111
0.00672420688613729,"pre_krill","Pre-Krill Fishing (1964-1973)",0.995500039858183,0.993819662564886,0.973018581976001,0.984237210640011,1.00446369639505,1.01935494426371,2111
0.00964575868307804,"pre_krill","Pre-Krill Fishing (1964-1973)",0.992375066985644,0.991473885593077,0.969735181123279,0.980279934158426,1.0023135538397,1.01669356580679,2111
0.0138366742944791,"pre_krill","Pre-Krill Fishing (1964-1973)",0.989639529524786,0.988777470274662,0.966732011997921,0.976885918118862,1.00026533412191,1.01321916676972,2111
