"w","n_mean","n_median","n_q05","n_q95"
6.38046383815689,3116181600.43099,3037308070.42191,2323443827.25755,4109942229.97959
9.15266521555844,2576417851.35607,2550204716.75185,1870005419.51186,3328478500.73589
13.1293402287023,2288854816.29991,2310624643.22014,1479869883.68957,3015531997.40494
18.8338118767848,2268594323.28157,2284507265.37,1070959394.81238,3303270522.43522
27.0167779668531,2318039962.81402,1770425052.5847,524853665.814538,4801824799.21282
38.7551015421336,156532117.362063,146442598.942082,117355948.043868,232617627.285279
55.5935240458296,122145797.967925,116589002.1773,93653406.138321,169924937.963633
79.747950407875,109404234.85721,105582250.136903,86095150.9677083,139447650.322047
114.397057992117,86335104.4073065,84506658.4820735,65005643.4162045,107940144.670409
164.100604596346,67516399.8044883,66867491.8886767,41147231.1098204,90963759.2052885
235.399484056154,59256057.5528516,53373549.7503399,23555376.7792398,100497026.295669
337.676495648558,14868051.8459716,14331902.336087,6876882.87503696,22676453.9286338
484.391102940098,7617849.11004628,6935480.97000962,2522945.82455473,14043210.0855285
694.850674036028,2864216.47264471,2415408.82515612,981986.147806698,5650373.47382772
996.751295136877,718482.042442359,713348.415694519,511257.107969841,870506.325697773
1429.82252371756,679680.405797349,673698.247849733,484755.28754554,822524.447339861
2051.05572403526,804689.393336829,797572.454909675,560179.309797001,982079.929630457
2942.20402414699,634917.521892013,626929.368573112,398745.560248845,816455.257022592
4220.54087476266,1128.92170472773,1133.29943748303,989.435478725382,1229.7654925904
6054.29301617067,2374.64553034173,2427.27748022002,1335.92345888851,2806.52636589685
8684.77880283868,178.601887663226,179.458858867875,125.003117665598,222.027236977372
12458.1652478298,161.840508704811,162.035118939486,119.925449302203,202.373297062388
17871.0229547244,224.30789492022,220.920590056905,177.232473798016,292.261414276001
25635.6738809449,477.595588641332,432.438895539508,306.111927452254,972.450184378098
36773.9315760001,19.7700279789425,20.1363600774082,8.32135311594724,26.4545807308236
52751.5699347979,15.5995749870819,15.9170925469196,6.67371805784744,20.9388682851172
75671.2163026369,13.4246909229939,13.7057603377607,5.7619432537082,18.1650633995437
108549.05330397,14.1784061647802,14.4446262748595,6.06898764529707,19.3492772826882
155711.742838438,62.2064815217636,63.5297873625968,18.2224274732885,92.4124748170845
223365.806700198,19.0509134138931,18.7543682474863,2.08262387991151,35.4316219247903
320414.393245838,0.0218058022144837,0.0204846049332937,0.0189788200428285,0.0324133452441084
459628.91507784,0.0506026630584811,0.050517488205896,0.0352126247825716,0.0651906551700199
659329.743072884,0.0163505947772645,0.0152278140650394,0.0138025282837722,0.027116294157941
945797.132947857,0.022168187254465,0.02052569743495,0.0183290573434666,0.0379652021043421
1356729.65779355,0.52933941644495,0.496487698801542,0.218007273080908,0.958990047163923
1946205.26983358,0.000483155144629131,0.000451771319908544,0.000355571566668744,0.000843137727484682
2791797.85786357,0.0118406657326308,0.00515859174031876,0.00193276242674218,0.0369378061336571
4004785.82602855,4.84179701772308e-05,4.4860655705188e-05,3.55673330911831e-05,7.37891476214931e-05
5744796.12382558,9.16647695475982e-05,8.63362184599495e-05,6.21261908582315e-05,0.000142942719900218
8240810.85430961,0.0171011588597233,0.000197282129061585,6.85368472062689e-05,0.0226314928239753
11821300.8908807,0.000124891817637626,0.000123083813594654,5.28677986102352e-05,0.000208242799519728
16957452.0303007,3.68689126789504e-07,3.58994862620355e-07,2.85005866557953e-07,5.27629519655817e-07
24325172.1628858,3.05383200485902e-07,2.90357832381512e-07,2.26660211489245e-07,4.77008919680367e-07
34894039.487579,3.7256125281181e-07,3.63719859395098e-07,2.29286299336499e-07,5.75114175583031e-07
50054897.1907571,4.26622096556257e-05,1.09259699464049e-06,3.62871942162905e-07,9.50485507571924e-05
71802885.8100286,3.65803652013678e-07,3.39149884463429e-07,2.95520690351325e-07,6.98063917936012e-07
103000000.000001,0.000385218504134915,0.000108503637553926,2.24218972463851e-06,0.00210045635369696
