"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1891,2111,21298390624.8335,29137642113.3299,25361194272.2319,2337174128.19977,10529863822.9714,41158518568.024,77681011558.8926,0.00109222516024787,0.00149423805709384,21298.3906248335,29137.6421133299
1892,2111,21473894071.5629,29271039982.5848,25277746128.387,2380232875.21106,10714113640.8857,41201829900.8071,77571748512.8382,0.00110122533700323,0.00150107897346589,21473.8940715629,29271.0399825848
1893,2111,21748083462.8047,29478573784.6069,25258853146.4302,2449615362.24615,10899757675.5298,41379991672.8568,77619930878.609,0.00111528633142588,0.00151172173254394,21748.0834628047,29478.5737846069
1894,2111,21586369426.3741,29209759912.3889,24993989251.7195,2418320617.02137,10813142641.8726,41126320490.643,76927974057.1472,0.00110699330391662,0.00149793640576354,21586.3694263741,29209.7599123889
1895,2111,21398026638.8444,29022770700.5844,24912898001.5836,2384391210.35637,10690223712.4307,40933404078.0562,76736005766.5558,0.00109733469942792,0.00148834721541458,21398.0266388444,29022.7707005844
1896,2111,21261835499.9825,28854943973.191,24821680605.5629,2347583528.93298,10561413624.4702,40826831718.6718,76374877512.6018,0.00109035053846064,0.0014797407165739,21261.8354999825,28854.943973191
1897,2111,21182680107.9225,28999211867.6338,25171583711.1436,2311830430.11033,10445369140.5378,41034205331.0091,77377955548.4276,0.00108629128758577,0.00148713907013506,21182.6801079225,28999.2118676338
1898,2111,21292426742.6448,29369980993.4919,25733269657.565,2303605620.08899,10371767527.4395,41558178871.0816,78997939631.6069,0.00109191932013563,0.00150615287146112,21292.4267426448,29369.9809934919
1899,2111,20916322486.473,29101008700.9363,25717518683.2228,2221302744.4182,10130290765.3467,41294921603.9699,78522784727.7242,0.00107263192238323,0.00149235942056084,20916.322486473,29101.0087009363
1900,2111,20920364377.8221,28841279789.8784,25341180270.1264,2212546447.51055,10174076069.5996,41074705672.5337,77641930778.7529,0.00107283919886267,0.00147903998922453,20920.3643778221,28841.2797898784
1901,2111,21426704089.8556,29491905408.876,25905081769.6232,2212431121.60933,10340910903.1768,41966104621.384,79322739861.9437,0.00109880533794131,0.00151240540558338,21426.7040898556,29491.905408876
