"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1860,2111,40126017115.2897,48183444031.3895,32562988107.6575,10211852457.4855,25814169229.1777,65086487092.8253,105321124012.293,0.00205774446745075,0.00247094584776356,40126.0171152897,48183.4440313894
1861,2111,41087605257.1871,49274293193.7413,33257928073.6627,10260061013.574,26342475114.7877,66400630422.7915,107743250642.288,0.00210705667985575,0.00252688683044827,41087.6052571871,49274.2931937413
1862,2111,40882685841.1282,48941016099.6561,32677239541.8916,10416777454.0892,26439951071.5987,65920880773.5135,106747308899.752,0.00209654799185273,0.00250979569741826,40882.6858411282,48941.0160996561
1863,2111,41568310483.103,49450957276.8882,32637206859.9596,10539154220.0389,27034940144.89,66530683983.8174,107154030563.795,0.00213170822990272,0.00253594652701991,41568.310483103,49450.9572768881
1864,2111,41470942176.7119,49135706944.817,32280960783.5681,10529671072.9568,26925884292.2058,66022038885.0621,106170098989.477,0.00212671498342113,0.00251977984332395,41470.9421767119,49135.706944817
1865,2111,41159150849.8433,49040416347.7765,32533960447.8365,10329456300.2517,26470740920.1889,65970463759.4432,107314956878.411,0.00211072568460735,0.00251489314603982,41159.1508498433,49040.4163477765
1866,2111,39867294649.0663,47587739641.4014,31567773793.1121,10159161625.8574,25696800649.6394,64131064977.6695,104059454416.973,0.00204447664867007,0.00244039690468725,39867.2946490663,47587.7396414014
1867,2111,39736464206.6825,47512295562.6018,31761780980.7782,10030185053.8163,25493512195.8638,64033604444.3924,104736129668.966,0.00203776739521449,0.00243652797756932,39736.4642066825,47512.2955626018
1868,2111,39719400004.7719,47617341711.8813,31769648111.5375,10122210472.7019,25615826098.6845,63912745030.3344,104720540853.587,0.00203689230793702,0.00244191495958365,39719.4000047719,47617.3417118813
1869,2111,39768491693.6331,47804981215.786,31704278160.4145,10139079644.4977,25956002798.117,64366159351.7943,104862469117.47,0.00203940983044272,0.00245153749824544,39768.4916936331,47804.981215786
1870,2111,40446157940.1382,48338317351.6142,32009113371.8202,10232973663.7192,26226973959.4529,65019197792.7872,105729962900.625,0.00207416194564811,0.00247888806931355,40446.1579401382,48338.3173516142
1871,2111,40190489363.401,47960929405.5867,31622703114.2343,10228211994.9529,26107844595.3681,64622584962.4592,104730432295.728,0.00206105073658467,0.00245953484131214,40190.489363401,47960.9294055867
1872,2111,40477534404.8286,48268236669.1006,31577641764.2472,10333927288.3537,26449910146.8141,65004163114.2216,105022918451.368,0.00207577099511941,0.002475294188159,40477.5344048286,48268.2366691006
1873,2111,40927103365.7537,48577748377.196,31593412038.8037,10333261369.8055,26731753788.5854,65242515455.9726,105344810416.405,0.0020988258136284,0.00249116658344595,40927.1033657537,48577.748377196
1874,2111,40526414246.3271,47975806440.0495,31203349715.4636,10235073780.9561,26354620116.7716,64368900398.0917,104233560436.348,0.0020782776536578,0.00246029776615638,40526.4142463271,47975.8064400495
1875,2111,40153804624.7971,47631053522.3921,31050395840.3704,10190817295.1197,26046314870.3331,63873598476.6372,103732766035.942,0.00205916946793831,0.00244261812935344,40153.804624797,47631.0535223921
1876,2111,39962680377.7952,47393544883.1043,30896846752.4272,10156191859.2655,25964100070.5547,63613067193.0284,103093333588.524,0.00204936822450232,0.00243043819913355,39962.6803777952,47393.5448831043
1877,2111,39978622099.8573,47574261098.7813,31264025480.4838,10090157526.8646,25824559902.4796,63883999734.9567,103566850597.846,0.00205018574871063,0.0024397056973734,39978.6220998573,47574.2610987813
