"year","prey","n_sims","median","mean","sd","q05","q25","q75","q95"
1896,"mesozooplankton",2111,2.52601692894923e-16,2.96444471423957e-16,2.24207990888352e-16,3.03839344608985e-17,1.23530713577588e-16,4.07702400298316e-16,7.34812413619865e-16
1896,"minke whales",2111,0,0,0,0,0,0,0
1896,"orca",2111,1.43960037529666e-19,2.19683192814748e-19,3.12853086076808e-19,3.30977563320873e-21,4.54505507994749e-20,3.00830384211431e-19,6.46108723692203e-19
1896,"other krill",2111,0.000389672476025399,0.00174465496426534,0.00376688735168585,4.01201934472655e-06,7.58012498097944e-05,0.00160100375917542,0.00841718919492129
1896,"other macrozooplankton",2111,0.000925913276828009,0.00147427338868408,0.00197199307215774,1.0786179661569e-05,0.000190475522983933,0.00199107395080783,0.00443452015586554
1896,"salps",2111,0.0509193408960818,0.0630543780227674,0.0450403471531864,0.00892171649235314,0.0270244765446204,0.0933352777856072,0.150462584517926
1896,"shelf and coastal fishes",2111,0.0131392938789551,0.0116170159704564,0.00636268649522547,0.000175159189518343,0.00727647320187739,0.0165241086900929,0.0199891918516626
1896,"small divers",2111,0,0,0,0,0,0,0
1896,"sperm whales",2111,0,0,0,0,0,0,0
1896,"squids",2111,8.01463661510906e-06,7.17006435091612e-06,3.92224672350145e-06,8.77471143808932e-08,4.59394738723718e-06,1.03638120747029e-05,1.22178361271436e-05
1896,"toothfishes",2111,4.41201332896423e-05,3.80998145373734e-05,2.0416063672692e-05,7.53237902990166e-07,2.32902846921197e-05,5.37231061192406e-05,6.27261375469995e-05
1901,"External",2111,0,0,0,0,0,0,0
1901,"Resource",2111,0.72074311682872,0.728692794936217,0.0932010676147464,0.586038773727131,0.657755016214631,0.794317152871575,0.882469057811134
1901,"antarctic krill",2111,0.0407074002916387,0.0720972972595618,0.0816374645649733,0.0016308125114058,0.0121968839196203,0.102856452735214,0.257090760009751
1901,"baleen whales",2111,0,0,0,0,0,0,0
1901,"bathypelagic fishes",2111,0.0657414360819017,0.0668272313546682,0.0430104610463274,0.00182089310304761,0.0353248653760359,0.0971276203033302,0.139156271525552
1901,"flying birds",2111,0,0,0,0,0,0,0
1901,"large divers",2111,0,0,0,0,0,0,0
1901,"leopard seals",2111,4.58341852855371e-20,6.42009379252273e-20,6.49307410703461e-20,5.42187102210006e-22,9.78825594387307e-21,9.76422266504752e-20,1.93366932588678e-19
1901,"medium divers",2111,0,0,0,0,0,0,0
1901,"mesopelagic fishes",2111,0.0498805320788014,0.0523730645380957,0.0366683017605967,0.0022556719194894,0.0207726627562039,0.0772842972599174,0.116999511455201
1901,"mesozooplankton",2111,2.50597447395124e-16,3.1090259471864e-16,2.52693598703793e-16,3.13280591298593e-17,1.14689061107883e-16,4.37127411221904e-16,7.98723666703351e-16
1901,"minke whales",2111,0,0,0,0,0,0,0
1901,"orca",2111,1.63697838325332e-19,2.42578407835427e-19,4.10955283020403e-19,3.67897727193226e-21,5.37731045863159e-20,3.2084144972209e-19,7.00911714353354e-19
1901,"other krill",2111,0.000435565367140077,0.00188465458585951,0.00403055873424581,4.44164607983755e-06,8.12274615965376e-05,0.00176885988262353,0.00905542245066728
1901,"other macrozooplankton",2111,0.000945251934133329,0.0015512047435947,0.0021026655691659,1.11117317863038e-05,0.000198428222595947,0.00208926729675823,0.00460756324562303
1901,"salps",2111,0.0512655270125488,0.0647222845597241,0.0469584447123618,0.00902532587413192,0.027568503535743,0.0957305853769233,0.155503707480648
1901,"shelf and coastal fishes",2111,0.0132995181495069,0.0118039712201051,0.00646035812707304,0.000181022597477019,0.00741183816904245,0.0167444227024979,0.0205451922548328
1901,"small divers",2111,0,0,0,0,0,0,0
1901,"sperm whales",2111,0,0,0,0,0,0,0
1901,"squids",2111,8.47671639852601e-06,7.63098375228374e-06,4.17728240488195e-06,9.43435744632947e-08,4.86011051986141e-06,1.1004044123981e-05,1.30134063843671e-05
1901,"toothfishes",2111,4.61698166712227e-05,3.98658184218128e-05,2.13942618913662e-05,8.01367669226777e-07,2.41077665640462e-05,5.61482105559541e-05,6.5891792530825e-05
1906,"External",2111,0,0,0,0,0,0,0
1906,"Resource",2111,0.726995813971135,0.735525564436143,0.0893330751325409,0.599324119511988,0.667222571783384,0.797771562072788,0.882747684083399
1906,"antarctic krill",2111,0.0392949485803296,0.069282919312362,0.0778603454769094,0.00159960539591358,0.0119806995343699,0.0994494346789362,0.243961962479602
1906,"baleen whales",2111,0,0,0,0,0,0,0
1906,"bathypelagic fishes",2111,0.0650776753470516,0.0657517561471088,0.0418851091181818,0.00169972774289083,0.0354909656568355,0.0953336837932793,0.135646164950573
1906,"flying birds",2111,0,0,0,0,0,0,0
1906,"large divers",2111,0,0,0,0,0,0,0
1906,"leopard seals",2111,4.54365354647037e-20,6.12631442658167e-20,6.19765180130859e-20,4.49402719455775e-22,9.20742680015791e-21,9.41265234547093e-20,1.78187278097237e-19
1906,"medium divers",2111,0,0,0,0,0,0,0
1906,"mesopelagic fishes",2111,0.0494857002571335,0.0513702328206677,0.0355822796112176,0.00216019709948484,0.0208065721348384,0.0759197690699185,0.114088695195426
1906,"mesozooplankton",2111,2.60836886755188e-16,3.10745267518324e-16,2.42931530274333e-16,3.19554387503357e-17,1.25032881137044e-16,4.29808531486254e-16,7.90105131121655e-16
1906,"minke whales",2111,0,0,0,0,0,0,0
1906,"orca",2111,1.40485886645466e-19,2.27421740465061e-19,5.87944945987712e-19,2.81662555789744e-21,4.61519753592121e-20,3.05080352870144e-19,6.39114035054282e-19
1906,"other krill",2111,0.000388802279048332,0.00175561387849546,0.00378171972434149,4.07413237305719e-06,7.54570924261038e-05,0.0015944791585881,0.00851146909640055
1906,"other macrozooplankton",2111,0.000892421742838433,0.00144373187152608,0.00194338319395721,1.00274978483033e-05,0.000189289762955635,0.00193127489751143,0.00436969723439751
1906,"salps",2111,0.0509568660323191,0.0632141577205868,0.0451365856613596,0.00893884366456386,0.0271880486483478,0.0931777273627317,0.150816198341216
1906,"shelf and coastal fishes",2111,0.0130681075405693,0.0116106435884003,0.00634065180189228,0.000177225126464478,0.00728956586306323,0.0164820395924,0.0200304686283371
1906,"small divers",2111,0,0,0,0,0,0,0
1906,"sperm whales",2111,0,0,0,0,0,0,0
1906,"squids",2111,8.03719946341042e-06,7.22669355237319e-06,3.94014937798791e-06,8.96254826633013e-08,4.63980632502232e-06,1.04109059834495e-05,1.23072343942784e-05
1906,"toothfishes",2111,4.42328236628307e-05,3.81535311567302e-05,2.03715038595707e-05,7.61477981901169e-07,2.35223303289735e-05,5.37248037733383e-05,6.27406123152819e-05
1911,"External",2111,0,0,0,0,0,0,0
1911,"Resource",2111,0.725044723260099,0.733168694034883,0.0897267747235027,0.597322748809932,0.665236830924771,0.795211727639102,0.881744211762298
1911,"antarctic krill",2111,0.0395962406105337,0.070168870391741,0.0795263932464538,0.00158028388187595,0.0120320578391413,0.100793382605973,0.247692924544073
1911,"baleen whales",2111,0,0,0,0,0,0,0
1911,"bathypelagic fishes",2111,0.0658416362220877,0.0658823596544588,0.0417509191607138,0.00173462512581499,0.0357324996382227,0.0955220749611429,0.135148414931059
1911,"flying birds",2111,0,0,0,0,0,0,0
1911,"large divers",2111,0,0,0,0,0,0,0
1911,"leopard seals",2111,4.47835782501912e-20,6.09569134958567e-20,6.20648277041154e-20,3.33064642469063e-22,8.60441093277695e-21,9.34233784135899e-20,1.79745309390585e-19
1911,"medium divers",2111,0,0,0,0,0,0,0
1911,"mesopelagic fishes",2111,0.0502574760700685,0.0518314973248866,0.035628403688329,0.00222273252878466,0.0210912417782363,0.0768077595738286,0.113682945902621
1911,"mesozooplankton",2111,2.65982624410037e-16,3.18247083358967e-16,2.50413165631937e-16,3.27877058883055e-17,1.26379035618964e-16,4.4438148009392e-16,8.12715825055318e-16
1911,"minke whales",2111,0,0,0,0,0,0,0
1911,"orca",2111,1.47165876002209e-19,2.1530744400084e-19,2.65028084428087e-19,3.12649544795732e-21,4.48846356019047e-20,2.92098300144686e-19,6.55464375150244e-19
1911,"other krill",2111,0.000408205805769702,0.00178588805761999,0.003797587577509,4.32101894188672e-06,7.89745507010853e-05,0.00167526722258026,0.0086441915303711
1911,"other macrozooplankton",2111,0.00094396419620093,0.00149925241264382,0.00200636303279619,1.03237584737589e-05,0.000198348780192223,0.00201642228132478,0.00447212432164075
1911,"salps",2111,0.0516254945077795,0.0639916817582807,0.0455082107352693,0.00915713187891464,0.0278900238758596,0.0945056798503517,0.151526082131179
1911,"shelf and coastal fishes",2111,0.0130699209242915,0.0116259401853026,0.00632958280101416,0.000179224588517333,0.00734008986229212,0.0164614794881283,0.0200388974731524
1911,"small divers",2111,0,0,0,0,0,0,0
1911,"sperm whales",2111,0,0,0,0,0,0,0
1911,"squids",2111,8.1353161081362e-06,7.30939784464622e-06,3.97307731609536e-06,9.1270106847518e-08,4.72616147528513e-06,1.05290133795117e-05,1.24248488066471e-05
1911,"toothfishes",2111,4.46276025088e-05,3.85067823381758e-05,2.04879875580558e-05,7.69724212140699e-07,2.38884825266895e-05,5.40525179364497e-05,6.29120141556798e-05
1916,"External",2111,0,0,0,0,0,0,0
1916,"Resource",2111,0.725028658000483,0.733583315493485,0.0887440962865518,0.60009477582028,0.667119851371016,0.793781119805512,0.88080273597249
1916,"antarctic krill",2111,0.0392433439881244,0.0698809600759273,0.0798515541295641,0.00156903937896087,0.0122343767291125,0.100045593653826,0.24589565296576
1916,"baleen whales",2111,0,0,0,0,0,0,0
1916,"bathypelagic fishes",2111,0.0660454636228095,0.0661403569013254,0.0415942221081474,0.00171943217273284,0.0361665558833006,0.0952692346367898,0.135016607143665
1916,"flying birds",2111,0,0,0,0,0,0,0
1916,"large divers",2111,0,0,0,0,0,0,0
1916,"leopard seals",2111,4.109643687124e-20,5.743898833687e-20,5.85326503396069e-20,3.10497074694304e-22,8.66222655075635e-21,8.70008973981934e-20,1.750201086164e-19
1916,"medium divers",2111,0,0,0,0,0,0,0
1916,"mesopelagic fishes",2111,0.0505068600615273,0.0520216428687909,0.0355071683757493,0.00220803245786795,0.0214180948720658,0.0765722970403335,0.113893243022592
1916,"mesozooplankton",2111,2.42168373629776e-16,2.9820128510949e-16,2.34627010155635e-16,2.89099203177393e-17,1.13804574598446e-16,4.26843901129428e-16,7.36425261811816e-16
1916,"minke whales",2111,0,0,0,0,0,0,0
1916,"orca",2111,1.46392142546399e-19,2.18690538172065e-19,3.56466381164055e-19,2.89131988366291e-21,4.1835512496426e-20,2.9053902616771e-19,6.61966690440303e-19
1916,"other krill",2111,0.000401270603525336,0.00177291349122593,0.00378203356773965,4.27849759392462e-06,7.89489479601616e-05,0.00163581210595659,0.00854471432009416
1916,"other macrozooplankton",2111,0.000956409911774393,0.00150575223461634,0.00200792595265817,1.0203805637727e-05,0.000198145011618019,0.00202828659383284,0.00447022694698805
1916,"salps",2111,0.0514205146379881,0.0634050396981097,0.0449681377589174,0.00918727669501582,0.0274463337255727,0.093704538739409,0.150020482084966
1916,"shelf and coastal fishes",2111,0.013113651285411,0.011644565636955,0.0063344489743576,0.000179414143617169,0.00741614988478757,0.0165108137289952,0.0200043347309265
1916,"small divers",2111,0,0,0,0,0,0,0
1916,"sperm whales",2111,0,0,0,0,0,0,0
1916,"squids",2111,7.986799488335e-06,7.18358887987144e-06,3.89497563483126e-06,9.0106101957256e-08,4.66637726051901e-06,1.03235518931332e-05,1.21946129937172e-05
1916,"toothfishes",2111,4.43335710848857e-05,3.82700106844818e-05,2.03315684726657e-05,7.6592897330278e-07,2.37571715433632e-05,5.35762565775238e-05,6.26286146326843e-05
1921,"External",2111,0,0,0,0,0,0,0
1921,"Resource",2111,0.718360317684883,0.726287467123421,0.0927205321974604,0.586139360722557,0.656757070632008,0.790557418808577,0.878924859970592
1921,"antarctic krill",2111,0.0410325437968267,0.0731539631608754,0.0844106542434082,0.0015635211627063,0.0123079404299081,0.103549883797145,0.258473851050971
1921,"baleen whales",2111,0,0,0,0,0,0,0
1921,"bathypelagic fishes",2111,0.0670120625176386,0.0673310954356698,0.0428469314292425,0.00181293835684256,0.0360856387426599,0.0971487469565283,0.139060199727545
1921,"flying birds",2111,0,0,0,0,0,0,0
1921,"large divers",2111,0,0,0,0,0,0,0
1921,"leopard seals",2111,4.86667542892893e-20,6.6535561278455e-20,6.97554732466812e-20,5.23472856658219e-22,1.05456215586907e-20,1.01155379961384e-19,1.93223441698479e-19
1921,"medium divers",2111,0,0,0,0,0,0,0
1921,"mesopelagic fishes",2111,0.0506486222016865,0.0527686606535006,0.0366405925900495,0.00227632239449975,0.0215422483134737,0.0778880939413583,0.117126074760459
1921,"mesozooplankton",2111,2.53355593107155e-16,3.06537129847649e-16,2.45804593826659e-16,3.14198997905957e-17,1.15793065902244e-16,4.25083019161414e-16,7.80410886319647e-16
1921,"minke whales",2111,0,0,0,0,0,0,0
1921,"orca",2111,1.63737433115736e-19,2.28880511044801e-19,2.67843478203726e-19,3.38843554498097e-21,5.0116937254515e-20,3.13013598724344e-19,6.86897442815013e-19
1921,"other krill",2111,0.000446005416400213,0.00191497411836224,0.00404667937956632,4.7089791717642e-06,8.4824788631012e-05,0.00181477664999294,0.00927448812160159
1921,"other macrozooplankton",2111,0.000970333332331454,0.0015842354227309,0.00214114962238254,1.05805312418558e-05,0.000205641309560809,0.0021442861358773,0.00466981464347458
1921,"salps",2111,0.0519546881190356,0.0650804593616801,0.0468926608960602,0.00915857682111633,0.0280384657345884,0.0966762622062615,0.155087855837109
1921,"shelf and coastal fishes",2111,0.0132601084454805,0.0118314543275295,0.00643043565698375,0.000185432011162801,0.00757307072663695,0.0167434618065556,0.0204833878409152
1921,"small divers",2111,0,0,0,0,0,0,0
1921,"sperm whales",2111,0,0,0,0,0,0,0
1921,"squids",2111,8.46458866968967e-06,7.64551201787036e-06,4.14887969013772e-06,9.68942550165227e-08,4.99037249298512e-06,1.09767303665508e-05,1.29995597154164e-05
1921,"toothfishes",2111,4.6302367141903e-05,4.00448842117405e-05,2.13014607992886e-05,8.13152271126109e-07,2.45412481304899e-05,5.60146229468327e-05,6.5839236402883e-05
1926,"External",2111,0,0,0,0,0,0,0
1926,"Resource",2111,0.724836969882389,0.732909517916166,0.089570162381595,0.598555091641978,0.666252740496977,0.793305806590795,0.880554970048165
1926,"antarctic krill",2111,0.0395056371401736,0.070577342280104,0.0820314191552506,0.00154257516425132,0.0121752212128249,0.100687219232302,0.248373264476942
1926,"baleen whales",2111,0,0,0,0,0,0,0
1926,"bathypelagic fishes",2111,0.0663850537678035,0.0662490815133653,0.0417270999476097,0.0017070965672339,0.036055358090787,0.095475672522578,0.135507224479626
1926,"flying birds",2111,0,0,0,0,0,0,0
1926,"large divers",2111,0,0,0,0,0,0,0
1926,"leopard seals",2111,4.47718617766565e-20,5.98898669808893e-20,6.19860862012862e-20,3.10142418726012e-22,9.14084649335004e-21,8.99217886257103e-20,1.76825536580812e-19
1926,"medium divers",2111,0,0,0,0,0,0,0
1926,"mesopelagic fishes",2111,0.0499068324367651,0.0517600417849632,0.0355551815318249,0.00218384799790777,0.0215866406300272,0.076410691793096,0.113880433591319
1926,"mesozooplankton",2111,2.54890357811453e-16,3.05803203858259e-16,2.35812988439024e-16,3.02038735083663e-17,1.2431420477374e-16,4.24740156145741e-16,7.71500763545996e-16
1926,"minke whales",2111,0,0,0,0,0,0,0
1926,"orca",2111,1.36894953504586e-19,2.2360426128677e-19,5.06559019748546e-19,3.22311766117507e-21,4.29145862012336e-20,2.99326032644831e-19,6.20450276198741e-19
1926,"other krill",2111,0.000401907009692097,0.00178342290836199,0.00379506702391625,4.35227663330227e-06,7.91877688702588e-05,0.00163412689483185,0.00862788509924609
1926,"other macrozooplankton",2111,0.00092823205674045,0.00147370296282807,0.00197652873042881,1.02418589900107e-05,0.000196366123283128,0.00196256415903898,0.00444508609014937
1926,"salps",2111,0.0516117545418261,0.0635626591128335,0.0450696325799173,0.00906874340378724,0.0276381332293543,0.0940678038585305,0.149988112699252
