"year","predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","scenario"
1841,"other krill","other krill",37256293.2540233,10010750.1392259,109338162.296167,1613129.86356901,516133918.886305,"fishing"
1841,"other krill","other macrozooplankton",38589549.4497912,6299587.53108533,156615692.893449,593195.422624622,743569364.214974,"fishing"
1841,"other krill","antarctic krill",180299.081661844,54556.272907086,733027.842979547,10714.2493178717,4941860.22848661,"fishing"
1841,"other krill","salps",100.006804182178,31.2683487972579,419.733338081236,5.58295383455881,1731.31459156529,"fishing"
1841,"other krill","mesopelagic fishes",0.119884304909688,0.0240426078253319,0.416514227957,0.00571342726625944,2.84895160195311,"fishing"
1841,"other krill","bathypelagic fishes",0.206788592951079,0.0530027343896119,1.08785508233619,0.0112258985398087,4.13123609143434,"fishing"
1841,"other krill","shelf and coastal fishes",1.6347694199425,0.870797319775319,2.21272859283744,0.369452994359852,2.72148314439082,"fishing"
1841,"other krill","flying birds",0.00435208210905465,0.00351128677703436,0.00492702920177175,0.00112480657947434,0.00526782926055387,"fishing"
1841,"other krill","small divers",0.151726285306217,0.0953784952818511,0.173045518088172,0.0307475681334557,0.195371522283578,"fishing"
1841,"other krill","squids",42.3707396631885,30.3832376465695,56.7543826211911,15.1764294061174,80.3299043203942,"fishing"
1841,"other krill","toothfishes",15465.445967878,7122.06997493189,34702.6634670515,744.112159370189,54035.1710556032,"fishing"
1841,"other krill","leopard seals",218.551009314304,128.952431210982,288.595324289323,82.2989991652547,356.41716992993,"fishing"
1841,"other krill","medium divers",302858.497582184,171162.337310038,486771.640667825,81239.5894379631,770319.598003391,"fishing"
1841,"other krill","large divers",37452.3789915664,17476.0018086536,77939.3470633586,7628.01526398037,1333197.47641473,"fishing"
1841,"other krill","minke whales",62117.1977730725,29514.785740165,170236.96352189,11011.8535718181,8912678.34129779,"fishing"
1841,"other krill","orca",157735.109648355,123066.132580732,193723.127201383,51442.6617532235,276776.543180055,"fishing"
1841,"other krill","sperm whales",12260232.4265951,1165733.41750364,43542987.3986722,434610.128698294,405175645.112397,"fishing"
1841,"other krill","baleen whales",393682565.64294,169983630.546878,1454328780.7326,24227015.8139206,4615826820.97344,"fishing"
1841,"other krill","Resource",127224648302074,39734455936584.2,333860024897302,13222778024713.6,1166878879409396,"fishing"
1841,"other krill","External",0,0,0,0,0,"fishing"
1841,"other macrozooplankton","mesozooplankton",65269418260627.3,50420541810369,87774457769240.3,22567263555859,131435927593235,"fishing"
1841,"other macrozooplankton","other krill",3962071484146.08,2113179154171.78,8030326591550.81,655063245196.894,13698857153265.8,"fishing"
1841,"other macrozooplankton","other macrozooplankton",9513664791981.73,5189971101384.48,14798980600081.4,2703195712438.03,26666492418030.5,"fishing"
1841,"other macrozooplankton","antarctic krill",111794785079.16,90135277538.8933,134387539036.607,24037641602.448,219722009575.368,"fishing"
1841,"other macrozooplankton","salps",434701481.778082,317006152.500969,577399584.424949,206733159.991695,737646798.432094,"fishing"
1841,"other macrozooplankton","mesopelagic fishes",73566740.6783989,52667497.6862454,97683144.5281561,24175900.2313041,178055728.254166,"fishing"
1841,"other macrozooplankton","bathypelagic fishes",83713180.8703416,51366268.2775696,114972304.245495,33441866.7165475,192440395.123152,"fishing"
1841,"other macrozooplankton","shelf and coastal fishes",3530642.77147574,2594601.42568611,5294270.02813817,1073978.16316483,8959112.42201383,"fishing"
1841,"other macrozooplankton","flying birds",2.00971252165156e-07,1.32307833960237e-07,2.78131436107727e-07,6.73009895450872e-08,4.78829936691379e-07,"fishing"
