"scenario","predator_group","predator","n_sims","median_g_yr","mean_g_yr","sd_g_yr","q05_g_yr","q25_g_yr","q75_g_yr","q95_g_yr","median_tonnes","mean_tonnes","q05_tonnes","q25_tonnes","q75_tonnes","q95_tonnes"
"fishing","individual_species","leopard seals",2111,136794446.109278,157172664.969229,114408466.963493,40985416.109192,91392903.1291714,202145842.905719,289357349.940997,136.794446109278,157.172664969229,40.985416109192,91.3929031291714,202.145842905718,289.357349940997
"fishing","individual_species","small divers",2111,24324547888.1911,32047522377.71,25767360395.76,3862006502.48797,14048883970.9074,44691399827.3026,80190922080.5563,24324.5478881911,32047.52237771,3862.00650248797,14048.8839709074,44691.3998273026,80190.9220805563
"fishing","individual_species","medium divers",2111,9616069536.71315,12513498408.3389,10399823100.8583,2719130059.56416,6173664952.88717,16048836067.894,29854577917.6494,9616.06953671315,12513.4984083389,2719.13005956416,6173.66495288717,16048.836067894,29854.5779176494
"fishing","individual_species","large divers",2111,683929931.987266,1672468201.80809,4234780191.12779,182577806.264393,384947646.185854,1436687098.62386,5577721674.76824,683.929931987266,1672.46820180809,182.577806264393,384.947646185854,1436.68709862386,5577.72167476824
"fishing","baleen_whales","[baleen_whales] aggregate",2111,199796566050.889,674195256895.647,3284263184563.23,6808607201.22313,64309462911.1281,496216602463.158,1933161203652.1,199796.566050889,674195.256895647,6808.60720122313,64309.4629111281,496216.602463158,1933161.2036521
"fishing","toothed_whales","[toothed_whales] aggregate",2111,21110612.597559,928512710.766787,11374593882.6346,3622190.20538914,8718196.65553417,103692860.43789,1503435749.59145,21.110612597559,928.512710766787,3.62219020538914,8.71819665553417,103.69286043789,1503.43574959145
"fishing","all_whales","[all_whales] aggregate",2111,200019795518.816,675123769606.414,3284238289734.16,7117932595.40008,64630239387.9462,500492476272.378,1933175390740.39,200019.795518816,675123.769606414,7117.93259540008,64630.2393879462,500492.476272378,1933175.39074039
"fishing","seals","[seals] aggregate",2111,38572237025.7427,46390661652.8263,33795454765.5382,8996541761.24935,24414494368.319,61285843270.8584,101040650599.473,38572.2370257427,46390.6616528263,8996.54176124935,24414.494368319,61285.8432708584,101040.650599473
"fishing","all_marine_mams","[all_marine_mams] aggregate",2111,248366083765.604,721514431259.24,3293051278341.85,28184442681.3549,113906717995.1,546998375916.354,1990889552559.18,248366.083765604,721514.43125924,28184.4426813549,113906.7179951,546998.375916354,1990889.55255918
"climate_only","individual_species","baleen whales",2111,369541304090.261,600981143217.696,699838380154.275,16111173117.8787,176544823248.974,674355660527.297,2162989560018.23,369541.304090261,600981.143217696,16111.1731178787,176544.823248974,674355.660527297,2162989.56001823
"climate_only","individual_species","minke whales",2111,9739935293.2817,1368491208733.42,7429429736199.13,1661884206.06851,4804667953.6623,25420809885.9085,5489709988289.95,9739.9352932817,1368491.20873342,1661.88420606851,4804.6679536623,25420.8098859085,5489709.98828995
"climate_only","individual_species","sperm whales",2111,442396979.118795,6386985040.40138,23255387740.4118,107688468.941398,236213512.309347,1524371106.32732,39235618566.8765,442.396979118795,6386.98504040138,107.688468941398,236.213512309347,1524.37110632732,39235.6185668765
"climate_only","individual_species","orca",2111,22891.0756664111,27875.3423812804,19115.3029558767,7331.42388522413,14494.9734429578,36229.3689169447,65147.2294915857,0.0228910756664111,0.0278753423812804,0.00733142388522413,0.0144949734429578,0.0362293689169447,0.0651472294915857
"climate_only","individual_species","leopard seals",2111,135178581.215462,153325042.229635,108167540.314732,44144197.6248531,90305023.8608337,196036031.241956,283835592.967489,135.178581215462,153.325042229635,44.1441976248531,90.3050238608337,196.036031241956,283.835592967489
"climate_only","individual_species","small divers",2111,24702475038.5388,32668302407.9872,25579899024.3261,3997316503.0335,14776428402.9873,45513533894.3836,80528279299.119,24702.4750385388,32668.3024079872,3997.3165030335,14776.4284029873,45513.5338943836,80528.279299119
"climate_only","individual_species","medium divers",2111,9876153252.46116,12803544432.996,10528195702.2459,3078964857.89056,6435474406.92198,16137292386.8239,30471179856.7122,9876.15325246116,12803.544432996,3078.96485789056,6435.47440692198,16137.2923868239,30471.1798567122
"climate_only","individual_species","large divers",2111,702226350.146692,1693466332.75269,4346213958.4949,189896265.376344,383694898.71278,1432357996.17139,5763974464.61346,702.226350146692,1693.46633275269,189.896265376344,383.69489871278,1432.35799617139,5763.97446461346
"climate_only","baleen_whales","[baleen_whales] aggregate",2111,485224896249.318,1969472351951.12,7403335872750.77,28184050527.8831,215619613090.926,1182856303272.81,6012987666032.07,485224.896249318,1969472.35195112,28184.0505278831,215619.613090926,1182856.30327281,6012987.66603207
"climate_only","toothed_whales","[toothed_whales] aggregate",2111,442429165.779079,6387012915.74376,23255392089.2747,107699250.000004,236241011.75271,1524400015.58713,39235655779.8705,442.429165779079,6387.01291574376,107.699250000004,236.24101175271,1524.40001558713,39235.6557798705
"climate_only","all_whales","[all_whales] aggregate",2111,492944130653.927,1975859364866.86,7403499550266.57,29527896417.7267,218319198639.888,1187002754210.02,6023103969167.33,492944.130653927,1975859.36486686,29527.8964177267,218319.198639888,1187002.75421002,6023103.96916733
"climate_only","seals","[seals] aggregate",2111,39531074251.2933,47318638215.9656,33420012796.2701,9698342541.24901,25348034064.2402,62256440913.4676,103118882160.477,39531.0742512933,47318.6382159656,9698.34254124901,25348.0340642402,62256.4409134676,103118.882160477
"climate_only","all_marine_mams","[all_marine_mams] aggregate",2111,535400865357.72,2023178003082.83,7418730417636.79,65515402183.0022,258990586616.386,1245005787140.43,6070135200412.91,535400.86535772,2023178.00308283,65515.4021830022,258990.586616386,1245005.78714043,6070135.20041291
