"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"flying birds","other krill",895424929.466132,332837460.033694,3228913586.25901,83300173.9930535,8432109589.36781,2211076785.42011,895.424929466132,332.837460033694,3228.91358625901,"Exploited"
"small divers","other krill",1532905018.41382,519715498.870282,5732034733.12209,103428709.782203,18181511898.7144,4448262595.47337,1532.90501841382,519.715498870282,5732.03473312209,"Exploited"
"squids","other krill",1729479983.11433,650613449.75166,5525539565.38854,162142424.667199,14552243141.138,3924539635.55774,1729.47998311433,650.61344975166,5525.53956538854,"Exploited"
"toothfishes","other krill",3019220399.21933,1127715245.64218,8116836801.5326,311094783.520567,22242095105.0566,6037566089.55101,3019.22039921933,1127.71524564218,8116.8368015326,"Exploited"
"leopard seals","other krill",5139716.31250245,1879803.18290881,16273645.1530338,521577.552199315,45730447.9153764,12082907.0044654,5.13971631250245,1.87980318290881,16.2736451530338,"Exploited"
"medium divers","other krill",33985754.6127333,11210237.4756377,113029075.43014,3294217.76395115,286335911.52213,77784531.1837262,33.9857546127333,11.2102374756377,113.02907543014,"Exploited"
"large divers","other krill",5098864.10225046,1408743.77989184,16065281.742199,370948.257501848,56058450.8735129,17195310.8043219,5.09886410225046,1.40874377989184,16.065281742199,"Exploited"
"minke whales","other krill",40568160.7964249,14248683.3603845,117664854.519923,3678595.08949129,260286983.10687,78212994.2050361,40.5681607964249,14.2486833603845,117.664854519923,"Exploited"
"orca","other krill",7.07188194879287,2.28239197345164,24.3441860563035,0.590919952996844,60.4331463219997,16.5784105368291,7.07188194879287e-06,2.28239197345164e-06,2.43441860563035e-05,"Exploited"
"sperm whales","other krill",175036.615664671,46182.5021423628,613941.273990894,10368.4649020045,7809144.52759084,5163066.58848624,0.175036615664671,0.0461825021423628,0.613941273990894,"Exploited"
