"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"shelf and coastal fishes","bathypelagic fishes",93538794781.2866,71150378477.9828,115757578424.637,40482798233.319,143454248341.656,94152829585.8458,93538.7947812866,71150.3784779828,115757.578424637,"Exploited"
"flying birds","bathypelagic fishes",2901141945.29004,1997995898.72717,3846703266.58647,1094890455.62107,5335923982.30827,3019147700.21818,2901.14194529004,1997.99589872717,3846.70326658647,"Exploited"
"small divers","bathypelagic fishes",539719893.259875,334475887.815155,1068250209.01422,70294637.7417457,1771940642.56537,728282824.989153,539.719893259875,334.475887815155,1068.25020901422,"Exploited"
"squids","bathypelagic fishes",524403369265.393,387797236214.303,708291573752.995,202223930818.046,997452482897.651,562422954707.76,524403.369265393,387797.236214303,708291.573752995,"Exploited"
"toothfishes","bathypelagic fishes",917188490402.825,515245333443.879,1365508137327.58,97987566747.459,2116646474878.23,985831987909.662,917188.490402825,515245.333443879,1365508.13732758,"Exploited"
"leopard seals","bathypelagic fishes",51951527.9180874,33656825.1976363,72343411.8240366,16333243.3435762,107155087.647524,55988724.1986305,51.9515279180874,33.6568251976363,72.3434118240366,"Exploited"
"medium divers","bathypelagic fishes",182872799293.012,111555027299.258,281477230264.414,57258037652.5202,465847170122.712,209620329324.018,182872.799293012,111555.027299258,281477.230264414,"Exploited"
"large divers","bathypelagic fishes",4920543369.76607,3031602650.90208,9470760414.89977,1390738328.89156,36312349820.0297,11782192986.0819,4920.54336976607,3031.60265090208,9470.76041489977,"Exploited"
"minke whales","bathypelagic fishes",16334201.6736084,8870779.98613464,35403851.8026595,4036904.29162335,1363933454.71082,1054083570.29714,16.3342016736084,8.87077998613464,35.4038518026595,"Exploited"
"orca","bathypelagic fishes",1432423.4005579,824598.936564317,2432513.03101599,386632.514304284,5061509.49305798,1940783.74402923,1.4324234005579,0.824598936564317,2.43251303101599,"Exploited"
"sperm whales","bathypelagic fishes",332996014.118229,130010593.500037,1915143100.2161,57651493.5573,31661285810.8458,12181792766.5434,332.996014118229,130.010593500037,1915.1431002161,"Exploited"
"baleen whales","bathypelagic fishes",181695900665.505,46152406644.8558,477520468442.345,4002666950.21335,2802676037857.23,583338943173.19,181695.900665505,46152.4066448557,477520.468442345,"Exploited"
"mesozooplankton","shelf and coastal fishes",0.00458404694119128,0.00371193528352162,0.00635652336885605,0.00236371370587885,0.0085108409684847,0.00500848419677764,4.58404694119128e-09,3.71193528352162e-09,6.35652336885605e-09,"Exploited"
"other krill","shelf and coastal fishes",2.32226796569765,1.89420503957618,2.73861739695466,0.806566788908361,3.15086098537949,2.24588904437962,2.32226796569765e-06,1.89420503957618e-06,2.73861739695466e-06,"Exploited"
"other macrozooplankton","shelf and coastal fishes",3051407.30243483,2157760.77820045,4945037.03777333,651490.485501497,7988225.23907445,3756226.03904215,3.05140730243483,2.15776077820045,4.94503703777333,"Exploited"
"antarctic krill","shelf and coastal fishes",1.81919445105361,0.453208506322586,5.01800553248516,0.0387742928391251,8.73840934252318,3.28486744625259,1.81919445105361e-06,4.53208506322586e-07,5.01800553248516e-06,"Exploited"
"salps","shelf and coastal fishes",0.0216060513053603,0.0183579221545648,0.0248989323546442,0.0126859499083652,0.0286996846469769,0.0222268533532208,2.16060513053603e-08,1.83579221545648e-08,2.48989323546442e-08,"Exploited"
"mesopelagic fishes","shelf and coastal fishes",320793766.014489,213371897.056576,715945949.358546,30865479.7348525,972821676.913267,449884686.903724,320.793766014489,213.371897056576,715.945949358546,"Exploited"
"bathypelagic fishes","shelf and coastal fishes",593992161.844118,376045055.768274,979431836.624105,206564294.760636,1389777720.0421,699194695.81503,593.992161844118,376.045055768274,979.431836624105,"Exploited"
"shelf and coastal fishes","shelf and coastal fishes",261578715664.751,241860802617.106,275488091808.728,177046049427.292,295339251469.747,255032529211.439,261578.715664751,241860.802617106,275488.091808728,"Exploited"
"flying birds","shelf and coastal fishes",1098016791.99557,938216401.569999,1284412581.48653,463207820.346739,1427318165.8602,1077235463.70558,1098.01679199557,938.216401569999,1284.41258148653,"Exploited"
"small divers","shelf and coastal fishes",106123775.590118,85005828.7902031,238794873.362975,14393228.2929139,325110838.500335,152201973.832801,106.123775590118,85.0058287902031,238.794873362975,"Exploited"
"squids","shelf and coastal fishes",114780377609.497,99345941940.1727,134838155188.965,77113879635.862,202129307243.15,123165329597.955,114780.377609497,99345.9419401727,134838.155188965,"Exploited"
