"predator","prey","n_sims","median_g_yr","mean_g_yr","q25_g_yr","q75_g_yr","median_tonnes","mean_tonnes","q25_tonnes","q75_tonnes","scenario"
"leopard seals","antarctic krill",2111,78958695.6924046,103684439.133964,39758974.4896446,144617010.533677,78.9586956924046,103.684439133964,39.7589744896446,144.617010533677,"climate_only"
"leopard seals","other krill",2111,5015121.16019974,12123063.1166105,1812613.98917345,16359003.9975377,5.01512116019974,12.1230631166105,1.81261398917345,16.3590039975377,"climate_only"
"leopard seals","mesozooplankton",2111,1706.99144398049,3173.5556466833,832.375512545749,4757.65078255605,0.00170699144398049,0.0031735556466833,0.000832375512545749,0.00475765078255605,"climate_only"
"leopard seals","other macrozooplankton",2111,9460170.94320216,10305506.3848355,6380417.16039478,13468132.5025147,9.46017094320216,10.3055063848355,6.38041716039479,13.4681325025147,"climate_only"
"leopard seals","salps",2111,23871576.8215263,27208860.0385784,16678295.1944046,35416006.1263981,23.8715768215263,27.2088600385784,16.6782951944046,35.4160061263981,"climate_only"
"small divers","antarctic krill",2111,15372273363.553,22105709447.3387,6723137348.20425,29618883174.7684,15372.273363553,22105.7094473387,6723.13734820425,29618.8831747684,"climate_only"
"small divers","other krill",2111,1534628264.63532,4481448646.50836,521439228.875411,5729029340.38196,1534.62826463532,4481.44864650836,521.439228875411,5729.02934038196,"climate_only"
"small divers","mesozooplankton",2111,1109805.50550268,1690419.68308075,606391.367632136,2442150.39126298,1.10980550550268,1.69041968308075,0.606391367632136,2.44215039126298,"climate_only"
"small divers","other macrozooplankton",2111,2565562195.21158,3454487184.07592,1676894269.44425,4586714344.6848,2565.56219521158,3454.48718407592,1676.89426944425,4586.7143446848,"climate_only"
"small divers","salps",2111,2047482825.54076,2624966710.38116,1178384366.13852,3590789061.19584,2047.48282554076,2624.96671038116,1178.38436613852,3590.78906119584,"climate_only"
"medium divers","antarctic krill",2111,4362472143.85047,6853566752.43272,1847947154.74833,8740880013.4327,4362.47214385047,6853.56675243272,1847.94715474833,8740.8800134327,"climate_only"
"medium divers","other krill",2111,35906552.1726692,86103783.9360451,11463497.5414122,121485603.392105,35.9065521726692,86.1037839360451,11.4634975414122,121.485603392105,"climate_only"
"medium divers","mesozooplankton",2111,254.112034870868,618.167240107286,108.292055859552,862.380285857937,0.000254112034870868,0.000618167240107286,0.000108292055859552,0.000862380285857937,"climate_only"
"medium divers","other macrozooplankton",2111,536922312.203862,687426660.710022,332297368.155254,898036581.879675,536.922312203862,687.426660710022,332.297368155254,898.036581879675,"climate_only"
"medium divers","salps",2111,4166461215.93784,5176446617.75,2607768611.2504,6852727080.72093,4166.46121593784,5176.44661775,2607.7686112504,6852.72708072093,"climate_only"
"large divers","antarctic krill",2111,360670734.412336,984411870.839962,143238766.847131,821936996.037566,360.670734412336,984.411870839962,143.238766847131,821.936996037566,"climate_only"
"large divers","other krill",2111,5099020.93581978,18851668.6059789,1434450.78456165,17005864.456418,5.09902093581978,18.8516686059789,1.43445078456165,17.005864456418,"climate_only"
"large divers","mesozooplankton",2111,15.0707105237818,39.3390778026129,6.25394916087292,51.8468769338873,1.50707105237818e-05,3.93390778026129e-05,6.25394916087292e-06,5.18468769338873e-05,"climate_only"
"large divers","other macrozooplankton",2111,57868199.0840263,151757041.725231,33589271.4709609,111609478.775521,57.8681990840263,151.757041725231,33.5892714709609,111.609478775521,"climate_only"
"large divers","salps",2111,215175303.688777,538445712.242442,119390507.058152,428707029.626163,215.175303688777,538.445712242442,119.390507058152,428.707029626163,"climate_only"
