"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"toothfishes","mesozooplankton",22114627.0362093,13291459.2361258,43130746.3897618,7288267.35979791,79079467.1118535,31398529.9057485,22.1146270362093,13.2914592361258,43.1307463897618,"Unexploited"
"leopard seals","mesozooplankton",1706.99144398049,832.375512545749,4757.65078255605,312.833657043033,10317.0537844574,3173.5556466833,0.00170699144398049,0.000832375512545749,0.00475765078255605,"Unexploited"
"medium divers","mesozooplankton",254.112034870868,108.292055859552,862.380285857937,34.9592091135908,2174.22614362041,618.167240107286,0.000254112034870868,0.000108292055859552,0.000862380285857937,"Unexploited"
"large divers","mesozooplankton",15.0707105237818,6.25394916087292,51.8468769338873,1.92681153126968,140.655097324917,39.3390778026129,1.50707105237818e-05,6.25394916087292e-06,5.18468769338873e-05,"Unexploited"
"minke whales","mesozooplankton",1.48896569674955e-06,7.87865627570939e-07,3.31792187715199e-06,3.24321282924581e-07,0.000734686118887242,0.000148875602756802,1.48896569674955e-12,7.87865627570939e-13,3.31792187715199e-12,"Unexploited"
"orca","mesozooplankton",2.35517417930222e-05,1.00884576003298e-05,4.43208657809236e-05,1.57730995001231e-06,0.000109626714936563,3.53977914791852e-05,2.35517417930222e-11,1.00884576003298e-11,4.43208657809236e-11,"Unexploited"
"sperm whales","mesozooplankton",1.59638359294696,0.476100549461638,6.05692804571683,0.125867522670933,52.0485802641303,15.4964027817084,1.59638359294696e-06,4.76100549461638e-07,6.05692804571683e-06,"Unexploited"
"baleen whales","mesozooplankton",0.00138141523780801,0.00069545785001824,0.00456576346922576,0.000146903361302159,0.0317965109154434,0.00607353730550562,1.38141523780801e-09,6.9545785001824e-10,4.56576346922576e-09,"Unexploited"
"mesozooplankton","other krill",13446927338.2566,8060541070.14934,20881410739.4231,3807517287.3133,35269354367.2758,15697180361.4067,13446.9273382566,8060.54107014934,20881.4107394231,"Unexploited"
"other krill","other krill",37026573.5446345,14217574.5782352,145735355.227856,2098185.74949462,476549211.261651,108319388.33783,37.0265735446345,14.2175745782352,145.735355227856,"Unexploited"
"other macrozooplankton","other krill",3493296448081.72,2266794305374.65,7652231113818.97,419945181337.599,13883493359011.4,5152332429005.7,3493296.44808172,2266794.30537465,7652231.11381897,"Unexploited"
"antarctic krill","other krill",845275146.845324,403870882.607048,2177607845.58646,47067469.6643547,5027552184.85375,1515916659.08654,845.275146845324,403.870882607048,2177.60784558646,"Unexploited"
"salps","other krill",5155099.56700415,3150323.35717877,11444301.6108954,608215.762884513,23221497.1840949,8110104.9427814,5.15509956700415,3.15032335717876,11.4443016108953,"Unexploited"
"mesopelagic fishes","other krill",1827370823119.57,652687832602.137,4805652259526.13,109449362621.27,15513027205669.5,3923838870971.48,1827370.82311957,652687.832602137,4805652.25952613,"Unexploited"
"bathypelagic fishes","other krill",1231470330998.41,479270585311.964,3573044250118.55,129454435628.718,8922533838968.15,2511759378164.42,1231470.33099841,479270.585311963,3573044.25011855,"Unexploited"
"shelf and coastal fishes","other krill",961721736172.267,402854671435.535,2827857191643.58,106121403972.532,6773676274329.46,1932938905332.76,961721.736172267,402854.671435535,2827857.19164358,"Unexploited"
"flying birds","other krill",918038927.519654,335670748.050064,3245999587.14648,86683366.5462165,8572735556.78017,2237640676.52625,918.038927519654,335.670748050064,3245.99958714648,"Unexploited"
"small divers","other krill",1534628264.63532,521439228.875411,5729029340.38196,104580978.855838,18102761104.6393,4481448646.50836,1534.62826463532,521.439228875411,5729.02934038196,"Unexploited"
"squids","other krill",1750749550.48464,656677883.16614,5572901702.63855,162992256.870851,14859820537.7718,3984010644.55314,1750.74955048464,656.67788316614,5572.90170263855,"Unexploited"
"toothfishes","other krill",2873224876.63476,1089449095.08297,7785683034.56901,300079535.608286,21420367921.3975,5761633991.58795,2873.22487663476,1089.44909508297,7785.68303456901,"Unexploited"
"leopard seals","other krill",5015121.16019974,1812613.98917345,16359003.9975377,492893.061986403,45693111.9200098,12123063.1166105,5.01512116019974,1.81261398917345,16.3590039975377,"Unexploited"
"medium divers","other krill",35906552.1726692,11463497.5414122,121485603.392105,3511574.78353598,307669276.380844,86103783.9360451,35.9065521726692,11.4634975414122,121.485603392105,"Unexploited"
"large divers","other krill",5099020.93581978,1434450.78456165,17005864.456418,367611.44135167,67563539.8052594,18851668.6059789,5.09902093581978,1.43445078456165,17.005864456418,"Unexploited"
"minke whales","other krill",44814108.8730072,15699804.4395839,131425424.793941,3976724.51253008,291052772.748575,86578566.0313399,44.8141088730072,15.6998044395839,131.425424793941,"Unexploited"
"orca","other krill",8.15103849789625,2.5300859036435,27.3240730162362,0.678176559198562,69.1669739215932,19.3585345383226,8.15103849789625e-06,2.5300859036435e-06,2.73240730162362e-05,"Unexploited"
"sperm whales","other krill",2676473.92731216,621691.711414412,9067836.43436268,131470.422440375,157159681.928905,39074752.7326935,2.67647392731216,0.621691711414412,9.06783643436268,"Unexploited"
"baleen whales","other krill",0.00125999243319618,0.00035307680228797,0.00447983404231585,6.6181893221056e-05,0.0358609339883333,0.00831026559741932,1.25999243319618e-09,3.5307680228797e-10,4.47983404231585e-09,"Unexploited"
"mesozooplankton","other macrozooplankton",38446034168.0418,14045424248.8122,82080245075.0691,4915279462.95477,261025222528.934,66405253776.0697,38446.0341680418,14045.4242488122,82080.2450750691,"Unexploited"
"other krill","other macrozooplankton",42653985.7971698,9842962.76008843,187372272.740526,1194978.22282545,917771727.883504,197022715.044591,42.6539857971698,9.84296276008843,187.372272740526,"Unexploited"
"other macrozooplankton","other macrozooplankton",9614460919119.62,5085804791081.42,13962308065853.7,1305010243006.14,26798527738204.6,10581646926729.4,9614460.91911962,5085804.79108142,13962308.0658537,"Unexploited"
"antarctic krill","other macrozooplankton",2258750657.41765,802408286.353837,5462049812.25642,93877429.616271,25179842315.8241,5380894767.25511,2258.75065741765,802.408286353837,5462.04981225642,"Unexploited"
"salps","other macrozooplankton",5169065.84643078,1975429.30867345,12444067.7671678,467991.951104192,51669849.9801999,11697121.9513116,5.16906584643078,1.97542930867345,12.4440677671678,"Unexploited"
"mesopelagic fishes","other macrozooplankton",5074582092973,3566345549463.14,9093851491093.11,484806313346.111,14399277070639.6,6377050167436.82,5074582.092973,3566345.54946314,9093851.4910931,"Unexploited"
"bathypelagic fishes","other macrozooplankton",3890915327183.08,2541321795657.14,5772827146616.71,1193506643631.83,9129158696310.16,4359091603235.64,3890915.32718308,2541321.79565714,5772827.14661671,"Unexploited"
"shelf and coastal fishes","other macrozooplankton",2482329433269.87,1829539546816.07,3248146303045.97,733182316229.866,4245673117647.99,2522971698786.86,2482329.43326987,1829539.54681607,3248146.30304597,"Unexploited"
"flying birds","other macrozooplankton",2198306928.09544,1567601162.28398,2991656959.00457,333820320.562032,4465910816.03824,2304723261.85202,2198.30692809544,1567.60116228398,2991.65695900457,"Unexploited"
"small divers","other macrozooplankton",2565562195.21158,1676894269.44425,4586714344.6848,221908912.568663,9305029549.75691,3454487184.07592,2565.56219521158,1676.89426944425,4586.7143446848,"Unexploited"
