"year","median","q05","q25","q75","q95"
1989,1.55572663334454,0.803745859092496,1.10534297268738,2.11053386546756,2.72339337076188
1990,1.58877103967762,0.817207336414811,1.13278130954593,2.14263848197568,2.75497126343164
1991,1.60455589549199,0.829143432539724,1.14768435591222,2.15803873551,2.76820394606775
1992,1.59990567655455,0.832302067822118,1.14877809164534,2.14758528842229,2.74311677532122
1993,1.60787569258425,0.832466457715621,1.15573421884582,2.14726186784272,2.74423647815373
1994,1.63117668311784,0.847035054017417,1.17814607354219,2.16359654009272,2.7608186218456
1995,1.64006472749208,0.862320227087475,1.19225878999278,2.17402636796927,2.76865041866007
1996,1.63449915673164,0.870305959698836,1.19704341386689,2.16972083987617,2.75302279808442
1997,1.62557980443735,0.871977189015963,1.19350267394259,2.15725196918877,2.73536486375515
1998,1.62532636625816,0.875014993722278,1.19806608523396,2.15395761760968,2.72969158175068
1999,1.62342597142272,0.879205150391998,1.19889455171207,2.14924260519513,2.71912023887378
2000,1.61098469712239,0.873320797934311,1.18887401770785,2.14047941348086,2.70704516977326
2001,1.58262790460722,0.855139220893841,1.16412005741218,2.11913648889643,2.6915558345334
2002,1.5685997646411,0.842098593852756,1.14894979894292,2.1132662302082,2.70382873357564
2003,1.55301541443091,0.822314996877417,1.12506631212791,2.1066208637023,2.71064220815982
2004,1.5532773056121,0.820822925543227,1.12698616436005,2.10709721817533,2.71704233778293
2005,1.57926817028289,0.830243599869994,1.14775008099572,2.13344147121413,2.74499667404092
2006,1.58975065571968,0.839778389262445,1.15505512941454,2.14512284212448,2.75563479470764
2007,1.58598117394592,0.842469803164229,1.15399026801918,2.13303445861772,2.7320301412976
2008,1.56205191311687,0.827302325431258,1.13338536237514,2.11769880647112,2.72198686536962
2009,1.55719479543021,0.822887674489671,1.12729439686411,2.11615145572406,2.73265909195508
2010,1.58022252320757,0.830038315345036,1.14303299054388,2.13944746676514,2.76377130327041
