"time","median","q05","q25","q75","q95"
50005,0.158928512798168,0.00465170516949565,0.0516112207609662,0.507509006359501,2.68128022350006
50370,0.229389384057046,0.00509853812425637,0.0758392262106354,0.71217341133192,3.16349719361712
50735,0.00873258788658352,0.00127434102639984,0.00419589790917326,0.022442157408517,0.296934763688461
51100,0.00707954337429709,0.00046365194124617,0.00250492940142362,0.0213977580575909,0.172341455102216
51465,0.0206840512042938,0.000575985139611964,0.00730491008417968,0.0615498926544826,0.3068143453743
51830,0.0168615454876934,0.000464215412437775,0.00576428444575716,0.051266900975911,0.261096717013799
52195,0.0269467558286349,0.000700441599078899,0.00947001197405958,0.082371195643407,0.44972754135756
52560,0.00163549058343115,0.000148586099600436,0.0006684291150595,0.00496151419564258,0.0404599825029208
52925,0.00159036717311001,0.000116097550770495,0.000617822011253322,0.00504184657540637,0.0351206061089436
53290,0.00619419695159642,0.000258593226414479,0.00211022799067143,0.0200624904848357,0.116167758327398
53655,0.000411957556057243,1.4107722031151e-05,0.00015176933618376,0.00124331876203537,0.0076213236371989
54020,0.00103521270445719,5.83915419775965e-05,0.000431534089138657,0.00301740140900323,0.0195038403533419
54385,0.00119726853039158,5.92929875171594e-05,0.000451491550961432,0.00366914800805492,0.0225679781481419
54750,0.00374889695192105,0.000179476359131915,0.00140562452810316,0.00970966043456541,0.0729654870596797
55115,0.00149151043201691,0.000202633393923105,0.000630067697363053,0.00485592316672374,0.0478203253190862
55480,0.000199075064416042,4.70341559915109e-06,6.1740198907625e-05,0.000634921529042083,0.00428260037372941
55845,0.00127656697919422,0.000168986272648399,0.000545531280917196,0.00416337780163971,0.0388671602307424
56210,0.000191643922919758,4.6177830748695e-05,0.00013181636172742,0.000340184916667824,0.0101567830698946
56575,0.000420429684673302,7.56633915637574e-05,0.000281973658141586,0.000549774410895859,0.0247717790812907
56940,5.39243332955373e-05,1.44791760387284e-05,3.83780206575405e-05,8.62396916900375e-05,0.00293650526775206
57305,0.000292839973077354,5.38527086276514e-05,0.000199347409129756,0.000377439569966989,0.0145931371649816
57670,3.45354106068315e-05,8.82588021453042e-06,2.40123199069737e-05,4.62938433928635e-05,0.00160840090101279
58035,0.000120963367777317,3.02226242096093e-05,8.40399156937354e-05,0.000176590431017375,0.00572342738742145
58400,0.000163738105020521,4.27774008078122e-05,0.000114836605293227,0.000236723305390869,0.00688777804017245
58765,0.00020075492733029,3.44261611293604e-05,0.000133915740540088,0.000259966444742243,0.00786791424430839
59130,0.000407183980395257,8.64770187124479e-05,0.000220722747799554,0.000970836321188652,0.0143838004016652
59495,0.000381870691820548,0.00011392266248172,0.000252402714120049,0.00080514270180008,0.0143964408831318
59860,0.000204092503330907,8.99351070394952e-06,7.5369119432375e-05,0.000487812188500343,0.00348294968653963
60225,0.00252649212687645,0.000719303562489505,0.00166701022141318,0.00503149388130845,0.0659884113659122
60590,0.000330805576093771,3.7145700613388e-05,0.000138628455803459,0.000819903065548941,0.00755208730626679
60955,0.00100403740469777,0.000205313403045336,0.000524143626982499,0.0022508304290982,0.0357063426295387
61320,0.000340234679612283,1.3840853619656e-05,0.000120867184997073,0.000820730251949068,0.00565796499887608
61685,0.000995138931962802,0.000227885501876144,0.00057330276599751,0.00194648907788821,0.0288765460965735
