"","B.antarcticus","B.elongata","B.macropinna","C.gunnari","C.microdon","C.piriei","D.eleginoides","D.mawsoni","E.antarctica","E.carlsbergi","G.braueri","G.fraseri","G.nicholsi","K.anderssoni","M.gracilis","N.achirus","N.coatsi","P.antarcticum","P.bolini","P.gracilis","Ommastrephiids","Onychoteuthiids","Small.medium.nectonic.squids","Antarctic.Fur.Seals","Elephant.Seals","Crabeater.Seals","Leopard.Seals","Ross.Seals","Weddell.Seals","Adelie.Penguin","Emperor.Penguin","Crested.Penguin","King.Penguin","Gentoo.Penguin","Flying.birds...small","Flying.birds...med","Flying.birds...large","flying.birds...coastal","blue.whale","fin.whale","sei.whale","humpback.whale","minke.whale","Southern.Right.Whales","Orca","Sperm.Whales","Ziphiids","Dolphins"
"G.braueri",0.16875,0.366666666666667,0.0777777777777778,0.0648148148148148,0.117924528301887,0.144736842105263,0.172077922077922,0.203703703703704,0.0694444444444444,0.0925925925925926,0.5,0.0462962962962963,0.12962962962963,0.185185185185185,0.176446166620537,0.346296296296296,0.185185185185185,0.134814814814815,0.0740740740740741,0.418666666666667,0.037037037037037,0.37037037037037,0.446428571428571,0.00458333333333333,0.0458333333333333,0.00694444444444444,0.00694444444444444,0.0138888888888889,0.0347222222222222,0.00694444444444444,0.0277777777777778,0.00229166666666667,0.00611111111111111,0.00694444444444444,0.000462962962962963,0.000462962962962963,0.000462962962962963,4.62962962962963e-05,0.00925925925925926,0.00462962962962963,0.00925925925925926,0.00925925925925926,0.00347222222222222,0.00925925925925926,0.00611111111111111,0.0925925925925926,0.0694444444444444,0.000578703703703704
"G.fraseri",0,0,0.0744047619047619,0.0892857142857143,0.00235849056603774,0,0.012987012987013,0,0,0.25,0.0462962962962963,0.5,0.178571428571429,0.125,0.00691945751453086,0.03,0.03125,0,0,0,0.4,0.0625,0.00892857142857143,0.0495,0.01375,0.075,0.075,0.15,0.09375,0.075,0.1171875,0.02475,0.066,0.075,0.005,0.005,0.005,5e-04,0.1,0.05,0.1,0.1,0.0375,0.1,0.066,0.015625,0.0208333333333333,0.00625
"G.nicholsi",0.04375,0.0333333333333333,0.208333333333333,0.25,0.0235849056603774,0.0131578947368421,0.0422077922077922,0.0795454545454545,0.233333333333333,0.357142857142857,0.12962962962963,0.178571428571429,0.5,0.35,0.0380570163299197,0.1425,0.0875,0.480769230769231,0.233333333333333,0.0853333333333333,0.142857142857143,0.175,0.0892857142857143,0.0176785714285714,0.0385,0.0267857142857143,0.0267857142857143,0.0535714285714286,0.133928571428571,0.0267857142857143,0.107142857142857,0.00883928571428571,0.0235714285714286,0.0267857142857143,0.00178571428571429,0.00178571428571429,0.00178571428571429,0.000178571428571429,0.0357142857142857,0.0178571428571429,0.0357142857142857,0.0357142857142857,0.0133928571428571,0.0357142857142857,0.0235714285714286,0.04375,0.0583333333333333,0.00223214285714286
"K.anderssoni",0.0625,0.0833333333333333,0.21,0.175,0.0377358490566038,0.0328947368421053,0.0616883116883117,0.113636363636364,0.1875,0.25,0.185185185185185,0.125,0.35,0.5,0.0588153888735123,0.2175,0.125,0.364,0.2,0.135333333333333,0.1,0.25,0.142857142857143,0.012375,0.055,0.01875,0.01875,0.0375,0.09375,0.01875,0.075,0.0061875,0.0165,0.01875,0.00125,0.00125,0.00125,0.000125,0.025,0.0125,0.025,0.025,0.009375,0.025,0.0165,0.0625,0.0833333333333333,0.0015625
"M.gracilis",0.86575,0.721917412647993,0.190977027401052,0.152228065319679,0.662718446601942,0.852876712328767,0.911315789473684,0.567395516191531,0.166066980348741,0.024218101300858,0.176446166620537,0.00691945751453086,0.0380570163299197,0.0588153888735123,1,0.132787826586276,0.512039856075284,0.159977857735953,0.0288766965059197,0.812012705746463,0.00345972875726543,0.512039856075284,0.750794109153913,0,0.12330473290894,0,0,0.0103791862717963,0.072654303902574,0,0.0518959313589815,0,0.00456684195959037,0,0,0,0,0,0.00691945751453086,0,0.00691945751453086,0.00691945751453086,0,0.00691945751453086,0.00456684195959037,0.256019928037642,0.186825352892333,0
"N.achirus",0.116875,0.261324041811847,0.08875,0.07125,0.0870406189555126,0.102179836512262,0.123026315789474,0.2125,0.0775,0.0925,0.346296296296296,0.03,0.1425,0.2175,0.132787826586276,0.5,0.23375,0.1495,0.106951871657754,0.315679442508711,0.0175,0.4675,0.337078651685393,0.000825,0.0565125,0,0,0.0065625,0.0346875,0,0.0253125,0,0.0028875,0,0,0,0,0,0.004375,0,0.004375,0.004375,0,0.004375,0.0028875,0.116875,0.085625,0
"N.coatsi",0.5,0.5,0.42,0.35,0.339622641509434,0.394736842105263,0.506493506493506,0.909090909090909,0.375,0.0625,0.185185185185185,0.03125,0.0875,0.125,0.512039856075284,0.23375,1,0.364,0.05,0.604,0.025,1,0.642857142857143,0.02475,0.2475,0.0375,0.0375,0.075,0.1875,0.0375,0.15,0.012375,0.033,0.0375,0.0025,0.0025,0.0025,0.00025,0.05,0.025,0.05,0.05,0.01875,0.05,0.033,0.5,0.375,0.003125
"P.antarcticum",0.182,0.076,0.866666666666667,0.961538461538462,0.099622641509434,0.06,0.176103896103896,0.330909090909091,0.970666666666667,0,0.134814814814815,0,0.480769230769231,0.364,0.159977857735953,0.1495,0.364,1,0.252,0.18,0.137362637362637,0.364,0.188571428571429,0.0679945054945055,0.16016,0.103021978021978,0.103021978021978,0.206043956043956,0.51510989010989,0.103021978021978,0.412087912087912,0.0339972527472527,0.0906593406593407,0.103021978021978,0.00686813186813187,0.00686813186813187,0.00686813186813187,0.000686813186813187,0.137362637362637,0.0686813186813187,0.137362637362637,0.137362637362637,0.051510989010989,0.137362637362637,0.0906593406593407,0.182,0.242666666666667,0.00858516483516484
"P.bolini",0.025,0.0471698113207547,0.119047619047619,0.116666666666667,0.0196078431372549,0.0181159420289855,0.0263157894736842,0.0454545454545455,0.133333333333333,0.1,0.0740740740740741,0,0.233333333333333,0.2,0.0288766965059197,0.106951871657754,0.05,0.252,0.5,0.0711237553342817,0,0.1,0.0769230769230769,0,0.022,0,0,0,0.0375,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0333333333333333,0
"P.gracilis",0.703,0.889046941678521,0.217333333333333,0.170666666666667,0.54773082942097,0.692137320044297,0.74,0.670666666666667,0.187333333333333,0,0.418666666666667,0,0.0853333333333333,0.135333333333333,0.812012705746463,0.315679442508711,0.604,0.18,0.0711237553342817,1,0.002,0.604,0.924608819345661,0,0.14432,0,0,0.003,0.078,0,0.053,0,0.00132,0,0,0,0,0,0.002,0,0.002,0.002,0,0.002,0.00132,0.302,0.218666666666667,0
"Ommastrephiids",0.0125,0,0.0595238095238095,0.0714285714285714,0,0,0.00974025974025974,0.0227272727272727,0.0666666666666667,0.2,0.037037037037037,0.4,0.142857142857143,0.1,0.00345972875726543,0.0175,0.025,0.137362637362637,0,0.002,0.5,0.05,0,0.061875,0.011,0.09375,0.09375,0.1875,0.075,0.09375,0.09375,0.0309375,0.0825,0.09375,0.00625,0.00625,0.00625,0.000625,0.125,0.0625,0.125,0.125,0.046875,0.125,0.0825,0.0125,0.0166666666666667,0.0078125
"Onychoteuthiids",0.5,0.5,0.42,0.35,0.339622641509434,0.394736842105263,0.506493506493506,0.909090909090909,0.375,0.125,0.37037037037037,0.0625,0.175,0.25,0.512039856075284,0.4675,1,0.364,0.1,0.604,0.05,1,0.642857142857143,0.02475,0.2475,0.0375,0.0375,0.075,0.1875,0.0375,0.15,0.012375,0.033,0.0375,0.0025,0.0025,0.0025,0.00025,0.05,0.025,0.05,0.05,0.01875,0.05,0.033,0.5,0.375,0.003125
"Small-medium nectonic squids",0.65,0.821428571428571,0.228571428571429,0.178571428571429,0.509803921568627,0.638888888888889,0.684210526315789,0.714285714285714,0.196428571428571,0.0535714285714286,0.446428571428571,0.00892857142857143,0.0892857142857143,0.142857142857143,0.750794109153913,0.337078651685393,0.642857142857143,0.188571428571429,0.0769230769230769,0.924608819345661,0,0.642857142857143,1,0,0.153214285714286,0,0,0,0.0803571428571428,0,0.0535714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321428571428571,0.232142857142857,0
"Antarctic Fur Seals",0.012375,0,0.0589285714285714,0.0707142857142857,0,0,0.00857142857142857,0.0225,0.066,0.02475,0.00458333333333333,0.0495,0.0176785714285714,0.012375,0,0.000825,0.02475,0.0679945054945055,0,0,0.061875,0.02475,0,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081675,0,0,0
"Elephant Seals",0.12375,0.11,0.1848,0.154,0.0809433962264151,0.0868421052631579,0.124285714285714,0.225,0.165,0.0275,0.0458333333333333,0.01375,0.0385,0.055,0.12330473290894,0.0565125,0.2475,0.16016,0.022,0.14432,0.011,0.2475,0.153214285714286,0,0,0,0.0165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01452,0,0,0
"Crabeater Seals",0.01875,0,0.0892857142857143,0.107142857142857,0,0,0.00974025974025974,0.0340909090909091,0.1,0.0375,0.00694444444444444,0.075,0.0267857142857143,0.01875,0,0,0.0375,0.103021978021978,0,0,0.09375,0.0375,0,0,0,0,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12375,0,0,0
"Leopard Seals",0.01875,0,0.0892857142857143,0.107142857142857,0,0,0.00974025974025974,0.0340909090909091,0.1,0.0375,0.00694444444444444,0.075,0.0267857142857143,0.01875,0,0,0.0375,0.103021978021978,0,0,0.09375,0.0375,0,0.165,0.0165,0.5625,0.75,0.28125,0.1125,0.5625,0.140625,0.185625,0.12375,0.5625,0,0,0,0,0.1875,0.375,0.1875,0.1875,0.28125,0.1875,0.12375,0.01875,0.025,0.046875
"Ross Seals",0.0375,0,0.178571428571429,0.214285714285714,0,0,0.0292207792207792,0.0681818181818182,0.2,0.075,0.0138888888888889,0.15,0.0535714285714286,0.0375,0.0103791862717963,0.0065625,0.075,0.206043956043956,0,0.003,0.1875,0.075,0,0,0,0,0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2475,0,0,0
"Weddell Seals",0.09375,0,0.446428571428571,0.535714285714286,0.0424528301886792,0,0.0876623376623377,0.170454545454545,0.5,0.1875,0.0347222222222222,0.09375,0.133928571428571,0.09375,0.072654303902574,0.0346875,0.1875,0.51510989010989,0.0375,0.078,0.075,0.1875,0.0803571428571428,0,0,0,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0
"Adelie Penguin",0.01875,0,0.0892857142857143,0.107142857142857,0,0,0.00974025974025974,0.0340909090909091,0.1,0.0375,0.00694444444444444,0.075,0.0267857142857143,0.01875,0,0,0.0375,0.103021978021978,0,0,0.09375,0.0375,0,0,0,0,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12375,0,0,0
"Emperor Penguin",0.075,0,0.357142857142857,0.428571428571429,0.0283018867924528,0,0.0681818181818182,0.136363636363636,0.4,0.15,0.0277777777777778,0.1171875,0.107142857142857,0.075,0.0518959313589815,0.0253125,0.15,0.412087912087912,0.0125,0.053,0.09375,0.15,0.0535714285714286,0,0,0,0.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12375,0,0,0
"Crested Penguin",0.0061875,0,0.0294642857142857,0.0353571428571429,0,0,0.00214285714285714,0.01125,0.033,0.012375,0.00229166666666667,0.02475,0.00883928571428571,0.0061875,0,0,0.012375,0.0339972527472527,0,0,0.0309375,0.012375,0,0,0,0,0.185625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408375,0,0,0
"King Penguin",0.0165,0,0.0785714285714286,0.0942857142857143,0,0,0.0128571428571429,0.03,0.088,0.033,0.00611111111111111,0.066,0.0235714285714286,0.0165,0.00456684195959037,0.0028875,0.033,0.0906593406593407,0,0.00132,0.0825,0.033,0,0,0,0,0.12375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1089,0,0,0
"Gentoo Penguin",0.01875,0,0.0892857142857143,0.107142857142857,0,0,0.00974025974025974,0.0340909090909091,0.1,0.0375,0.00694444444444444,0.075,0.0267857142857143,0.01875,0,0,0.0375,0.103021978021978,0,0,0.09375,0.0375,0,0,0,0,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12375,0,0,0
"Flying birds - small",0.00125,0,0.00595238095238095,0.00714285714285714,0,0,0,0.00227272727272727,0.00666666666666667,0.0025,0.000462962962962963,0.005,0.00178571428571429,0.00125,0,0,0.0025,0.00686813186813187,0,0,0.00625,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flying birds - med",0.00125,0,0.00595238095238095,0.00714285714285714,0,0,0,0.00227272727272727,0.00666666666666667,0.0025,0.000462962962962963,0.005,0.00178571428571429,0.00125,0,0,0.0025,0.00686813186813187,0,0,0.00625,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flying birds - large",0.00125,0,0.00595238095238095,0.00714285714285714,0,0,0,0.00227272727272727,0.00666666666666667,0.0025,0.000462962962962963,0.005,0.00178571428571429,0.00125,0,0,0.0025,0.00686813186813187,0,0,0.00625,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flying birds - coastal",0.000125,0,0.000595238095238095,0.000714285714285714,0,0,0,0.000227272727272727,0.000666666666666667,0.00025,4.62962962962963e-05,5e-04,0.000178571428571429,0.000125,0,0,0.00025,0.000686813186813187,0,0,0.000625,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue whale",0.025,0,0.119047619047619,0.142857142857143,0,0,0.0194805194805195,0.0454545454545455,0.133333333333333,0.05,0.00925925925925926,0.1,0.0357142857142857,0.025,0.00691945751453086,0.004375,0.05,0.137362637362637,0,0.002,0.125,0.05,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0
"fin whale",0.0125,0,0.0595238095238095,0.0714285714285714,0,0,0.00649350649350649,0.0227272727272727,0.0666666666666667,0.025,0.00462962962962963,0.05,0.0178571428571429,0.0125,0,0,0.025,0.0686813186813187,0,0,0.0625,0.025,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825,0,0,0
"sei whale",0.025,0,0.119047619047619,0.142857142857143,0,0,0.0194805194805195,0.0454545454545455,0.133333333333333,0.05,0.00925925925925926,0.1,0.0357142857142857,0.025,0.00691945751453086,0.004375,0.05,0.137362637362637,0,0.002,0.125,0.05,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0
"humpback whale",0.025,0,0.119047619047619,0.142857142857143,0,0,0.0194805194805195,0.0454545454545455,0.133333333333333,0.05,0.00925925925925926,0.1,0.0357142857142857,0.025,0.00691945751453086,0.004375,0.05,0.137362637362637,0,0.002,0.125,0.05,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0
"minke whale",0.009375,0,0.0446428571428571,0.0535714285714286,0,0,0,0.0170454545454545,0.05,0.01875,0.00347222222222222,0.0375,0.0133928571428571,0.009375,0,0,0.01875,0.051510989010989,0,0,0.046875,0.01875,0,0,0,0,0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061875,0,0,0
"Southern Right Whales",0.025,0,0.119047619047619,0.142857142857143,0,0,0.0194805194805195,0.0454545454545455,0.133333333333333,0.05,0.00925925925925926,0.1,0.0357142857142857,0.025,0.00691945751453086,0.004375,0.05,0.137362637362637,0,0.002,0.125,0.05,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0
"Orca",0.0165,0,0.0785714285714286,0.0942857142857143,0,0,0.0128571428571429,0.03,0.088,0.033,0.00611111111111111,0.066,0.0235714285714286,0.0165,0.00456684195959037,0.0028875,0.033,0.0906593406593407,0,0.00132,0.0825,0.033,0,0.081675,0.01452,0.12375,0.12375,0.2475,0.099,0.12375,0.12375,0.0408375,0.1089,0.12375,0,0,0,0,0.165,0.0825,0.165,0.165,0.061875,0.165,0.33,0.0165,0.022,0.0103125
"Sperm Whales",0.25,0.25,0.21,0.175,0.169811320754717,0.197368421052632,0.253246753246753,0.454545454545455,0.1875,0.03125,0.0925925925925926,0.015625,0.04375,0.0625,0.256019928037642,0.116875,0.5,0.182,0.025,0.302,0.0125,0.5,0.321428571428571,0,0,0,0.01875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165,0,0,0
"Ziphiids",0.1875,0.166666666666667,0.28,0.233333333333333,0.122641509433962,0.131578947368421,0.188311688311688,0.340909090909091,0.25,0.0416666666666667,0.0694444444444444,0.0208333333333333,0.0583333333333333,0.0833333333333333,0.186825352892333,0.085625,0.375,0.242666666666667,0.0333333333333333,0.218666666666667,0.0166666666666667,0.375,0.232142857142857,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0
"Dolphins",0.0015625,0,0.00744047619047619,0.00892857142857143,0,0,0,0.00284090909090909,0.00833333333333333,0.003125,0.000578703703703704,0.00625,0.00223214285714286,0.0015625,0,0,0.003125,0.00858516483516484,0,0,0.0078125,0.003125,0,0,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103125,0,0,0
