"w","fished_biomass","climate_biomass","ratio","log10_w","size_category"
0.0138366742944791,61541230365357.7,61213211974203.8,1.00535862080382,-1.85896828192539,"Small (<1g)"
0.0198484703818451,60673046636592.6,60298408295808.2,1.00621307181023,-1.70227295642332,"Small (<1g)"
0.0284722880740333,60308645718110.3,59889354341080.6,1.00700110030644,-1.54557763092125,"Small (<1g)"
0.0408430056611436,60664015951219.3,60212546967600.4,1.0074979220504,-1.38888230541917,"Small (<1g)"
0.0585885864563713,61589995677853.4,61127583259885.2,1.00756470963366,-1.2321869799171,"Small (<1g)"
0.0840443157253079,62911969848043.8,62469856297504.4,1.00707723015135,-1.07549165441503,"Small (<1g)"
0.12056011986217,64455757490690.5,64080604776035.8,1.00585438785988,-0.918796328912957,"Small (<1g)"
0.172941410442158,66070276310344.9,65834481438043.8,1.0035816318007,-0.762101003410884,"Small (<1g)"
0.248081467403285,67731337742766.9,67764833347003.9,0.999505708158899,-0.605405677908812,"Small (<1g)"
0.355868581802455,64251117882090.3,64851361696232.9,0.990744314406933,-0.44871035240674,"Small (<1g)"
0.510487336437021,14801886960381.9,15239528233385.8,0.971282492062638,-0.292015026904667,"Small (<1g)"
0.732285270429473,11631431012664.3,12218000380831.6,0.951991377485347,-0.135319701402595,"Small (<1g)"
1.05045057734576,7268414932788.18,7915774639925.71,0.918219032680343,0.0213756240994787,"Medium (1g-1kg)"
1.50685321691489,2807371055620.73,3292475683247.69,0.852662654398573,0.178070949601551,"Medium (1g-1kg)"
2.16155492347296,3149240271251.35,3644650937733.76,0.864071848046317,0.334766275103624,"Medium (1g-1kg)"
3.10071321794452,3656772131622.7,4136769003955.13,0.883968171325614,0.491461600605696,"Medium (1g-1kg)"
4.44791957656499,4082609032507.46,4440101443694.21,0.919485530742894,0.648156926107768,"Medium (1g-1kg)"
6.38046383815689,19882684014.6798,20101531961.2506,0.98911287224314,0.804852251609841,"Medium (1g-1kg)"
9.15266521555844,23581090048.8506,23870171544.0635,0.987889425315638,0.961547577111913,"Medium (1g-1kg)"
13.1293402287023,30051153617.3054,30465818411.7807,0.986389179214863,1.11824290261399,"Medium (1g-1kg)"
18.8338118767848,42726278709.4271,43375592214.451,0.985030440580184,1.27493822811606,"Medium (1g-1kg)"
27.0167779668531,62625970993.6387,55897363745.1287,1.12037432175138,1.43163355361813,"Medium (1g-1kg)"
38.7551015421336,6066418102.97191,6240898273.42535,0.972042458824173,1.5883288791202,"Medium (1g-1kg)"
55.5935240458296,6790515356.4269,6913278697.87876,0.982242385007634,1.74502420462228,"Medium (1g-1kg)"
79.747950407875,8724763495.80426,8773089686.26798,0.994491542638693,1.90171953012435,"Medium (1g-1kg)"
114.397057992117,9876481945.63808,9756149571.43374,1.01233400260249,2.05841485562642,"Medium (1g-1kg)"
164.100604596346,11079482028.0851,10691862032.067,1.03625374091581,2.21511018112849,"Medium (1g-1kg)"
235.399484056154,13948845375.1431,12985353656.7981,1.07419834251804,2.37180550663057,"Medium (1g-1kg)"
337.676495648558,5020591644.46876,4705749019.04748,1.06690595357868,2.52850083213264,"Medium (1g-1kg)"
484.391102940098,3690018332.44656,3399321194.61927,1.08551623138391,2.68519615763471,"Medium (1g-1kg)"
694.850674036028,1990202746.60227,1818302550.129,1.09453883043891,2.84189148313678,"Medium (1g-1kg)"
996.751295136877,716147906.33701,700131519.042919,1.022876255187,2.99858680863885,"Medium (1g-1kg)"
1429.82252371756,971822353.138541,949787703.92308,1.02319955198877,3.15528213414093,"Large (1kg-1t)"
2051.05572403526,1650462786.27397,1615795976.67827,1.02145494239128,3.311977459643,"Large (1kg-1t)"
2942.20402414699,1868056887.91212,1844980529.03729,1.01250764358303,3.46867278514507,"Large (1kg-1t)"
4220.54087476266,4764660.19921014,4721581.29073883,1.00912383072929,3.62536811064714,"Large (1kg-1t)"
