"year","scenario","n","slope_median","slope_q25","slope_q75","slope_q05","slope_q95","intercept_median","intercept_q25","intercept_q75","intercept_q05","intercept_q95","r_squared_median"
1889,"Climate-Only",2111,-2.07806451114583,-2.08746217083596,-2.07060881836155,-2.09782782278761,-2.05992802578,11.4688347546894,11.4386509720778,11.489401115406,11.3827258300403,11.5182541341377,0.986805848216048
1889,"Fished",2111,-2.07806451114583,-2.08746217083596,-2.07060881836155,-2.09782782278761,-2.05992802578,11.4688347546894,11.4386509720778,11.489401115406,11.3827258300403,11.5182541341377,0.986805848216048
1890,"Climate-Only",2111,-2.07868268222348,-2.08774582083987,-2.07111022268619,-2.09806700864786,-2.06078621033076,11.470481969735,11.4411086003687,11.4914159014476,11.3829996528913,11.520196140082,0.986845332181736
1890,"Fished",2111,-2.07868268222348,-2.08774582083987,-2.07111022268619,-2.09806700864786,-2.06078621033076,11.470481969735,11.4411086003687,11.4914159014476,11.3829996528913,11.520196140082,0.986845332181736
1891,"Climate-Only",2111,-2.07960556559404,-2.08843630005382,-2.0719717621446,-2.09918267411381,-2.06208020398645,11.4760395390004,11.4463215678108,11.4968396805623,11.3902210225216,11.5259733601434,0.986848647992435
1891,"Fished",2111,-2.07960556559404,-2.08843630005382,-2.0719717621446,-2.09918267411381,-2.06208020398645,11.4760395390004,11.4463215678108,11.4968396805623,11.3902210225216,11.5259733601434,0.986848647992435
1892,"Climate-Only",2111,-2.08069577541772,-2.089187924625,-2.07315629924239,-2.09979354222574,-2.06372596188682,11.4828253715018,11.453297633451,11.5033209512961,11.3989739113539,11.5317523387852,0.986816667199418
1892,"Fished",2111,-2.08069577541772,-2.089187924625,-2.07315629924239,-2.09979354222574,-2.06372596188682,11.4828253715018,11.453297633451,11.5033209512961,11.3989739113539,11.5317523387852,0.986816667199418
1893,"Climate-Only",2111,-2.07974685417046,-2.08824440371965,-2.07227400213737,-2.09872744675564,-2.06280361869193,11.4776230944978,11.4485333439884,11.4988402828635,11.3948594214081,11.5268887274989,0.986793865113992
1893,"Fished",2111,-2.07974685417046,-2.08824440371965,-2.07227400213737,-2.09872744675564,-2.06280361869193,11.4776230944978,11.4485333439884,11.4988402828635,11.3948594214081,11.5268887274989,0.986793865113992
1894,"Climate-Only",2111,-2.07896496955735,-2.08797125043052,-2.07150845025751,-2.09829289092365,-2.0616846548598,11.4741038402948,11.444355163318,11.4953725121692,11.3867802396148,11.5240699333855,0.986841500889872
1894,"Fished",2111,-2.07896496955735,-2.08797125043052,-2.07150845025751,-2.09829289092365,-2.0616846548598,11.4741038402948,11.444355163318,11.4953725121692,11.3867802396148,11.5240699333855,0.986841500889872
1895,"Climate-Only",2111,-2.07972972843438,-2.08859529186281,-2.07214182344147,-2.09906878918063,-2.06237822739752,11.4777009895635,11.4480475379837,11.4992599824511,11.3926034056306,11.5280801634732,0.98686395195932
1895,"Fished",2111,-2.07972972843438,-2.08859529186281,-2.07214182344147,-2.09906878918063,-2.06237822739752,11.4777009895635,11.4480475379837,11.4992599824511,11.3926034056306,11.5280801634732,0.98686395195932
1896,"Climate-Only",2111,-2.07818765919485,-2.08732695255546,-2.0707771704117,-2.09761366857659,-2.06045087996108,11.4709588714329,11.4415422266565,11.4913283997726,11.3844713874816,11.5201856488723,0.986835715880208
