"year","median","mean","q25","q75","relative","relative_q25","relative_q75"
1914,33048641712647.5,37806917658039.6,19405941791961.2,49798810918368.2,0.999019787003893,0.586617749805912,1.50535679830002
1915,32997830547045.7,38004324294547.1,19292014826096.6,49839568467084,0.997483827968776,0.583173877765371,1.50658884886327
1916,32875893868489.1,38012135293507.8,19151199072463,49920362441537.2,0.99379783216602,0.578917190745521,1.50903115132917
1917,32670574978405.3,37872739132053.7,18762148098386.3,49636669818431.4,0.987591294674319,0.567156658357076,1.50045547229298
1918,32594857176658.1,37956686311700.9,18698816949192.7,49814888347997.6,0.985302438665299,0.565242235618366,1.50584279922143
1919,32564831044351.4,38014812472984.6,18463940902108.9,49913432967222.8,0.984394785619754,0.558142221627771,1.50882168184435
1920,33719264767867.8,39302286578241.2,19549660744076,51369285998992,1.01929189705342,0.590962196944724,1.55283032820123
1921,33361927312268.3,38837924344574.4,19175930393503.6,50901754623196.3,1.00849002531886,0.579664788159452,1.53869742980479
1922,33897733107037.7,39202794808102.1,19837230116791.6,51149203066629.9,1.02468677541891,0.599655065352965,1.54617749187218
1923,34165972250506.8,39341619039821.5,20392113221180.8,51271153921929.8,1.03279531477446,0.6164284990565,1.54986391622044
1924,33532366650044.7,38661682055473,19928410039892.2,50815229687466.4,1.01364219684841,0.602411322271087,1.53608188742895
1925,32728307803245.1,37702576248209.8,19042322700480.1,49263755005795.8,0.989336486954112,0.575625991945467,1.48918271621637
1926,32955145053813,38165838820496.5,19073992567909.6,49788656448765.1,0.996193498014271,0.576583333081874,1.50504984117457
1927,32558393177188.2,38020875223967,18548102288174,49890994904254.4,0.984200176814406,0.560686316804565,1.50814340680108
1928,33170096495738.2,38763596561782.1,18989077089390.3,50613845522309.4,1.00269121569948,0.574016442617771,1.52999429183182
1929,33263613202113.1,38868740785849.8,19228971871705.6,50843175325942.3,1.00551811070159,0.581268166801047,1.53692664970513
1930,33030931213881.5,38482295055939.6,19152107378384,50517793023033.3,0.998484420411259,0.578944647716238,1.52709074292949
1931,33238329359288.7,38669625465965.2,19411142763997.1,50535978251949.1,1.00475381123377,0.586774968793025,1.52764046003061
1932,33634081725977,39167438910857.4,19855074166548.5,51057663250530.5,1.01671691847772,0.600194469027781,1.54341035583139
1933,33544532600317.9,38956534220537.2,19965739074112.7,50933086575890.4,1.01400995856027,0.603539733058444,1.5396445561944
1934,33046336803100.2,38448773645612.6,19412535975986.5,49934373898500.2,0.998950112423469,0.586817083877723,1.50945470043816
1935,32993274666443.2,38596000053283.3,19195228406775.5,49982829610601.9,0.997346109302192,0.580248143362857,1.51091945701133
1936,32768484325478.7,38546036095115.2,19017597035015.2,49982265614341.6,0.99055097380151,0.574878565492633,1.51090240809814
1937,32475427915388.4,38347936625192.7,18566841702659.9,49886060405923.9,0.981692239002843,0.561252786253781,1.50799424298631
1938,32312134561086.5,38393525423141,18397525778658.8,49800303723245.5,0.976756081763697,0.556134574140777,1.50540192395521
1939,32169608419054.8,38430341398882.3,18182596623476.6,49812539081080.3,0.972447691806463,0.549637530156398,1.50577178377227
1940,33176921411768.7,39755585781478.6,19096379822816,51342849533484.2,1.00289752451599,0.577260072259922,1.55203118636749
1941,32811766803494.5,39329182239943.1,18730256208106.6,50896556230800.4,0.991859349871678,0.566192605743011,1.53854028879702
1942,33216297710841.7,39790663556330.9,19343618180583.8,51276948917034.1,1.00408782160157,0.584733783696051,1.55003909179423
1943,33593847764476,40038803041360.4,19790637201619.8,51286544935275.8,1.01550069531192,0.598246618839624,1.55032916762195
1944,32982311911127.5,39446488156801.2,19412153850386.6,50591105356277.2,0.997014718693897,0.586805532690878,1.52930688458454
1945,32065310808230.4,38505387308513.2,18371739511267.2,49184198968656.8,0.969294903324055,0.555355086996308,1.48677783507274
1946,32353865491035.7,38942079201225.6,18347824633473.1,49580505717522,0.978017556444314,0.55463216965744,1.49875770060797
1947,31959259237244.1,38697402464876.8,17780935487491.8,49445194396516.9,0.96608909478344,0.537495808084787,1.49466740581567
1948,32477403258270.6,39365691136878.5,18334238717839.3,50301998160246.1,0.981751951188373,0.554221484139387,1.52056752966909
1949,32632153617737.4,39408336792085.5,18552503802056.8,50424425934894.3,0.986429864202088,0.560819369155095,1.52426837070262
1950,32394341312397.2,38982732762188.3,18372139297714.1,49927511201970.2,0.979241090736191,0.555367172048837,1.50924724956362
1951,32477363931672.3,39150831418991.2,18592689139464.4,49944265460305.9,0.981750762393679,0.562034122474359,1.50975371018429
1952,32988626539784.5,39661128436573.9,19065539932900.6,50419694627057.4,0.997205602150796,0.576327820322838,1.52412534908652
1953,32911149897400.8,39496422747401.4,19120486083586.9,50066315993417.5,0.994863578552824,0.577988774870764,1.51344314767019
1954,32364904432132.7,39025051894398.3,18664053448174.6,49554501685547.2,0.978351250055064,0.564191377743948,1.49797163070802
1955,32347937902281.4,39185105800414.6,18463571234260.9,49661807310378.8,0.977838372727589,0.558131047023442,1.50121534775381
1956,32263240119330.4,39127326594459.5,18349975747838.4,49661075055145,0.975278062932737,0.554697195198694,1.50119321257881
1957,31948980025833.3,38897540314666.1,17987801021136.2,49356190381932.7,0.965778366866586,0.543749098708853,1.49197692393549
1958,31913220935873.8,38907863455766,17911308641362.1,49540838165634.2,0.964697413563108,0.541436828158863,1.49755859930806
1959,31929646532659.5,38904851018370.7,17779372910010,49585198915951.4,0.96519393914939,0.537448573289584,1.49889957022355
1960,32999345042597.8,40212199418122.6,18760670312875.5,51221535164388.2,0.997529609306388,0.567111986718855,1.54836400221425
1961,32624836525052.1,39773785533512.6,18542856491510.6,50861220492026,0.98620867749071,0.560527742824099,1.53747213287912
1962,33011649054275.6,40234721504052.3,19093315948881.2,51035275256369.8,0.997901544444679,0.577167455119634,1.5427335943066
1963,33462458770628.7,40465940598632.1,19579804309069.3,51012703039384.3,1.01152896764489,0.591873399835934,1.54205126395242
1964,32862975779187.4,39832286089707.2,19148422816724.4,50274083780730.2,0.993407334216518,0.578833267949518,1.51972371231282
