"year","median","mean","q25","q75"
1879,11.9733816015493,31.9035625588923,3.53686743392446,36.0468928237057
1880,12.5738270330539,32.9281085182482,3.70883696973592,37.5150570165492
1881,12.3341296208906,32.6261583085305,3.65645496166207,37.2376020383589
1882,12.7109646106498,32.96790107039,3.79455158676632,37.6555379854671
1883,12.9176101774665,33.0365510203929,3.84045504197776,38.0557748061987
1884,12.6449308364125,32.5006105893406,3.79302325588779,37.4256894224352
1885,12.1681744473615,31.742710775468,3.65104586520077,36.5110428312884
1886,12.2681536404591,32.0563656150126,3.66639957806702,36.811572176248
1887,12.1437152604395,31.9314378728891,3.59625116717777,36.3795415259502
1888,12.3146303627997,32.5638638412679,3.67399691979171,37.1768183426554
1889,12.3972760904092,32.633108873656,3.73353128810256,37.5567970443083
1890,12.3265866830422,32.3281822453528,3.70206268604655,37.0286648758225
1891,12.4295564208734,32.4058065327881,3.77235949962903,37.2356656742598
1892,12.8098207556528,32.7384704298883,3.83697136433839,37.7781084126875
1893,12.8180514416525,32.5619541521804,3.83877241184154,37.734613286901
1894,12.5480522507925,32.1636642910805,3.78362538211801,37.1838181989963
1895,12.4826132346514,32.2935329602523,3.80393051460178,37.283181781709
1896,12.416325416019,32.3068593106154,3.80306709394882,37.2825775529653
1897,12.3435135934638,32.228460113035,3.75521091908705,37.0545033952464
1898,12.2790317137194,32.337189496946,3.74191028382009,37.0049385029447
1899,12.3291821786387,32.4086341670551,3.7081081226526,36.8846635820839
1900,12.8749610179598,33.4509128885581,3.85278798064263,38.3033126585274
1901,12.6979619140075,33.1424972814711,3.83327086499076,37.9429601908475
1902,13.0170815416458,33.4887279084846,3.92095175655486,38.4693137450845
1903,13.3572104652812,33.5582894924476,3.97659470284174,38.7727125881669
1904,13.0742152812414,33.0128986582667,3.92086528495482,38.1660136719919
1905,12.4978942184843,32.2431446250068,3.83995374603549,37.344298849359
1906,12.5579269338261,32.5643140703883,3.86187264320637,37.6788166108723
1907,12.4426758224022,32.4386573555171,3.77107907032654,37.1711503063666
1908,12.6993027525311,33.0814751356676,3.84790675291775,37.9631785623376
1909,12.7410675273316,33.1513346211311,3.86510493551483,38.3472011029511
1910,12.6479797614579,32.8403432440161,3.85766147943971,37.8930280408594
1911,12.7392858257352,32.9201879085687,3.87221275423016,38.0914011867463
1912,13.0755179216032,33.2589911341561,3.94327998623673,38.6598756124804
1913,13.1442937906284,33.0790809686639,3.9559639508707,38.605342337571
1914,12.8047597696314,32.674872085925,3.91270386862849,38.1908629735234
1915,12.7814834458478,32.8088144481876,3.93229498197406,38.1321790177671
1916,12.7674889082305,32.8230502375408,3.92378567359267,38.1343927392101
1917,12.6603388185913,32.7438981819572,3.87505485899182,37.7198787396549
1918,12.7784040664175,32.8548688041308,3.86542765164692,37.7808845148129
1919,12.6678202125166,32.928223443416,3.84717174699566,37.6952349923284
1920,13.2364043820467,33.9888832585816,3.98174332710558,39.2718370580577
1921,13.0853011604287,33.67416037827,3.98475273780665,38.8579898634827
1922,13.3378333035323,34.0255138564876,4.02895251298194,39.2991402471856
1923,13.6736841642384,34.0967652610663,4.10875262606953,39.5474957196558
1924,13.3384486781177,33.5424250242017,4.0683209192297,39.0735445752627
1925,12.9299511235223,32.7609898598091,3.96629496389021,38.1942364343934
1926,12.9193238910344,33.090385764261,3.96257322509543,38.4750552131614
1927,12.8268750544755,32.9644410590109,3.8984524178474,37.9049730187563
1928,13.1459820767419,33.6188574810733,3.99297906314903,38.5618518240648
1929,13.1487464318892,33.6907796052984,4.02686677552173,39.0331387292082
1930,13.0057923911908,33.3752403763986,4.01464595049212,38.6722673614188
1931,13.7206990358858,34.1238788764471,4.11621977452089,39.7977257464903
1932,15.6778756826407,38.1776433672256,4.56144603918519,44.9276430651896
1933,16.3402401360304,41.2212121582845,4.77917500069349,48.6099381692178
1934,17.4868386768585,48.219807032335,4.99730973485102,54.388984601621
1935,18.5284390093258,54.8517758596786,5.29072193329342,58.077596439991
1936,19.4875990027956,60.2460536372702,5.4121431442922,61.8210776539206
1937,20.0147425548406,64.9865178873815,5.54453000137048,63.9511021608121
1938,20.7252216646211,70.3140509251848,5.64688501129545,66.5586805266732
1939,21.2236718403836,72.9329255830691,5.75142042590941,67.8670861067525
1940,23.9895758131947,82.8175959060988,6.33230018354037,72.8254401490226
1941,24.3178338808803,86.0846309838899,6.39462388924194,74.8810656700634
1942,24.7652229582824,86.8808489954124,6.61877040195666,76.4413994585946
1943,25.1858210921054,86.9857320767362,6.7301820773568,76.834082669155
1944,24.7074534047497,85.2356675948004,6.67084996228722,75.1516362580258
1945,23.8427217566657,82.9258962193531,6.4237773315183,72.3006575642226
1946,24.0279259590158,83.7183496118117,6.39433423363943,73.2704994224817
1947,23.8020727328679,83.4333442334107,6.27395024414486,72.7916262831117
1948,25.0651647404235,91.0897649521244,6.67640432602464,78.4022768826351
1949,26.8507035119882,100.986113139206,7.03622990196665,83.8524685070767
1950,26.9347620998556,100.780213173333,6.97364180039379,83.9877055470042
1951,27.6834964301768,103.740130159549,7.12698288627067,85.9460121120094
1952,29.2081807393366,108.975757904631,7.56574703939398,90.2610641097633
1953,29.9327884602585,112.581241265859,7.64125403218671,92.7711135331448
1954,30.3640519642405,114.457614688351,7.63178374791207,95.2416856571446
1955,31.0630016279099,118.024068932061,7.66327440207469,98.429045203858
1956,31.4624221305023,119.899915076202,7.68224519740455,101.126281071274
1957,31.9387792155984,122.601841503507,7.66160354486622,102.987284101556
1958,32.1362979313258,123.423571102869,7.65926484047964,103.832675202324
1959,32.4822721315598,126.108153479941,7.68300684765036,105.836989775579
1960,34.6330201971532,133.539929672756,8.10630525045832,112.013170622829
1961,34.4618338773472,133.727278858351,8.04252140617187,112.228507003216
1962,35.2500465811092,135.157455707789,8.19862120696731,113.324190778288
1963,36.0947670036302,135.981872064918,8.45413126403747,114.577892769761
1964,35.8624916946122,133.746988904474,8.29275442894017,112.045364118752
1965,34.3595218706377,131.003409135308,8.10188153665992,110.926791189254
1966,34.6872546726247,132.563089588483,8.11827801020808,112.452407057898
1967,34.351949078157,131.624565935836,7.95623399775285,111.928517620243
1968,35.7017969637151,135.909849846408,8.19032655910856,116.312543798555
1969,35.8067836869126,136.121666136589,8.26556323609716,117.185036006875
1970,35.1764719231829,134.353943294483,8.23033421742469,116.151770125275
1971,35.7507724892497,134.931837937929,8.32258693074544,116.826171128573
1972,36.4202078155547,135.99479391869,8.45362268092928,118.564622843379
1973,37.4742899214107,144.747549989703,9.23133307629655,119.973094089014
1974,38.6867790062112,157.244101174056,10.0384731885825,124.768295271482
1975,39.34570816961,163.937532371656,10.5188425577717,129.063415480718
1976,40.0118634236476,166.109980089866,10.668730927038,131.17740498873
1977,39.9914394149257,166.389945885366,10.8705482271741,131.43995048151
1978,40.3265448197555,169.548486441596,11.378095582394,133.644149840137
1979,40.6711466282374,172.739086883767,11.9791146977589,134.280883379496
1980,42.4159581116976,177.558146407985,12.4038325902149,137.764497604872
1981,44.098049682285,192.171411390751,12.8149224049633,140.158581337439
1982,44.8438720333699,194.364317327402,13.0334163879314,141.88609562579
1983,46.2491194422076,197.258961336917,13.3987594159344,144.679735822253
1984,47.7501729001693,199.209769464277,13.7730474415261,147.510963213195
1985,47.0023918895394,194.125037820395,13.5099332059291,144.722826024256
1986,48.0639141765885,195.346619222333,13.6274002918063,145.777297805535
1987,47.7565252531745,193.458604746543,13.6624287276107,145.596789427889
1988,48.199930917739,194.350102769203,13.886296976414,147.495512069986
1989,49.0271402911625,195.393074294975,14.4422679901037,149.320068674781
1990,50.7055747405309,197.472333834844,15.1247308664704,152.411199847455
1991,49.7090742351683,190.461659337638,14.6978230376184,147.294485447743
1992,49.2191274726665,187.441579666624,14.5621780193142,146.477366581872
1993,50.649927217353,191.081072396143,15.1847521040302,151.354183716425
1994,51.859470240027,190.447114924881,15.705548590976,153.164162795354
1995,50.9361134885433,187.258065325221,15.4046520062504,151.140137467101
1996,50.3251009809542,184.497846608405,15.2023690539912,148.974093073268
1997,50.9435437668977,186.859351616828,15.3786141450765,150.54779245911
1998,50.8814370036215,184.953565876429,15.3808999541449,150.243315276808
1999,51.560013229457,185.657821583579,15.5030188844891,150.84228873862
2000,50.7172066455108,182.49201730608,15.2471342093701,149.117802794027
2001,49.5567594479979,179.321443342533,14.7069302373236,146.521255104198
2002,51.0422444892222,184.570435827774,15.1598242407463,150.347459521695
2003,50.1471899768519,181.825079491493,14.5972546639044,150.397309263366
2004,51.560471661942,184.720231886411,15.0789809532042,153.162868379155
2005,53.709832492407,190.006092687386,15.9035351911104,157.312209405526
2006,51.9635767711934,182.448473357531,15.2013045818183,151.97300475137
2007,52.1087892095199,188.288117438575,15.19038154032,152.719907664539
2008,51.6600716653145,185.136098333943,14.9038520992459,151.51492488833
2009,52.9509881558396,189.798357846077,15.2635142745508,155.42629178839
2010,54.2379652336915,192.600339002477,15.7873501249634,158.946717081977
