"year","median","mean","q25","q75","q05","q95","relative","relative_q25","relative_q75"
1988,639135176127.304,2483808819855.12,245312687653.879,1718863326605.04,36681172650.4,11832053811457.4,0.28969804222248,0.111191822950938,0.779101759948067
1989,638948038240.925,2479677191571.39,245470408223.656,1715858578998.15,37204480636.2958,11802844434021.9,0.28961321904057,0.111263312272742,0.777739810971384
1990,637689115732.143,2474682264847.47,245613505823.175,1714226364048.77,37696493931.8151,11772048737172.7,0.289042592669614,0.111328173503943,0.776999983947329
1991,636413399198.644,2469482740392.63,245745792756.306,1697912053767.99,38164874399.4081,11757519047117.8,0.288464354143572,0.111388134631058,0.769605266953047
1992,636091294617.738,2462893055140.97,245821370343.853,1688232486715.69,38569208264.782,11742930303540.2,0.288318355190667,0.111422391357907,0.765217851380641
1993,635594204617.414,2449149162888.03,244597536064.35,1686298278153,38664981540.457,11727994105855.7,0.288093041352091,0.110867669277165,0.764341141015151
1994,635328936416.46,2445118989803.43,244747347477.11,1683961970308.67,39191553340.8991,11713574107462.3,0.287972804379772,0.110935573649511,0.76328217284408
1995,633492623247.974,2433763805176.17,244402983901.442,1655473127178.91,39330596413.767,11680501428355.7,0.287140466637009,0.11077948545814,0.750369157901161
1996,631624715077.889,2424881380621.27,244428679189.978,1640605949098.51,39606256070.1871,11617474457611.1,0.286293807964264,0.110791132250651,0.743630376272273
1997,628893699358.136,2408526355687.39,243336566171.824,1636767051601.22,39533958352.6415,11572218004247,0.285055932258399,0.110296114897418,0.741890335775682
1998,628634739768.677,2403218546374.48,243417971264.27,1633785155378.32,39992616633.7122,11557915401101.9,0.284938554763179,0.110333013032256,0.740538744547171
1999,626752496854.871,2390863121811.64,242736982095.162,1626505830394.15,40031538460.7557,11480409481376.9,0.284085398643028,0.110024344011313,0.737239276335468
2000,626427581847.138,2386066205399.27,242984674237.175,1622482553250.94,40485132903.8741,11444842275234,0.283938125820087,0.11013661435927,0.735415662872709
2001,625990954262.644,2379366244090.53,243109342408.738,1614616488588.48,40823337090.4345,11393484870226,0.283740217519727,0.110193122163218,0.731850245699903
2002,623040163414.066,2371651860755.28,242702022768.26,1605247653017.78,41100995889.6935,11379260998080,0.28240272528996,0.110008498148123,0.727603674044777
2003,622399885270.262,2362808739669.95,242514971068.183,1591849184453.47,41406048746.0112,11365002614451.5,0.282112509179712,0.109923714031506,0.721530608038024
2004,621984057304.072,2355839974657.14,242619497929.525,1582344956541.99,41769329929.2405,11350839594026.6,0.281924028632551,0.109971092470718,0.717222667681062
2005,620694313152.516,2347142691893.59,241691607274.298,1576538968484.38,42162023706.642,11336618499836.6,0.281339431868627,0.109550511479003,0.71459101253786
2006,619726704371.147,2343424582792.72,241852027113.616,1572004259501.62,42791817789.6865,11322615559050.2,0.280900848013333,0.109623224287059,0.712535584572975
2007,614452134227.563,2310974872132.18,236011543321.732,1560681597958.41,40838918829.1846,11189860020074.9,0.278510066373962,0.106975933411297,0.707403410653693
2008,613936299775.104,2306541451659.29,236201385615.603,1559163553445.06,41216112444.594,11151477602440.8,0.278276256318484,0.107061982408316,0.706715333170321
2009,613323417469.501,2295185558671.37,236001848772.918,1550374699228.98,41388908611.6301,11061207166270,0.277998457801554,0.106971539205006,0.702731647160101
2010,613123930214.707,2291652453388.54,236244926163.431,1543335744113.89,41837267891.0189,11047678904721,0.277908037074733,0.107081717844471,0.69954113036131
