"w","dw","n_mean","n_median","n_q05","n_q25","n_q75","n_q95","n_density_mean","n_density_median","n_density_q05","n_density_q95","biomass_mean","biomass_median","biomass_q05","biomass_q95","biomass_density_mean","biomass_density_median","biomass_density_q05","biomass_density_q95","n_sims","period","scenario"
0.0138366742944791,0.00601179608736596,224.323098801631,218.457785776654,103.185941477552,164.435861928365,267.618289599643,389.424117659106,37313.8236130556,36338.1895529943,17163.9124112013,64776.6677378657,3.10388565484644,3.02272922888466,1.42775026399407,5.38833467846397,516.299224015495,502.799693295826,237.49146565276,896.293653370542,2112,"pre_whaling","fished"
0.0198484703818451,0.00862381769218825,153.230658519574,147.047127514902,69.2280051703019,111.50043467877,179.136400821155,277.792366676951,17768.30911655,17051.2796957781,8027.53578997976,32212.2262543403,3.04139418721638,2.91866055521493,1.37407001021696,5.51375356229011,352.673757235311,338.441820014209,159.334306366615,639.363418742567,2112,"pre_whaling","fished"
0.0284722880740333,0.0123707175871103,105.670385740145,99.4508103682648,45.5969320521551,75.0902733456069,123.952462779967,203.219956398223,8541.97705153729,8039.21111834997,3685.87608043569,16427.4994532224,3.00867766368764,2.8315921220013,1.29824898468108,5.78613714096271,243.209631333152,228.894734849632,104.945325567354,467.728496768173,2112,"pre_whaling","fished"
0.0408430056611436,0.0177455807952277,73.84942384144,68.6307276763648,30.2929759644763,50.6149709247546,87.0878266878575,149.942862819208,4161.56702300216,3867.48275349893,1707.07154158758,8449.5889173451,3.01623243602813,2.80308519901418,1.23725618881,6.12411719497299,169.970905479706,157.959619995532,69.7219326370389,345.106607985463,2112,"pre_whaling","fished"
0.0585885864563713,0.0254557292689366,52.1729044377697,47.0139698836987,20.1303994937125,33.9391484312313,61.3223449306612,111.105549947552,2049.55449857945,1846.8914949166,790.800345220415,4364.65790367801,3.05673672233227,2.75448203918832,1.17941165113867,6.50951711888482,120.080500937067,108.206762025458,46.3318743956745,255.719136942123,2112,"pre_whaling","fished"
0.0840443157253079,0.0365158041368622,37.1482134856266,31.8684473857868,13.4916650869991,22.852120364695,44.1023252524717,83.4473973109957,1017.31878466634,872.730264034253,369.474681056783,2285.24057688098,3.12209618281715,2.67836185376643,1.13389776023187,7.01327940606054,85.4998611317841,73.3480178535261,31.0522467472437,192.06148055167,2112,"pre_whaling","fished"
0.12056011986217,0.0523812905799883,26.5812042510735,21.2836839460259,9.0558387313067,15.2861096291082,32.2572736425378,64.2333925178069,507.456077480241,406.322251902611,172.883077737042,1226.26593973892,3.20463317059025,2.56596348764143,1.09177300289882,7.74398550110062,61.1789655258045,48.9862593920457,20.8428045741186,147.838768677821,2112,"pre_whaling","fished"
0.172941410442158,0.0751400569611266,19.0747850640496,13.6658177094222,5.99049795544,9.8536744848233,23.7765510298646,50.07823371636,253.856409423775,181.87127162403,79.7244265936497,666.465208327799,3.29882023285775,2.36338578951289,1.03600516566466,8.66060037135934,43.9022854955297,31.4530742335687,13.7876547817981,115.259433138836,2112,"pre_whaling","fished"
0.248081467403285,0.10778711439917,13.7428450158443,8.8897289561096,3.82348308258611,6.04345458748159,18.0567159899084,39.5009817758196,127.499888019547,82.4748765718703,35.4725432988821,366.472207703185,3.40934515782657,2.20537700424914,0.948535293719599,9.79946152281574,31.6303593136438,20.4604884038544,8.80008059411324,90.9149630495277,2112,"pre_whaling","fished"
0.355868581802455,0.154618754634566,9.25025222868813,5.08217594077706,2.17801725788431,3.26753435878908,12.1117912413824,30.4644690448276,59.8261979961659,32.869078222681,14.0863717537498,197.02958490921,3.29187414193824,1.80858674451489,0.775087912704562,10.8413473943476,21.2902642355284,11.6970722522594,5.01289713874909,70.1166389547671,2112,"pre_whaling","fished"
0.510487336437021,0.221797933992453,1.48385369844718,1.51690877639383,0.640351873151239,1.25760785783199,1.75266191608146,2.14461363443552,6.69011505985294,6.83914745772808,2.88709575253766,9.66922277332165,0.757488522182522,0.774362720879224,0.326891522107433,1.09479810192951,3.41521901736153,3.49129816919563,1.47382582075159,4.93601577896915,2112,"pre_whaling","fished"
0.732285270429473,0.318165306916286,0.817523288342752,0.811815680594176,0.324365050209724,0.648023468860488,0.997337489168508,1.3147378718969,2.56949224372177,2.55155311703352,1.01948591866765,4.13224774454378,0.598660262286465,0.594480665202793,0.237527748510697,0.962763178065893,1.88160132256023,1.86846476432206,0.746554521650578,3.02598415709482,2112,"pre_whaling","fished"
1.05045057734576,0.456402639569127,0.347917835287869,0.313976778111921,0.143285222633948,0.246966918600258,0.430177917861462,0.647404065990256,0.762304608089746,0.687938129385788,0.313944772031157,1.41849325543219,0.36547049094703,0.32981708784083,0.150514044840946,0.680065974895458,0.800763315681208,0.722645005191464,0.329783467034812,1.49005705912981,2112,"pre_whaling","fished"
1.50685321691489,0.654701706558075,0.0677545350226766,0.0678251163701281,0.0134761153124068,0.0447567753355619,0.0889361661909846,0.121288668696171,0.103489168187568,0.10359697506625,0.0205835958229802,0.18525790826759,0.102096139059493,0.102202494789954,0.0203065277100161,0.182764220600149,0.155942985999283,0.15610543514123,0.0310164575815335,0.279156475031942,2112,"pre_whaling","fished"
2.16155492347296,0.939158294471553,0.0547638113418509,0.0512300803757042,0.0089632154818876,0.0318418938757599,0.0755026362185465,0.106631637673432,0.0583115877953945,0.0545489303318462,0.00954388151033798,0.113539579324518,0.118374986034122,0.110736632466019,0.0193744825550232,0.230490141410991,0.126043699694661,0.117910508928986,0.0206296240677136,0.24542203669796,2112,"pre_whaling","fished"
3.10071321794452,1.34720635862047,0.0471142962064452,0.0399724241545117,0.00534412694645855,0.0210452068028733,0.0703376946455478,0.103119104074951,0.0349718481544948,0.0296706023533344,0.00396682135016856,0.0765429166920971,0.146087921001478,0.123943023929179,0.0165706050612575,0.319742769027795,0.108437671828591,0.0920000289013596,0.0122999753936922,0.237337633527211,2112,"pre_whaling","fished"
4.44791957656499,1.93254426159191,0.0413363866647307,0.0262070945490346,0.00217257822314571,0.0102839003287933,0.0690501174844726,0.110482951218465,0.0213896196254157,0.0135609284971548,0.00112420619093923,0.057169687346491,0.183860923470516,0.116567048889541,0.00966345321034859,0.491419281601283,0.0951393078671652,0.0603179193388928,0.00500037872477418,0.254286171534557,2112,"pre_whaling","fished"
6.38046383815689,2.77220137740155,0.000159571111800887,0.000156774110691116,0.000115648913625039,0.000141221414504193,0.000175787831784086,0.000213410352035383,5.7561154504027e-05,5.65522086415182e-05,4.17173566710511e-05,7.69822689560228e-05,0.00101813770846005,0.00100029154402387,0.000737893711306695,0.00136165703385009,0.000367266864795506,0.000360829322205111,0.000266176085663135,0.000491182583253171,2112,"pre_whaling","fished"
9.15266521555844,3.97667501314384,0.00013239284173314,0.000131860751412887,8.67280077722374e-05,0.00011696388406432,0.000146417837327102,0.000178265179626109,3.32923463183565e-05,3.31585435010545e-05,2.18091766326343e-05,4.48276962630593e-05,0.00121174735731984,0.00120687731275412,0.00079379241995164,0.00163160150870917,0.000304713700092347,0.000303489047700683,0.000199612092345482,0.000410292896280522,2112,"pre_whaling","fished"
13.1293402287023,5.70447164808255,0.000118221862884098,0.000120140699342951,6.46730354747537e-05,0.000102630518091884,0.000133629774415081,0.000162035271715447,2.07244193989176e-05,2.10607934887946e-05,1.13372525037428e-05,2.8404956972643e-05,0.00155217506027631,0.00157736811698783,0.000849114286370974,0.00212741621140232,0.000272097953330707,0.000276514323200822,0.000148850645380346,0.000372938344275479,2112,"pre_whaling","fished"
18.8338118767848,8.18296609006824,0.000118007910040073,0.0001202608047989,4.40015949009362e-05,9.27025152175067e-05,0.000144773586771634,0.000177724059643231,1.44211657168298e-05,1.46964808939953e-05,5.37721828694138e-06,2.17187823690161e-05,0.00222253877766728,0.00226496937373322,0.000828717760642726,0.0033472215052991,0.000271605522154711,0.00027679075640827,0.000101273517636661,0.00040904746133088,2112,"pre_whaling","fished"
27.0167779668531,11.7383235752805,9.85013682782807e-05,7.42244383476874e-05,2.1484827428428e-05,4.74280538741452e-05,0.000148203315762363,0.000222517360703634,8.39143406182061e-06,6.32325713903432e-06,1.830314805231e-06,1.89564855046447e-05,0.00266118959620553,0.00200530517055384,0.000580450812289995,0.00601170212790024,0.000226709510871695,0.000170834034152609,4.94492087023699e-05,0.000512143159910855,2112,"pre_whaling","fished"
38.7551015421336,16.838422503696,8.25508920759169e-06,7.88756592613296e-06,6.29367304774874e-06,7.10254741145719e-06,8.93634872590712e-06,1.17250474670088e-05,4.90253122332554e-07,4.68426654836679e-07,3.73768566881327e-07,6.96326954881622e-07,0.000319926820479587,0.000305683418387556,0.000243911938038492,0.000454405405170262,1.89998095373462e-05,1.81539225732374e-05,1.44854387627436e-05,2.69862218429619e-05,2112,"pre_whaling","fished"
55.5935240458296,24.1544263620455,6.33567989143807e-06,6.24075179533611e-06,5.04431971086444e-06,5.65457090825536e-06,6.88045164668807e-06,8.11695462739991e-06,2.6229891765898e-07,2.58368867957981e-07,2.08836245384437e-07,3.36044189405976e-07,0.000352222772391341,0.000346945384998072,0.000280431509140794,0.000451250112257264,1.45821211860696e-05,1.43636358735158e-05,1.16099428294205e-05,1.86818807242024e-05,2112,"pre_whaling","fished"
