"w","dw","n","n_density","biomass","biomass_density","period","scenario"
484.391102940098,210.45957109593,2.39589511180267e-07,1.13841109688026e-09,0.000116055027573488,5.51436206817074e-07,"pre_whaling","unfished"
694.850674036028,301.900621100849,8.7850718238676e-08,2.90992174571677e-10,6.10431307826932e-05,2.0219610864034e-07,"pre_whaling","unfished"
996.751295136877,433.071228580683,3.60588070677081e-08,8.32629939095347e-11,3.59416626458288e-05,8.29924970163026e-08,"pre_whaling","unfished"
1429.82252371756,621.233200317702,3.22283198339358e-08,5.18779740320609e-11,4.60807776001348e-05,7.41762957558754e-08,"pre_whaling","unfished"
2051.05572403526,891.14830011173,3.39548497987677e-08,3.81023560214506e-11,6.964328903852e-05,7.81500554170257e-08,"pre_whaling","unfished"
2942.20402414699,1278.33685061567,2.09048928264603e-08,1.63531958078124e-11,6.15064597983732e-05,4.81144385134094e-08,"pre_whaling","unfished"
4220.54087476266,1833.75214140801,6.52111176765382e-11,3.55615768369149e-14,2.75226187642788e-07,1.50089088611212e-10,"pre_whaling","unfished"
6054.29301617067,2630.48578666801,9.82506343856804e-11,3.73507566106764e-14,5.94838129595563e-07,2.26132424896709e-10,"pre_whaling","unfished"
8684.77880283868,3773.38644499111,1.64637985542627e-11,4.36313608327002e-15,1.42984448698267e-07,3.78928717698841e-11,"pre_whaling","unfished"
12458.1652478298,5412.8577068946,1.50703620117783e-11,2.78417849273638e-15,1.87749060287351e-07,3.46857557419635e-11,"pre_whaling","unfished"
17871.0229547244,7764.65092622054,2.00565897686459e-11,2.58306393413213e-15,3.58431776148961e-07,4.61619948603959e-11,"pre_whaling","unfished"
25635.6738809449,11138.2576950552,2.98559548410894e-11,2.68048698984079e-15,7.65377521710387e-07,6.87160903136741e-11,"pre_whaling","unfished"
36773.9315760001,15977.6383587978,1.67873413275437e-12,1.0506772622188e-16,6.17336541322051e-08,3.86375337492932e-12,"pre_whaling","unfished"
52751.5699347979,22919.646367839,1.33085971800261e-12,5.80663286266964e-17,7.02049394876199e-08,3.06308999540813e-12,"pre_whaling","unfished"
75671.2163026369,32877.8370013328,1.14088676562576e-12,3.47007853825515e-17,8.63322892184824e-08,2.62585063655443e-12,"pre_whaling","unfished"
108549.05330397,47162.6895344688,1.16959388653478e-12,2.47991346142374e-17,1.26958309133461e-07,2.69192258513318e-12,"pre_whaling","unfished"
155711.742838438,67654.0638617596,3.27853272521204e-12,4.84602481812653e-17,5.10506044595622e-07,7.54582970268809e-12,"pre_whaling","unfished"
223365.806700198,97048.5865456401,4.15945765008653e-13,4.28595386923066e-18,9.29080613446886e-08,9.5733554348054e-13,"pre_whaling","unfished"
320414.393245838,139214.521832002,1.75493123949048e-15,1.26059495546611e-20,5.6230522828951e-10,4.03912767784437e-15,"pre_whaling","unfished"
459628.91507784,199700.827995044,3.00298670664381e-15,1.50374274197718e-20,1.38025952196787e-09,6.91163645051148e-15,"pre_whaling","unfished"
659329.743072884,286467.389874973,1.55726751724121e-15,5.4361074673137e-21,1.02675279203839e-09,3.58418733974053e-15,"pre_whaling","unfished"
945797.132947857,410932.524845698,2.17972502919894e-15,5.30433805408177e-21,2.06157768323104e-09,5.01682772373675e-15,"pre_whaling","unfished"
1356729.65779355,589475.612040031,2.36789901652397e-14,4.01695840872746e-20,3.21259882237826e-08,5.44992660724374e-14,"pre_whaling","unfished"
1946205.26983358,845592.588029984,5.10549470801413e-17,6.03777135737274e-23,9.93634070584457e-11,1.17507424337691e-16,"pre_whaling","unfished"
2791797.85786357,1212987.96816498,2.2494437663986e-16,1.85446502804275e-22,6.27999228841616e-10,5.17729149277266e-16,"pre_whaling","unfished"
4004785.82602855,1740010.29779703,5.14466943195306e-18,2.95668907159145e-24,2.0603299220688e-11,1.1840906485883e-17,"pre_whaling","unfished"
5744796.12382558,2496014.73048404,9.17081892825405e-18,3.67418461768277e-24,5.26844850313401e-11,2.11074415498835e-17,"pre_whaling","unfished"
8240810.85430961,3580490.03657106,2.98278955279126e-17,8.33067407624403e-24,2.45806045227635e-10,6.86515093512275e-17,"pre_whaling","unfished"
11821300.8908807,5136151.13941999,7.41520989847332e-18,1.4437289124071e-24,8.76574273788899e-11,1.70667538784283e-17,"pre_whaling","unfished"
16957452.0303007,7367720.13258517,3.25720254380091e-20,4.42090970501893e-27,5.52338558894772e-13,7.49673642531491e-20,"pre_whaling","unfished"
24325172.1628858,10568867.324693,2.78135846401608e-20,2.63165236024653e-27,6.76570234838909e-13,6.40153967358616e-20,"pre_whaling","unfished"
34894039.487579,15160857.7031781,3.883504605698e-20,2.56153357661546e-27,1.35511163061421e-12,8.93822537711794e-20,"pre_whaling","unfished"
50054897.1907571,21747988.6192715,7.64701037527494e-19,3.51619200706161e-26,3.8277031815104e-11,1.76002629416431e-18,"pre_whaling","unfished"
71802885.8100286,31197114.189972,3.27758897643536e-20,1.05060646201978e-27,2.35340347007196e-12,7.54365758236845e-20,"pre_whaling","unfished"
103000000.000001,44751721.6796645,2.08527854511387e-18,4.65966105179241e-26,2.14783690146729e-10,4.79945088334621e-18,"pre_whaling","unfished"
3.16227766016838e-08,1.37395504584151e-08,574363981113.792,41803695313918517248,18162.9838628152,1321948918036.9,"peak_whaling","unfished"
4.53623270600988e-08,1.97091479158781e-08,397237852408.659,20154998790619275264,18019.6333816129,914277647035.968,"peak_whaling","unfished"
6.50714749759769e-08,2.82724324020403e-08,270178046253.867,9556236351081320448,17580.8839758669,621838394583.909,"peak_whaling","unfished"
