"w","n_unfished","n_density_unfished","biomass_unfished","biomass_density_unfished","n_mean","n_median","n_q05","n_q95","n_density_mean","biomass_mean","biomass_median","biomass_q05","biomass_q95","biomass_density_mean","period","n_ratio","n_ratio_median","biomass_ratio","biomass_ratio_median","n_diff","biomass_diff","log_n_ratio","log_biomass_ratio","period_label"
2.75531941876727e-07,49724783304.5904,415363588465121152,13700.7661033133,114445936114.681,35268729775.184,33586040304.5002,19100455138.9033,51957555734.5279,294608547015522752,9717.661602482,9254.02690504895,5262.78549515134,14315.9662267028,81174065052.668,"post_krill",0.709278702315192,0.675438645931708,0.709278702315193,0.675438645931708,-14456053529.4064,-3983.10450083125,-0.149183080622153,-0.149183080622153,"Post Krill Fishing (2001-2010)"
3.95245813495413e-07,31651418951.0297,184311902743056960,12510.0908315839,72848507936.5671,21856187805.1671,20574900932.788,11495393419.2419,32643919730.7717,127272510825265856,8638.56672896182,8132.14345676732,4543.5061234381,12902.3726096679,50303927076.736,"post_krill",0.690527898258921,0.650046715587094,0.690527898258921,0.650046715587094,-9795231145.86256,-3871.52410262206,-0.160818770647771,-0.160818770647771,"Post Krill Fishing (2001-2010)"
5.66973295442978e-07,20002677324.7374,81199433954491440,11340.9838804889,46037910657.2825,13395239814.2281,12629743096.3727,6885443053.42269,20321567675.9607,54377015283591168,7594.74326072189,7160.72706394864,3903.86233858402,11521.786193807,30830315551.6909,"post_krill",0.669672344194751,0.631402631324429,0.669672344194751,0.631402631324429,-6607437510.50931,-3746.24061976701,-0.174137635977388,-0.174137635977388,"Post Krill Fishing (2001-2010)"
8.13313403379543e-07,12582585312.1259,35607331744435996,10233.5852835186,28959920166.3317,8141016696.50534,7640893579.69737,4057753753.25384,12542615573.5953,23038181348160512,6621.19799640444,6214.44116216457,3300.225515135,10201.077359442,18737261679.9475,"post_krill",0.64700667585856,0.607259429612909,0.64700667585856,0.607259429612909,-4441568615.62059,-3612.38728711415,-0.189091238228399,-0.189091238228399,"Post Krill Fishing (2001-2010)"
1.16668403509199e-06,7896730865.00849,15578353637022964,9212.98982962356,18175016481.3319,4921104830.04596,4567706838.60237,2407077643.72102,7691548490.96925,9708158051456560,5741.37444022869,5329.07064557788,2808.29905815615,8973.6068295497,11326353008.7841,"post_krill",0.623182544038832,0.578430101859304,0.623182544038832,0.578430101859304,-2975626034.96254,-3471.61538939486,-0.205384720184315,-0.205384720184315,"Post Krill Fishing (2001-2010)"
1.67358810525261e-06,4953558285.23758,6812337777417432,8290.21622484913,11401047473.2488,2968020784.83055,2739683349.14518,1413339362.66591,4708030311.81068,4081744667649872,4967.24428163493,4585.10146528801,2365.34794604297,7879.3035290151,6831159324.4571,"post_krill",0.599169448288465,0.553073809045488,0.599169448288465,0.553073809045488,-1985537500.40702,-3322.97194321419,-0.222450339464141,-0.222450339464141,"Post Krill Fishing (2001-2010)"
2.40073324207457e-06,3109274248.63015,2980867009913183,7464.53804741281,7156266520.902,1791455536.9096,1647751057.23051,860237384.370997,2891049578.75363,1717471757936060,4300.80685915742,3955.81073775679,2065.20048473473,6940.63882819951,4123191541.60134,"post_krill",0.576165173496311,0.529947159841708,0.576165173496311,0.529947159841708,-1317818711.72054,-3163.73118825539,-0.239452996342804,-0.239452996342804,"Post Krill Fishing (2001-2010)"
3.44381038650601e-06,1953183224.5152,1305362795748302,6726.39267533473,4495421954.15653,1084976091.60407,988649177.086338,524309124.139274,1779445538.52816,725117544775092,3736.4519333768,3404.72030466055,1805.6212074507,6128.07302780506,2497167332.1342,"post_krill",0.555491199179932,0.50617328916069,0.555491199179932,0.50617328916069,-868207132.911124,-2989.94074195793,-0.255322817331339,-0.255322817331339,"Post Krill Fishing (2001-2010)"
4.94008654120945e-06,1226765560.64634,571550349969323,6060.32803536826,2823508191.507,660613985.404855,596907773.347838,323020889.25238,1100675722.65582,307780204030053,3263.49025823326,2948.77605745896,1595.75114752519,5437.433323728,1520460843.57956,"post_krill",0.538500595873265,0.486570370489816,0.538500595873265,0.486570370489816,-566151575.241487,-2796.837777135,-0.26881381180086,-0.26881381180086,"Post Krill Fishing (2001-2010)"
7.08646885155566e-06,768983393.164854,249755209136778,5449.37686302632,1769882510.06155,405513342.506844,365297263.724201,201120932.230856,690214637.929919,131705145476189,2873.65767056497,2588.66768094006,1425.2372216498,4891.18453257814,933324411.006623,"post_krill",0.527336930954906,0.475039210171719,0.527336930954906,0.475039210171719,-363470050.65801,-2575.71919246135,-0.277911812684678,-0.277911812684678,"Post Krill Fishing (2001-2010)"
