"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1861-1870",1861,1870,"spectrum_intercept","structural","absolute",2111,-0.00136661305782404,-0.00133055210627265,0.00154365199695589,-0.00390637348193312,-0.00197466272484537,-0.000768238362272911,0.00112052275580066,-0.0273644024264377,11.72259296732,11.6848949234287,11.749917591584,2111,0.50071056371388,0.100426338228328,0.0184746565608716,0.0525817148270962,0.0478446234012316,11.7239144996379,0.0499412717488655
"1871-1880",1871,1880,"spectrum_intercept","structural","absolute",2111,0.00120251844787234,0.00177310941954693,0.00244518954362438,-0.000470088230682286,0.000589470210162091,0.00233237297838862,0.00656658426746493,0.0240786508985858,11.7253251090136,11.6883991561943,11.7528480032673,2111,0.498815727143534,0.0980577925153956,0.0222643297015632,0.0464234959734723,0.0516342965419233,11.7239144996379,0.0499412717488655
"1881-1890",1881,1890,"spectrum_intercept","structural","absolute",2111,-0.00128128908416691,-0.000733506922024749,0.00329967840995638,-0.00439068370479667,-0.00213867566726922,-5.88384261748232e-05,0.00525717274642812,-0.0256559162251614,11.7227271586744,11.6854716471459,11.7501024682572,2111,0.495499763145429,0.0980577925153956,0.0180009474182852,0.0516342965419233,0.0464234959734723,11.7239144996379,0.0499412717488655
"1891-1900",1891,1900,"spectrum_intercept","structural","absolute",2111,0.00130908612698732,0.0023531149801628,0.00442470307421226,-0.00140146144437736,0.000419672354299294,0.00315871755818353,0.0106303604466795,0.0262125108381339,11.7258805979396,11.6890014766904,11.7530860216337,2111,0.49928943628612,0.100426338228328,0.0222643297015632,0.0454760776882994,0.0549502605400284,11.7239144996379,0.0499412717488655
"1901-1910",1901,1910,"spectrum_intercept","structural","absolute",2111,-0.0011915555638673,-0.000175357839239024,0.00517642960115322,-0.00515716406709554,-0.00234665590165761,0.000681987894882496,0.00911513931660757,-0.0238591353832387,11.7235312202866,11.6860152219216,11.7505618680288,2111,0.493604926575083,0.0980577925153956,0.0184746565608716,0.0506868782567504,0.0473709142586452,11.7239144996379,0.0499412717488655
"1911-1920",1911,1920,"spectrum_intercept","structural","absolute",2111,0.0013903171172327,0.00258635518287746,0.0150699361562006,-0.00234767512667844,0.000214204362334769,0.00399685905472147,0.0145318884810877,0.0278390411086054,11.726445643302,11.6898872053076,11.7532436776857,2111,0.495973472288015,0.103268593083847,0.0236854571293226,0.0454760776882994,0.0577925153955471,11.7239144996379,0.0499412717488655
"1921-1930",1921,1930,"spectrum_intercept","structural","absolute",2111,-0.00115652440350367,-9.42079767867283e-05,0.0168520299471656,-0.00600202874470668,-0.0025830778011251,0.00135223536558637,0.0125712983634383,-0.0231576882807343,11.7240564837269,11.6865674287572,11.7507624161782,2111,0.493604926575083,0.0999526290857414,0.0189483657034581,0.0497394599715775,0.0502131691141639,11.7239144996379,0.0499412717488655
"1931-1940",1931,1940,"spectrum_intercept","structural","absolute",2111,0.000359322613359581,0.00202955248781398,0.0293030958818078,-0.00846468784868559,-0.00190684986072576,0.00507480060378462,0.0244528004087536,0.00719490314877181,11.7264033548274,11.6911947828653,11.7525814503141,2111,0.4860255802937,0.101373756513501,0.0217906205589768,0.0473709142586452,0.0540028422548555,11.7239144996379,0.0499412717488655
"1941-1950",1941,1950,"spectrum_intercept","structural","absolute",2111,-0.0041975546102524,-0.00198246071280378,0.0420326074377321,-0.0187647307092238,-0.00895560619844993,0.00248764804262436,0.0365932300051242,-0.0840498141769438,11.7229620787538,11.6879700100037,11.7497592587565,2111,0.46991946944576,0.0980577925153956,0.0203694931312174,0.0521080056845097,0.0459497868308858,11.7239144996379,0.0499412717488655
"1951-1960",1951,1960,"spectrum_intercept","structural","absolute",2111,-0.0067649048529379,-0.00581201150276314,0.0514138748233766,-0.025338405436651,-0.0139915599192149,0.00171803516301328,0.037617311562709,-0.135457200348359,11.7197618240381,11.6858941468173,11.7463885505491,2111,0.437233538607295,0.0947418285172904,0.0236854571293226,0.054476551397442,0.0402652771198484,11.7239144996379,0.0499412717488655
