"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1931-1940",1931,1940,"large_fish_indicator","structural","absolute",170,-0.00326086791495481,-0.00691326332682956,0.0137162162122644,-0.0263665272343434,-0.00824138711141253,-0.000951749399071625,0.00501242769136398,-0.0715760213929016,0.475084782768117,0.456047879546161,0.502328992069968,170,0.0882352941176471,0.0235294117647059,0.0588235294117647,0.0294117647058824,0.481375605232681,0.0455581052354804
"1941-1950",1941,1950,"large_fish_indicator","structural","absolute",170,-0.00285634681705701,-0.00423551399558904,0.0134743015482341,-0.0242356373266014,-0.00772803482022807,4.01503821404192e-05,0.00745399066550912,-0.0626967869338101,0.478058377375399,0.456716723035293,0.502069617592304,170,0.0823529411764706,0.0117647058823529,0.0529411764705882,0.0294117647058824,0.481375605232681,0.0455581052354804
"1951-1960",1951,1960,"large_fish_indicator","structural","absolute",170,-0.00316434694469139,-0.00233946115753087,0.0149009919405484,-0.022012470191496,-0.00642034488265059,-5.63002836786591e-05,0.0131033468289638,-0.0694573869640877,0.477309676679045,0.457167306218336,0.501698527964093,170,0.0705882352941176,0.0117647058823529,0.0411764705882353,0.0294117647058824,0.481375605232681,0.0455581052354804
"1961-1970",1961,1970,"large_fish_indicator","structural","absolute",170,-0.00231175433516642,-0.00140507674209292,0.0155544964444164,-0.0213787943015911,-0.00529464151328422,0.000660186698355311,0.0153678659900263,-0.0507429868563989,0.478258317754162,0.459355117101517,0.501887696107758,170,0.0705882352941176,0.0117647058823529,0.0411764705882353,0.0294117647058824,0.481375605232681,0.0455581052354804
"1971-1980",1971,1980,"large_fish_indicator","structural","absolute",170,-0.00258934302725594,-0.00101568378329792,0.0179048028718065,-0.0213363967470902,-0.00565789989159703,0.000848949649065803,0.021286514826153,-0.0568360561501003,0.477654962092315,0.459367102071457,0.502046867007222,170,0.0823529411764706,0.0117647058823529,0.0470588235294118,0.0352941176470588,0.481375605232681,0.0455581052354804
"1981-1990",1981,1990,"large_fish_indicator","structural","absolute",170,0.00100488999356962,0.00256411974752962,0.0191078586716351,-0.0174248783970756,-0.00195399458908251,0.00388332959078033,0.0258355720587744,0.0220573263171406,0.48103579618299,0.46410931196399,0.505749387720947,170,0.105882352941176,0.0176470588235294,0.0470588235294118,0.0588235294117647,0.481375605232681,0.0455581052354804
"1991-2000",1991,2000,"large_fish_indicator","structural","absolute",170,-0.00796398958255728,-0.00654227502618374,0.0180673113795495,-0.0261283948970528,-0.0123526093987748,-0.00265560281065234,0.0174505236160678,-0.174809499679433,0.470763797710298,0.455327970400308,0.498084137558347,170,0.0647058823529412,0.0117647058823529,0.0470588235294118,0.0176470588235294,0.481375605232681,0.0455581052354804
"2001-2010",2001,2010,"large_fish_indicator","structural","absolute",170,0.00548715189887439,0.00870626595948619,0.018733076587832,-0.0098451172491061,0.00203341696256421,0.0104802505921491,0.0353890826896066,0.12044293480847,0.486493794311315,0.469841435448836,0.511098467357831,170,0.1,0.0117647058823529,0.0294117647058824,0.0705882352941176,0.481375605232681,0.0455581052354804
"1841-1850",1841,1850,"mean_weight","structural","absolute",170,-0.0360390253577521,2.86540768397952,12.5920877203262,-0.483248219061859,-0.307414795866947,0.65152676692594,8.42602294810924,-6.9263564232093e-05,266.486736207589,234.853033135549,294.25168606796,170,0.105882352941176,0.0235294117647059,0.0529411764705882,0.0529411764705882,266.404833750776,520.317222443103
"1851-1860",1851,1860,"mean_weight","structural","absolute",170,0.0360390253577805,-2.86540768397952,12.5920877203262,-8.42602294810921,-0.651526766925954,0.307414795866961,0.483248219061846,6.92635642321476e-05,266.345023227508,235.138382362901,294.394056118524,170,0.105882352941176,0.0235294117647059,0.0529411764705882,0.0529411764705882,266.404833750776,520.317222443103
"1861-1870",1861,1870,"mean_weight","structural","absolute",170,-1.40481957752678,-9.24552808324984,33.9806962583721,-28.0058790022148,-2.77251162984224,-0.835390181790189,0.630475168201071,-0.00269992903738719,264.734417593117,233.617972945337,293.350442402108,170,0.105882352941176,0.0176470588235294,0.0529411764705882,0.0529411764705882,266.404833750776,520.317222443103
"1871-1880",1871,1880,"mean_weight","structural","absolute",170,0.33449366085901,-13.0135032527254,56.2699665479978,-40.714420915876,-2.88088639849846,0.880830830545527,1.94730608989173,0.000642864864800026,266.596194500375,232.958830108042,294.561186877899,170,0.105882352941176,0.0176470588235294,0.0529411764705882,0.0529411764705882,266.404833750776,520.317222443103
"1881-1890",1881,1890,"mean_weight","structural","absolute",170,-1.18427918995265,-19.0258709053489,75.5591600678669,-59.1566494033065,-4.68681592804651,-0.339724539066225,2.10575782593173,-0.00227607147884126,264.96473504806,230.999444135488,293.589285777632,170,0.0941176470588235,0.0176470588235294,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1891-1900",1891,1900,"mean_weight","structural","absolute",170,0.494119006708502,-22.2433212815699,95.1852499092898,-70.9066785127142,-4.83939722052182,1.26027788285551,3.49534232546565,0.000949649531853684,266.791429662402,232.974572858709,294.792960402904,170,0.0941176470588235,0.0117647058823529,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1901-1910",1901,1910,"mean_weight","structural","absolute",170,-1.00504018868089,-27.8535427344291,112.717628459538,-88.1720232649204,-6.61395131299844,-0.00604676701323115,3.70725434191618,-0.00193159123959384,265.166160557134,231.171348950914,293.825251548608,170,0.0941176470588235,0.0117647058823529,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1911-1920",1911,1920,"mean_weight","structural","absolute",170,0.632992837466674,-30.5723551280114,130.052792852564,-99.0041499005394,-6.64145075860753,1.72271410656528,5.10257740094806,0.00121655176911983,266.247076280673,233.148149522658,295.031513496987,170,0.0941176470588235,0.0117647058823529,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1921-1930",1921,1930,"mean_weight","structural","absolute",170,-0.86936484819401,-35.8355604116925,146.052614922234,-115.185933997247,-8.43255804902638,0.37373379301377,5.284753980067,-0.00167083619510418,264.321305415914,231.340907019357,294.072660138901,170,0.0941176470588235,0.0117647058823529,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1931-1940",1931,1940,"mean_weight","structural","absolute",170,1.2769130460413,-38.0874936689129,163.198590588149,-126.077664103116,-9.37764230514543,4.17813515614307,12.5348821586025,0.00245410490170914,267.885731580995,235.205062866853,296.171714813985,170,0.0941176470588235,0.0117647058823529,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1941-1950",1941,1950,"mean_weight","structural","absolute",170,0.83182400084479,-40.8281703888387,179.480174831332,-142.827033995331,-13.9957998891655,5.74047653089972,26.5686597809494,0.00159868627246093,266.84666013143,237.104735904254,292.05746706066,170,0.0941176470588235,0.00588235294117647,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1951-1960",1951,1960,"mean_weight","structural","absolute",170,2.64943286089319,-43.0932438371571,193.463500094995,-153.746586092936,-16.6463097089793,8.15706613716226,32.5119364661771,0.00509195688056031,266.884691445916,239.469200213464,293.280232339393,170,0.0941176470588235,0.00588235294117647,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1961-1970",1961,1970,"mean_weight","structural","absolute",170,1.5017736245191,-47.8706991136556,210.426395882552,-175.75635573368,-18.6227547700265,7.48880288325722,37.3450210132417,0.00288626545450035,266.013275381634,239.6201403299,293.040719340742,170,0.0941176470588235,0,0.0470588235294118,0.0470588235294118,266.404833750776,520.317222443103
"1971-1980",1971,1980,"mean_weight","structural","absolute",170,3.24960102289303,-82.2865677741979,334.547263086806,-383.869829601352,-20.6735750330489,9.39006170261981,40.5825950911899,0.00624542275889855,267.349561860392,239.163760923708,289.335513802587,170,0.0647058823529412,0,0.0470588235294118,0.0176470588235294,266.404833750776,520.317222443103
"1981-1990",1981,1990,"mean_weight","structural","absolute",170,1.11474773661305,-110.533722737599,436.98700241746,-479.278624515766,-26.7026357277233,7.48973156532742,39.6997780119722,0.00214243866727851,258.333081723895,232.453289547839,278.547599022976,170,0.0588235294117647,0,0.0470588235294118,0.0117647058823529,266.404833750776,520.317222443103
"1991-2000",1991,2000,"mean_weight","structural","absolute",170,0.61472562448165,-112.622868321738,449.483264841448,-475.446128980198,-25.4825240260715,6.98051666380569,41.0500083460632,0.0011814439306761,257.808679913009,232.622934323907,278.875216791755,170,0.0529411764705882,0,0.0411764705882353,0.0117647058823529,266.404833750776,520.317222443103
