"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1911-1920",1911,1920,"htl_indicator","structural","climate",170,0.00122702049720787,0.00265714515907556,0.00478377520719113,-0.0038454368669828,0.000171916855965966,0.0052642015236859,0.0110880053705208,0.0183012647898168,0.18159159577717,0.14322886040987,0.221176986944157,170,0.0823529411764706,0.0117647058823529,NA,NA,0.180272429182467,0.0670456665864212
"1921-1930",1921,1930,"htl_indicator","structural","climate",170,0.00156919289278179,0.00305805953552764,0.00543704223235892,-0.00430324600061954,0.000120013418710055,0.00586705730900847,0.012354769137474,0.0234048369219973,0.181490521880988,0.14300628610667,0.221722958769692,170,0.0764705882352941,0.0235294117647059,NA,NA,0.180272429182467,0.0670456665864212
"1931-1940",1931,1940,"htl_indicator","structural","climate",170,0.00164256653468331,0.00353890011327322,0.00620167061078117,-0.00479368870708401,0.000287735814257888,0.00692056156814064,0.0144800019342514,0.0244992199841291,0.184994215781771,0.147650576956482,0.221322378256095,170,0.0705882352941176,0.0117647058823529,NA,NA,0.180272429182467,0.0670456665864212
"1941-1950",1941,1950,"htl_indicator","structural","climate",170,0.00195376290104646,0.00394516184818685,0.00685323876952435,-0.0052015013315352,0.000272001054247302,0.00748402305739647,0.0158221559434922,0.0291407782265551,0.18648143990774,0.148847654759873,0.22117284890871,170,0.0705882352941176,0.0235294117647059,NA,NA,0.180272429182467,0.0670456665864212
"1951-1960",1951,1960,"htl_indicator","structural","climate",170,0.00202123857085645,0.00443722360588157,0.00764666696440459,-0.00568285153295235,0.000413375842309487,0.00841729809958013,0.0179986926599371,0.0301471918136737,0.186586356573136,0.149572132649214,0.221809267072158,170,0.0705882352941176,0.0117647058823529,NA,NA,0.180272429182467,0.0670456665864212
"1961-1970",1961,1970,"htl_indicator","structural","climate",170,0.00228824124846344,0.00486601970792228,0.00836085890093244,-0.00602615413768916,0.000392382194022822,0.00923158348001629,0.0194636504765233,0.0341295920373007,0.187633568327808,0.152994960482325,0.222155384380911,170,0.0705882352941176,0.0235294117647059,NA,NA,0.180272429182467,0.0670456665864212
"1971-1980",1971,1980,"htl_indicator","structural","climate",170,0.00237509234124945,0.00541873696611722,0.00940971745870384,-0.00651895636450939,0.000550405258121965,0.0098657561107324,0.0216780130127485,0.0354249940700938,0.192735978942549,0.158434585074349,0.224339650935963,170,0.0647058823529412,0.0117647058823529,NA,NA,0.180272429182467,0.0670456665864212
"1981-1990",1981,1990,"htl_indicator","structural","climate",170,0.00277137278955117,0.00595447699063279,0.0113636292333676,-0.00674943065265679,-0.000129802542218276,0.0102803977391233,0.0226706716149143,0.0413355990126356,0.193980159905626,0.160098892139737,0.229148304702564,170,0.0647058823529412,0.0235294117647059,NA,NA,0.180272429182467,0.0670456665864212
"1991-2000",1991,2000,"htl_indicator","structural","climate",170,-0.00132166879942526,0.00316799133241457,0.0214116040937149,-0.0128306891522019,-0.00479589243446008,0.00847369131499164,0.024975402071156,-0.0197129638158141,0.191995446001795,0.159475839218087,0.223812567286457,170,0.0588235294117647,0,NA,NA,0.180272429182467,0.0670456665864212
"2001-2010",2001,2010,"htl_indicator","structural","climate",170,0.00503330551861912,0.00993049265069479,0.0293062492922742,-0.00594320503507595,0.00215840519707569,0.0131249911475694,0.0267100217284401,0.0750727940355585,0.198133596663883,0.163818829016234,0.232099913631007,170,0.0764705882352941,0.0294117647058824,NA,NA,0.180272429182467,0.0670456665864212
"1841-1850",1841,1850,"large_fish_indicator","structural","climate",170,0.000701439841811785,0.000617219733010167,0.00079769651590899,-0.00066469771613272,0.000455549876759678,0.000880936662243564,0.00141595769540841,0.0153965982164137,0.482787859982971,0.462557543056595,0.509089818098957,170,0.111764705882353,0.0352941176470588,NA,NA,0.481375605232681,0.0455581052354804
"1851-1860",1851,1860,"large_fish_indicator","structural","climate",170,-0.000701439841811785,-0.000617219733010167,0.000797696515908997,-0.00141595769540842,-0.000880936662243481,-0.000455549876759664,0.000664697716132664,-0.0153965982164137,0.480768148096439,0.461931900111418,0.507101904531682,170,0.1,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1861-1870",1861,1870,"large_fish_indicator","structural","climate",170,-0.00049880455527565,-0.000345540153779434,0.00173693219262917,-0.00207561326063256,-0.000966316001767817,-5.1791680291402e-05,0.00132538162476621,-0.0109487555001999,0.480693034893063,0.460966530792302,0.507303156501015,170,0.1,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1871-1880",1871,1880,"large_fish_indicator","structural","climate",170,-0.000639929031766628,-0.000212594333030597,0.00261365825426522,-0.00206814864283463,-0.00115798267838296,0.00027564718356396,0.0031553018118213,-0.0140464364893792,0.480764517431817,0.461551983130355,0.506723626644719,170,0.0941176470588235,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1881-1890",1881,1890,"large_fish_indicator","structural","climate",170,-0.000393005885166303,0.000256677670935537,0.00331105047158819,-0.00232317631735816,-0.000978375672541054,0.000715052536244931,0.00429265079437527,-0.00862647564324586,0.480714388099996,0.461431401879791,0.507251097691436,170,0.1,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1891-1900",1891,1900,"large_fish_indicator","structural","climate",170,-0.000586928136165621,0.000238552952298111,0.0042922465396683,-0.00267351338157959,-0.00132496600885468,0.000924480912441739,0.00625899097253271,-0.012883067307824,0.4807360581398,0.461276334552131,0.506572810804471,170,0.0941176470588235,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1901-1910",1901,1910,"large_fish_indicator","structural","climate",170,-0.000413925872897014,0.000708210204298397,0.00486715498071608,-0.00277877458859449,-0.00115755439379835,0.00133498781175009,0.00733238902882038,-0.0090856691857029,0.480889793957078,0.461354789916554,0.507022413899308,170,0.0941176470588235,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1911-1920",1911,1920,"large_fish_indicator","structural","climate",170,-0.000500438964454814,0.000684053688299855,0.00580205212160514,-0.00317126613437645,-0.00150503210193396,0.0016304132652913,0.0092283671417107,-0.0109846307669766,0.481476771063083,0.461117512968206,0.506492269587516,170,0.0941176470588235,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1921-1930",1921,1930,"large_fish_indicator","structural","climate",170,-0.000379322482699146,0.00113693291076922,0.00627960140537901,-0.00330464601144741,-0.0012950110632198,0.00199989102236375,0.00996782022895947,-0.00832612508221109,0.481489436388405,0.461163594701345,0.506818739557001,170,0.0882352941176471,0.00588235294117647,NA,NA,0.481375605232681,0.0455581052354804
"1931-1940",1931,1940,"large_fish_indicator","structural","climate",170,-0.000450277255365145,0.00110098049141522,0.00715887955778428,-0.0036512675864393,-0.00167784375507568,0.00223038629525439,0.0119494509274649,-0.00988358170379902,0.475084782768117,0.456047879546161,0.502328992069968,170,0.0882352941176471,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1941-1950",1941,1950,"large_fish_indicator","structural","climate",170,-0.000269175778890879,0.00154088651846875,0.00755614402580246,-0.00379143959676323,-0.00134880995770749,0.00261713000242535,0.0123921520503105,-0.00590840592468816,0.478058377375399,0.456716723035293,0.502069617592304,170,0.0882352941176471,0.00588235294117647,NA,NA,0.481375605232681,0.0455581052354804
"1951-1960",1951,1960,"large_fish_indicator","structural","climate",170,-0.00032963385290774,0.00149347918802773,0.0083836438032709,-0.00415887539383328,-0.00185311378183842,0.002667602286406,0.0144399710512512,-0.00723546010537381,0.477309676679045,0.457167306218336,0.501698527964093,170,0.0882352941176471,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1961-1970",1961,1970,"large_fish_indicator","structural","climate",170,-0.000236608122153564,0.00192034863203855,0.00871490716313379,-0.00426035120689375,-0.00153315546344852,0.0031754785698643,0.0146125962045143,-0.00519354615233856,0.478258317754162,0.459355117101517,0.501887696107758,170,0.0882352941176471,0.00588235294117647,NA,NA,0.481375605232681,0.0455581052354804
"1971-1980",1971,1980,"large_fish_indicator","structural","climate",170,-0.000245960080904273,0.00183730410831272,0.00949641205075759,-0.00467347370746233,-0.00198510181507548,0.00322321350455046,0.0167151925209472,-0.00539882156277036,0.477654962092315,0.459367102071457,0.502046867007222,170,0.0882352941176471,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"1981-1990",1981,1990,"large_fish_indicator","structural","climate",170,0.00331897921401988,0.00574390484032348,0.0106066314733152,-0.00190649590457162,0.0012970311637909,0.0066134415829267,0.0229991928967995,0.0728515638845112,0.48103579618299,0.46410931196399,0.505749387720947,170,0.105882352941176,0.0235294117647059,NA,NA,0.481375605232681,0.0455581052354804
"1991-2000",1991,2000,"large_fish_indicator","structural","climate",170,-0.00529226693789031,-0.00425039001267701,0.0113006763308144,-0.0138158898702872,-0.00851501835645171,-0.00159611288986099,0.0111684760776682,-0.116165211668389,0.470763797710298,0.455327970400308,0.498084137558347,170,0.0764705882352941,0.0117647058823529,NA,NA,0.481375605232681,0.0455581052354804
"2001-2010",2001,2010,"large_fish_indicator","structural","climate",170,0.00762375736052007,0.0101406061361982,0.0113614018979111,0.00145028034551961,0.00468786370457511,0.0107813111610026,0.0288868166247531,0.167341405467028,0.486493794311315,0.469841435448836,0.511098467357831,170,0.123529411764706,0.0235294117647059,NA,NA,0.481375605232681,0.0455581052354804
"1841-1850",1841,1850,"mean_weight","structural","climate",170,-0.0360390253577521,2.86540768397952,12.5920877203262,-0.483248219061859,-0.307414795866947,0.65152676692594,8.42602294810924,-6.9263564232093e-05,266.486736207589,234.853033135549,294.25168606796,170,0.105882352941176,0.0235294117647059,NA,NA,266.404833750776,520.317222443103
"1851-1860",1851,1860,"mean_weight","structural","climate",170,0.0360390253577805,-2.86540768397952,12.5920877203262,-8.42602294810921,-0.651526766925954,0.307414795866961,0.483248219061846,6.92635642321476e-05,266.345023227508,235.138382362901,294.394056118524,170,0.105882352941176,0.0235294117647059,NA,NA,266.404833750776,520.317222443103
"1861-1870",1861,1870,"mean_weight","structural","climate",170,-1.40481957752678,-9.24552808324984,33.9806962583721,-28.0058790022148,-2.77251162984224,-0.835390181790189,0.630475168201071,-0.00269992903738719,264.734417593117,233.617972945337,293.350442402108,170,0.105882352941176,0.0176470588235294,NA,NA,266.404833750776,520.317222443103
"1871-1880",1871,1880,"mean_weight","structural","climate",170,0.33449366085901,-13.0135032527254,56.2699665479978,-40.714420915876,-2.88088639849846,0.880830830545527,1.94730608989173,0.000642864864800026,266.596194500375,232.958830108042,294.561186877899,170,0.105882352941176,0.0176470588235294,NA,NA,266.404833750776,520.317222443103
"1881-1890",1881,1890,"mean_weight","structural","climate",170,-1.18427918995265,-19.0258709053489,75.5591600678669,-59.1566494033065,-4.68681592804651,-0.339724539066225,2.10575782593173,-0.00227607147884126,264.96473504806,230.999444135488,293.589285777632,170,0.0941176470588235,0.0176470588235294,NA,NA,266.404833750776,520.317222443103
"1891-1900",1891,1900,"mean_weight","structural","climate",170,0.494119006708502,-22.2433212815699,95.1852499092898,-70.9066785127142,-4.83939722052182,1.26027788285551,3.49534232546565,0.000949649531853684,266.791429662402,232.974572858709,294.792960402904,170,0.0941176470588235,0.0117647058823529,NA,NA,266.404833750776,520.317222443103
