"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1871-1880",1871,1880,"large_fish_indicator","structural","climate",2111,-0.000621283332842892,-0.00029778276566,0.00192153493974294,-0.00201924573300793,-0.0011870752133204,5.4783071692821e-05,0.00302601942273489,-0.014394578822744,0.486691103832034,0.462630065358292,0.51234961949888,2111,0.0961629559450497,0.0184746565608716,NA,NA,0.487265092732339,0.0431609247129371
"1881-1890",1881,1890,"large_fish_indicator","structural","climate",2111,-0.000173696981270233,0.000246625837039493,0.00236524706466708,-0.0021705238921304,-0.000840678564152736,0.00077647529335706,0.00426247002697669,-0.00402440361103219,0.487213951714417,0.463128711403618,0.512965226435357,2111,0.0990052108005685,0.0194220748460445,NA,NA,0.487265092732339,0.0431609247129371
"1891-1900",1891,1900,"large_fish_indicator","structural","climate",2111,-0.000582115515003423,0.000101196079667594,0.00322325598522199,-0.00248383874923835,-0.00133437805431524,0.000499714136176804,0.00581947090716164,-0.0134870955354888,0.487301911844785,0.462945461375119,0.512606023169967,2111,0.0947418285172904,0.0170535291331123,NA,NA,0.487265092732339,0.0431609247129371
"1901-1910",1901,1910,"large_fish_indicator","structural","climate",2111,-0.000140899006309425,0.0006402737280981,0.00363240456707821,-0.00260141094500099,-0.000941533102799708,0.00127502757956738,0.00692768708021146,-0.00326450388277228,0.487872489200363,0.463342470067852,0.513319433768286,2111,0.0961629559450497,0.0184746565608716,NA,NA,0.487265092732339,0.0431609247129371
"1911-1920",1911,1920,"large_fish_indicator","structural","climate",2111,-0.000495227671628351,0.000448683908413874,0.00493267678703724,-0.00303920037479699,-0.00149495724619286,0.000998053168117075,0.00842767440015238,-0.0114739819622055,0.48773410065551,0.463207240741702,0.512616292281165,2111,0.0937944102321175,0.0170535291331123,NA,NA,0.487265092732339,0.0431609247129371
"1921-1930",1921,1930,"large_fish_indicator","structural","climate",2111,-8.50486458129351e-05,0.000995395753887256,0.00484925420428318,-0.00305911663380196,-0.00107197635734968,0.00179150754350632,0.0093566274377391,-0.00197050101170429,0.48835234412607,0.46344243483129,0.513431095771265,2111,0.0942681193747039,0.0184746565608716,NA,NA,0.487265092732339,0.0431609247129371
"1931-1940",1931,1940,"large_fish_indicator","structural","climate",2111,-0.000432965172485367,0.000798235948464427,0.00587736903802228,-0.00355987111513717,-0.00165022054131261,0.0015231809505265,0.0109980101403243,-0.0100314155770529,0.480860974236126,0.45623230538103,0.507941833473665,2111,0.0909521553765988,0.0170535291331123,NA,NA,0.487265092732339,0.0431609247129371
"1941-1950",1941,1950,"large_fish_indicator","structural","climate",2111,7.02406120722809e-06,0.00134436266202103,0.0062513865251441,-0.00356287387602933,-0.00121226836566382,0.00229624381874594,0.012159380287017,0.000162741212194712,0.482514779321729,0.459127373843192,0.508553459183082,2111,0.0923732828043581,0.0170535291331123,NA,NA,0.487265092732339,0.0431609247129371
"1951-1960",1951,1960,"large_fish_indicator","structural","climate",2111,-0.000393096791068748,0.00136678286478263,0.00744321797351928,-0.00387525629645324,-0.00176030902555269,0.00199201929717169,0.0137311355211152,-0.00910770085866395,0.483416519182262,0.460457148760045,0.508144734203104,2111,0.089057318806253,0.0161061108479394,NA,NA,0.487265092732339,0.0431609247129371
"1961-1970",1961,1970,"large_fish_indicator","structural","climate",2111,6.36218628091711e-06,0.00205146912289317,0.008480962995796,-0.00390653120723888,-0.00134273348287767,0.00281210742202903,0.0154097517577524,0.000147406162477564,0.483646832185184,0.461416179665197,0.509588552552875,2111,0.0895310279488394,0.0165798199905258,NA,NA,0.487265092732339,0.0431609247129371
