"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1871-1880",1871,1880,"whale_biomass","biomass","absolute",170,0.968891829264429,0.959209730242745,0.0211212315557005,0.916740200952174,0.958385648994071,0.973361341869039,0.975962782659459,170,0,0,0,0
"1881-1890",1881,1890,"whale_biomass","biomass","absolute",170,0.956736096477525,0.943559337453122,0.0289344074774204,0.885338046722433,0.942263558161407,0.963029585015512,0.966572907630949,170,0,0,0,0
"1891-1900",1891,1900,"whale_biomass","biomass","absolute",170,0.944749412017475,0.928253936093157,0.0364083615636178,0.854941795317836,0.926424023199034,0.952778938319714,0.957310845127485,170,0,0,0,0
"1901-1910",1901,1910,"whale_biomass","biomass","absolute",170,0.932924966096221,0.913300608642153,0.0435612897067648,0.825517130868041,0.910862632502404,0.942711170477514,0.948171290263951,170,0,0,0,0
"1911-1920",1911,1920,"whale_biomass","biomass","absolute",170,0.921313039610521,0.898674873416307,0.0503971986792585,0.797035434495037,0.895573921498936,0.93278531239446,0.939175641773292,170,0,0,0,0
"1921-1930",1921,1930,"whale_biomass","biomass","absolute",170,0.909809857470383,0.884384672971283,0.0569336003522642,0.769464608995777,0.880553696065054,0.923080471498341,0.930367748760261,170,0,0,0,0
"1931-1940",1931,1940,"whale_biomass","biomass","absolute",170,0.73291106233315,0.713119290273718,0.122821813681865,0.468511466818139,0.650271072212102,0.815353514466367,0.868373392194051,170,0.588235294117647,0.0235294117647059,0,0.0823529411764706
"1941-1950",1941,1950,"whale_biomass","biomass","absolute",170,0.618572042026301,0.575587392869218,0.190441247332914,0.222279762196912,0.419835125450665,0.727395953923602,0.816258298531185,170,0.841176470588235,0.217647058823529,0.0352941176470588,0.382352941176471
"1951-1960",1951,1960,"whale_biomass","biomass","absolute",170,0.54257113659231,0.500336779866419,0.216634669288098,0.117585406534815,0.314858747209251,0.68628590428979,0.778932178739502,170,0.917647058823529,0.347058823529412,0.123529411764706,0.494117647058824
"1961-1970",1961,1970,"whale_biomass","biomass","absolute",170,0.497705684697129,0.459884614156316,0.220001285509104,0.0873322268389877,0.276171462943763,0.648615727260758,0.752353814007027,170,0.941176470588235,0.376470588235294,0.158823529411765,0.547058823529412
"1971-1980",1971,1980,"whale_biomass","biomass","absolute",170,0.354195104079572,0.39264342123904,0.214230609642391,0.073745158020132,0.227260434870381,0.596522692254853,0.721698347375536,170,0.964705882352941,0.552941176470588,0.170588235294118,0.7
"1981-1990",1981,1990,"whale_biomass","biomass","absolute",170,0.291965522446772,0.347120988733375,0.235611432629385,0.0407682977453973,0.136732308716907,0.584462966445997,0.707149994775882,170,0.970588235294118,0.594117647058824,0.341176470588235,0.711764705882353
"1991-2000",1991,2000,"whale_biomass","biomass","absolute",170,0.284732584860002,0.341879837584847,0.234912305938888,0.0358206339153722,0.128408882581363,0.580163307114039,0.701005564168588,170,0.976470588235294,0.594117647058824,0.364705882352941,0.711764705882353
"2001-2010",2001,2010,"whale_biomass","biomass","absolute",170,0.282570654495668,0.33647512420212,0.234015273745847,0.035030481438648,0.11966680461406,0.574625030139476,0.694138664011399,170,0.988235294117647,0.594117647058824,0.364705882352941,0.717647058823529
"1841-1850",1841,1850,"baleen_biomass","biomass","absolute",170,1.00614743769842,1.00826971357451,0.00473566128200014,1.0048221194906,1.00520593579892,1.00834491268906,1.01761997898154,170,0,0,0,0
"1851-1860",1851,1860,"baleen_biomass","biomass","absolute",170,0.993852562301578,0.991730286425495,0.00473566128200015,0.982380021018464,0.991655087310943,0.994794064201076,0.995177880509398,170,0,0,0,0
"1861-1870",1861,1870,"baleen_biomass","biomass","absolute",170,0.981709571489049,0.975588312094179,0.0138141716312233,0.94839685336592,0.975420265693975,0.984555798020484,0.985721081810793,170,0,0,0,0
"1871-1880",1871,1880,"baleen_biomass","biomass","absolute",170,0.969707401959119,0.959807310209746,0.022501531660638,0.915596230418514,0.959525939309566,0.974419709193187,0.976332093751708,170,0,0,0,0
"1881-1890",1881,1890,"baleen_biomass","biomass","absolute",170,0.957854274326209,0.944403445092238,0.0308220936153481,0.883805802414495,0.944001870385237,0.964499837276018,0.967127807864658,170,0,0,0,0
"1891-1900",1891,1900,"baleen_biomass","biomass","absolute",170,0.946156416836121,0.929341524503475,0.0387770195051075,0.853038879537307,0.928823119201167,0.954705076941394,0.95799270372821,170,0,0,0,0
"1901-1910",1901,1910,"baleen_biomass","biomass","absolute",170,0.934612869402714,0.914638696733309,0.046389874071148,0.8232875936553,0.913997298640672,0.945010522151015,0.949011589420878,170,0,0,0,0
"1911-1920",1911,1920,"baleen_biomass","biomass","absolute",170,0.923214412777976,0.900259896199317,0.0536609917273207,0.794507237424102,0.899499342251992,0.93541297250017,0.940105780584448,170,0,0,0,0
"1921-1930",1921,1930,"baleen_biomass","biomass","absolute",170,0.911963278409053,0.886223107266125,0.0606132277805032,0.766686528733057,0.885336927558722,0.925986333190364,0.931338984496586,170,0.00588235294117647,0,0,0
"1931-1940",1931,1940,"baleen_biomass","biomass","absolute",170,0.742504755352731,0.717509233571953,0.132141507108283,0.463381906257944,0.64337800774247,0.821381320381091,0.87629128245656,170,0.535294117647059,0.0235294117647059,0.00588235294117647,0.0941176470588235
"1941-1950",1941,1950,"baleen_biomass","biomass","absolute",170,0.662724182257376,0.608265809675223,0.189213252051873,0.224811279751288,0.467090780401457,0.748330339238138,0.840392874202333,170,0.758823529411765,0.141176470588235,0.0352941176470588,0.305882352941176
"1951-1960",1951,1960,"baleen_biomass","biomass","absolute",170,0.608111865010512,0.545693131614203,0.206418752351228,0.149339246288933,0.370739618243053,0.701537507791125,0.808816031841735,170,0.852941176470588,0.270588235294118,0.0764705882352941,0.4
"1961-1970",1961,1970,"baleen_biomass","biomass","absolute",170,0.565449347922489,0.504434003908201,0.211756178755349,0.110462751896663,0.320247419746438,0.665784648004988,0.785114287815005,170,0.911764705882353,0.311764705882353,0.1,0.488235294117647
"1971-1980",1971,1980,"baleen_biomass","biomass","absolute",170,0.417553959458679,0.434103401405667,0.215081123065943,0.0899082575728533,0.259098229730928,0.636182086110784,0.75853871505725,170,0.935294117647059,0.488235294117647,0.105882352941176,0.635294117647059
"1981-1990",1981,1990,"baleen_biomass","biomass","absolute",170,0.370310299296657,0.387204776069822,0.243504896200813,0.0384676718090704,0.182439312732973,0.624008265917704,0.747007262311554,170,0.947058823529412,0.535294117647059,0.282352941176471,0.647058823529412
