"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1901-1910",1901,1910,"marine_mammal_pb_ratio","structural","climate",2111,0.000165274912399969,0.000170672709241683,0.000141465126296045,1.68834248899185e-05,6.41107903202189e-05,0.000246702056089217,0.000421917036741027,0.0617595332881644,0.00258022757335819,0.000839464792216929,0.00473992839306821,2111,0.531027948839413,0.0952155376598768,0.0208432022738039,NA,NA,0.00232164966191529,0.00267610364911294
"1911-1920",1911,1920,"marine_mammal_pb_ratio","structural","climate",2111,0.000170143629571781,0.00017834213709826,0.000164281036661377,1.56367857983465e-05,6.67569805213003e-05,0.000251567252872205,0.000469139277232411,0.0635788638561062,0.00262091882213814,0.000849170535594368,0.00474512073813537,2111,0.533870203694931,0.0928469919469446,0.0194220748460445,NA,NA,0.00232164966191529,0.00267610364911294
"1921-1930",1921,1930,"marine_mammal_pb_ratio","structural","climate",2111,0.00022199679910299,0.000228640161505074,0.000191910321607798,2.26358547646301e-05,8.67525935123298e-05,0.000330195637521146,0.0005692379294928,0.0829552320129962,0.00267277831218052,0.000875743559434912,0.00481329175747675,2111,0.538607295120796,0.0928469919469446,0.019895783988631,NA,NA,0.00232164966191529,0.00267610364911294
"1931-1940",1931,1940,"marine_mammal_pb_ratio","structural","climate",2111,0.000226228037354055,0.00023607492861919,0.00021480865264797,2.13909190516648e-05,8.996752861675e-05,0.000334031707413487,0.000614945430568101,0.084536350985151,0.0034543894652759,0.00119180002085751,0.00624378975871855,2111,0.538607295120796,0.0895310279488394,0.0194220748460445,NA,NA,0.00232164966191529,0.00267610364911294
"1941-1950",1941,1950,"marine_mammal_pb_ratio","structural","climate",2111,0.000276674225778611,0.000286765751963836,0.000242491496409203,2.83291483831288e-05,0.000110303809411781,0.000410374277158232,0.000712261633741889,0.103386961813053,0.00424909597208823,0.00147341408039366,0.0073310859468918,2111,0.541923259118901,0.0900047370914259,0.0175272382756987,NA,NA,0.00232164966191529,0.00267610364911294
"1951-1960",1951,1960,"marine_mammal_pb_ratio","structural","climate",2111,0.000282369400374705,0.000293878803823269,0.000265589674703792,2.79633057358319e-05,0.000114587066476472,0.000415808388857668,0.000767340949318456,0.105515121011215,0.0048925838057149,0.00165904176153706,0.00815506999013567,2111,0.540502131691142,0.0876361913784936,0.0161061108479394,NA,NA,0.00232164966191529,0.00267610364911294
"1961-1970",1961,1970,"marine_mammal_pb_ratio","structural","climate",2111,0.000332333347789075,0.000344830636279434,0.000294036037151407,3.44200503919489e-05,0.000134153682808331,0.000493101059201349,0.000859249342755553,0.124185529173818,0.00529119134495295,0.00180730845016276,0.00870113952307278,2111,0.546186641402179,0.0881099005210801,0.0161061108479394,NA,NA,0.00232164966191529,0.00267610364911294
"1971-1980",1971,1980,"marine_mammal_pb_ratio","structural","climate",2111,0.000338657041577746,0.000351464715135826,0.000318860867418236,3.38329128524767e-05,0.000138228422822158,0.000495837081339674,0.000908345988469309,0.12654855191801,0.00545154102668893,0.00223555229849919,0.00889267689126625,2111,0.546186641402179,0.0866887730933207,0.0161061108479394,NA,NA,0.00232164966191529,0.00267610364911294
"1981-1990",1981,1990,"marine_mammal_pb_ratio","structural","climate",2111,0.000361672456028587,0.000376643660639799,0.000353372427134777,3.00978345979442e-05,0.000144708488446497,0.000538461916479364,0.000982214332723104,0.135148896848025,0.00571925664446295,0.00289228806525223,0.00902696335131032,2111,0.549028896257698,0.0871624822359072,0.01468498342018,NA,NA,0.00232164966191529,0.00267610364911294
"1991-2000",1991,2000,"marine_mammal_pb_ratio","structural","climate",2111,0.000414647572839606,0.000431197543030174,0.000372578942798839,4.39111840616162e-05,0.000171697117596404,0.000610552684732312,0.0010659358109101,0.154944511576392,0.0058231396673118,0.00298786095839793,0.00903047294794408,2111,0.546660350544765,0.0918995736617717,0.0151586925627665,NA,NA,0.00232164966191529,0.00267610364911294
"2001-2010",2001,2010,"marine_mammal_pb_ratio","structural","climate",2111,0.000412260114838726,0.00042847848238078,0.00040317485202011,3.51589230458104e-05,0.000164478666250738,0.00061502473765375,0.0011233221595323,0.154052371990666,0.00583403570002769,0.00306972804215557,0.00898039931277122,2111,0.552818569398389,0.0862150639507342,0.0127901468498342,NA,NA,0.00232164966191529,0.00267610364911294
"1841-1850",1841,1850,"spectrum_mle_exponent","structural","climate",2111,0.000223536785491918,0.000189947797803704,0.000222383128551622,-0.000187152408384961,-1.83087027239015e-06,0.000403764810631202,0.000461166908962252,0.00686569640079542,-1.4600586429301,-1.48370199562427,-1.43883389740178,2111,0.494552344860256,0.10279488394126,0.0217906205589768,NA,NA,-1.4602261625899,0.0325585013438725
"1851-1860",1851,1860,"spectrum_mle_exponent","structural","climate",2111,-0.00022353678549214,-0.000189947797803704,0.000222383128551624,-0.000461166908962363,-0.000403764810631091,1.83087027250117e-06,0.00018715240838485,-0.00686569640080224,-1.46035445343497,-1.48431459981455,-1.43910721418441,2111,0.504500236854571,0.100900047370914,0.0194220748460445,NA,NA,-1.4602261625899,0.0325585013438725
"1861-1870",1861,1870,"spectrum_mle_exponent","structural","climate",2111,0.00043295600927773,0.000365186842203764,0.000356849647027797,-0.000220585888894065,8.36203508706168e-05,0.000674699311919658,0.000805022721515947,0.0132977867962959,-1.45981564760476,-1.48348031337149,-1.43864753255054,2111,0.490288962576978,0.105637138796779,0.0236854571293226,NA,NA,-1.4602261625899,0.0325585013438725
"1871-1880",1871,1880,"spectrum_mle_exponent","structural","climate",2111,-0.0002383391992129,-0.000210867645630833,0.000237255993087271,-0.000507294714451434,-0.000419802141118586,-1.95214283345013e-05,0.00017164497587252,-0.007320336912797,-1.46036135008405,-1.48438274787127,-1.43913937395775,2111,0.505447655139744,0.0990052108005685,0.0203694931312174,NA,NA,-1.4602261625899,0.0325585013438725
