"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1861-1870",1861,1870,"krill_biomass","biomass","climate",2111,1.00322736652502,0.999093342548722,0.0400536966255462,0.940687585255329,0.998229391422375,1.00700778402426,1.0197387703812,2111,0,0,0,NA
"1871-1880",1871,1880,"krill_biomass","biomass","climate",2111,0.997101223530176,0.99352768883665,0.0736705436109517,0.920631195996483,0.990862797552739,0.999496354337206,1.02527619922001,2111,0.00757934628138323,0,0,NA
"1881-1890",1881,1890,"krill_biomass","biomass","climate",2111,1.00127970307102,0.997763828998576,0.120610313697911,0.884351462448968,0.992092062182737,1.00632793974381,1.0405220933233,2111,0.0236854571293226,0,0,NA
"1891-1900",1891,1900,"krill_biomass","biomass","climate",2111,0.995570648360264,0.997431042673752,0.204336923514335,0.870978368561279,0.984903289954585,0.998987789462402,1.04854255475615,2111,0.0303173851255329,0,0,NA
"1901-1910",1901,1910,"krill_biomass","biomass","climate",2111,0.99955077978095,1.0120884725446,0.415719572251568,0.84300519124455,0.986166575670656,1.00571644895346,1.06520119060037,2111,0.0360018948365703,0,0,NA
"1911-1920",1911,1920,"krill_biomass","biomass","climate",2111,0.994144160245557,1.0468192177458,1.43862051847897,0.832021872039849,0.978955147975906,0.998537509611982,1.07320584374185,2111,0.0412126954050213,0.000947418285172904,0,NA
"1921-1930",1921,1930,"krill_biomass","biomass","climate",2111,0.998116962562129,1.1084423036612,2.26283211099995,0.807152363486952,0.980577691855793,1.0053114367294,1.0892927054695,2111,0.0431075319753671,0.00426338228327807,0,NA
"1931-1940",1931,1940,"krill_biomass","biomass","climate",2111,0.992750240556632,1.25592095016914,4.60164053848399,0.79290088863769,0.973324767865183,0.998133691704925,1.09534376614569,2111,0.0454760776882994,0.0132638559924207,0,NA
"1941-1950",1941,1950,"krill_biomass","biomass","climate",2111,0.996478303876197,1.50673374168349,8.04860371037467,0.765468905054846,0.975189938471639,1.00494536366913,1.11791130713646,2111,0.0473709142586452,0.019895783988631,0.000473709142586452,NA
"1951-1960",1951,1960,"krill_biomass","biomass","climate",2111,0.991470874260191,1.62262113126298,9.25542502085099,0.753731864108581,0.968452511424089,0.997812674440661,1.12032906646307,2111,0.0487920416864045,0.0227380388441497,0.000947418285172904,NA
"1961-1970",1961,1970,"krill_biomass","biomass","climate",2111,0.995060203819758,1.715689030449,9.73136006191005,0.727445151057021,0.969637965664853,1.0046577274792,1.14050975567125,2111,0.0521080056845097,0.0236854571293226,0.00236854571293226,NA
"1971-1980",1971,1980,"krill_biomass","biomass","climate",2111,0.990119063940387,2.00679536737238,13.412152120817,0.716528724466647,0.963234932078964,0.997452807596426,1.14119355315569,2111,0.0525817148270962,0.025106584557082,0.00284225485551871,NA
"1981-1990",1981,1990,"krill_biomass","biomass","climate",2111,0.988561134945435,2.43572966989168,20.0560208819344,0.651932143448288,0.947241425674231,1.00835661107796,1.14385938523808,2111,0.0606347702510658,0.02936996684036,0.0123164377072477,NA
"1991-2000",1991,2000,"krill_biomass","biomass","climate",2111,1.00999648739382,3.83398196324689,48.3600048308439,0.723408924233987,0.987165708999293,1.04500380044276,1.2036192226389,2111,0.0511605873993368,0.0288962576977736,0.0118427285646613,NA
