"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1941-1950",1941,1950,"total_biomass","biomass","climate",170,0.994342074373721,0.983718888238063,0.0302554923527779,0.945043300720145,0.981961098491289,0.998612661663919,1.00112748034469,170,0,0,0,NA
"1951-1960",1951,1960,"total_biomass","biomass","climate",170,0.993336476176349,0.982074745680658,0.0325082507008553,0.941775947192954,0.979915844452783,0.998287215563733,0.999886550180411,170,0,0,0,NA
"1961-1970",1961,1970,"total_biomass","biomass","climate",170,0.993216499959527,0.981253464698319,0.0352683024415721,0.936069296161386,0.979050775127455,0.998336711444167,1.00108900194676,170,0,0,0,NA
"1971-1980",1971,1980,"total_biomass","biomass","climate",170,0.992358720231302,0.980504004446435,0.0402064893200012,0.931828402034485,0.976839217677017,0.998036633205856,0.999758641577786,170,0,0,0,NA
"1981-1990",1981,1990,"total_biomass","biomass","climate",170,0.991620292974259,0.984504093177467,0.0731670655242281,0.92404185488493,0.976239089593932,0.9994050237858,1.01016049643327,170,0,0,0,NA
"1991-2000",1991,2000,"total_biomass","biomass","climate",170,1.00848970408951,1.02563074935505,0.389186026400697,0.939727570610704,0.991261372794417,1.01950003600141,1.02850201138499,170,0,0,0,NA
"2001-2010",2001,2010,"total_biomass","biomass","climate",170,0.986327072540119,1.00472656341781,0.427525530658644,0.910895219575478,0.970962586202076,0.992468570874315,1.00494402828495,170,0.0176470588235294,0,0,NA
"1841-1850",1841,1850,"whale_biomass","biomass","climate",170,1.00631801580092,1.00838661946391,0.00444403700376992,1.00488471709962,1.00540834418411,1.00850103628426,1.01730919928384,170,0,0,0,0
"1851-1860",1851,1860,"whale_biomass","biomass","climate",170,0.993681984199083,0.991613380536092,0.00444403700376994,0.982690800716161,0.991498963715738,0.994591655815891,0.995115282900378,170,0,0,0,0
"1861-1870",1861,1870,"whale_biomass","biomass","climate",170,0.981207111681976,0.975229754497966,0.0129640840866656,0.949178878175174,0.97479590337212,0.98389920560823,0.985473174241247,170,0,0,0,0
"1871-1880",1871,1880,"whale_biomass","biomass","climate",170,0.968891829264429,0.959209730242745,0.0211212315557005,0.916740200952174,0.958385648994071,0.973361341869039,0.975962782659459,170,0,0,0,0
"1881-1890",1881,1890,"whale_biomass","biomass","climate",170,0.956736096477525,0.943559337453122,0.0289344074774204,0.885338046722433,0.942263558161407,0.963029585015512,0.966572907630949,170,0,0,0,0
"1891-1900",1891,1900,"whale_biomass","biomass","climate",170,0.944749412017475,0.928253936093157,0.0364083615636178,0.854941795317836,0.926424023199034,0.952778938319714,0.957310845127485,170,0,0,0,0
"1901-1910",1901,1910,"whale_biomass","biomass","climate",170,0.932924966096221,0.913300608642153,0.0435612897067648,0.825517130868041,0.910862632502404,0.942711170477514,0.948171290263951,170,0,0,0,0
"1911-1920",1911,1920,"whale_biomass","biomass","climate",170,0.921313039610521,0.898674873416307,0.0503971986792585,0.797035434495037,0.895573921498936,0.93278531239446,0.939175641773292,170,0,0,0,0
"1921-1930",1921,1930,"whale_biomass","biomass","climate",170,0.909809857470383,0.884384672971283,0.0569336003522642,0.769464608995777,0.880553696065054,0.923080471498341,0.930367748760261,170,0,0,0,0
"1931-1940",1931,1940,"whale_biomass","biomass","climate",170,0.898491833678756,0.870405645111402,0.0631738130190448,0.742777875766031,0.865796621054107,0.913461594450409,0.921638816015877,170,0.0823529411764706,0,0,0
"1941-1950",1941,1950,"whale_biomass","biomass","climate",170,0.887533393096141,0.856746503862996,0.0691347217392759,0.716945237032528,0.851298706566549,0.904060586337021,0.913074575029984,170,0.188235294117647,0,0,0
"1951-1960",1951,1960,"whale_biomass","biomass","climate",170,0.876559882894175,0.843383007666134,0.0748190049936446,0.691941619426703,0.837054742260888,0.894593995969843,0.904543972960328,170,0.2,0,0,0
"1961-1970",1961,1970,"whale_biomass","biomass","climate",170,0.865715079833518,0.830324564672846,0.080242978331445,0.667739016179083,0.823060934124905,0.885362638797696,0.896121311498256,170,0.211764705882353,0,0,0
