"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_090","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1841-1850",1841,1850,"baleen_biomass","biomass","absolute",2111,1.00588709936571,1.00728094543274,0.00511038351199286,1.00014937703424,1.00494319366102,1.00638140761903,1.01747159128145,2111,0,0,0,0,0
"1851-1860",1851,1860,"baleen_biomass","biomass","absolute",2111,0.994112900634288,0.992719054567263,0.00511038351199285,0.982528408718552,0.993618592380971,0.995056806338985,0.99985062296576,2111,0,0,0,0,0
"1861-1870",1861,1870,"baleen_biomass","biomass","absolute",2111,0.982556796440135,0.9784997832426,0.0149017784764011,0.948807677664347,0.98104234927012,0.985325954066416,0.999566200561723,2111,0.000947418285172904,0,0,0,0
"1871-1880",1871,1880,"baleen_biomass","biomass","absolute",2111,0.971169567013454,0.964633451936501,0.0243272699315113,0.916144921714316,0.968621861124461,0.975723689883989,0.999443563146384,2111,0.0108953102794884,0,0,0,0
"1881-1890",1881,1890,"baleen_biomass","biomass","absolute",2111,0.95991542397783,0.95108456014373,0.0333441401316335,0.884851339464551,0.956366916425869,0.966268627416982,0.999202267126738,2111,0.151113216485078,0.000947418285172904,0,0,0
"1891-1900",1891,1900,"baleen_biomass","biomass","absolute",2111,0.948806871609108,0.937869659916829,0.0420225230195557,0.854328285561303,0.944275634136281,0.956906333864886,0.999154145698481,2111,0.175746091899574,0.000947418285172904,0,0,0
"1901-1910",1901,1910,"baleen_biomass","biomass","absolute",2111,0.937801861488167,0.924954621837774,0.0503180321597518,0.824793919787885,0.932344184829178,0.947696574078949,0.998909719602336,2111,0.191852202747513,0.00331596399810516,0,0,0
"1911-1920",1911,1920,"baleen_biomass","biomass","absolute",2111,0.926998594589902,0.912356871352541,0.0583020411037505,0.79619819662148,0.92055680922174,0.938582623191395,0.998910264173058,2111,0.20558976788252,0.00900047370914259,0,0,0
"1921-1930",1921,1930,"baleen_biomass","biomass","absolute",2111,0.916364577923659,0.900042696365835,0.0659273990803748,0.768627030697288,0.908915680936954,0.929607483782793,0.998672064182676,2111,0.219801042160114,0.0184746565608716,0,0,0.000947418285172904
"1931-1940",1931,1940,"baleen_biomass","biomass","absolute",2111,0.745233936910867,0.697358661206096,0.205297605527098,0.21777112174592,0.603388974213573,0.852048469138598,0.935758562572502,2111,0.893889152060635,0.52202747513027,0.106584557081952,0.0450023685457129,0.193273330175272
"1941-1950",1941,1950,"baleen_biomass","biomass","absolute",2111,0.674556434914237,0.591831343950667,0.264531774867901,0.04383990362046,0.417053664900109,0.796068880246318,0.907946292378302,2111,0.936996684036002,0.676456655613453,0.231170061582189,0.118900994789199,0.35243960208432
"1951-1960",1951,1960,"baleen_biomass","biomass","absolute",2111,0.615335266956101,0.539707778452462,0.275141800613813,0.0318836228453052,0.326577866700404,0.751423273627836,0.894014709020429,2111,0.954523922311701,0.746091899573662,0.309332070108953,0.166745618190431,0.421127427759356
"1961-1970",1961,1970,"baleen_biomass","biomass","absolute",2111,0.573417010552477,0.505993537666255,0.277945833569512,0.0264525243183351,0.271155015026116,0.72048041311971,0.883728273613417,2111,0.96257697773567,0.781146376125059,0.356229275225012,0.192325911890099,0.464234959734723
"1971-1980",1971,1980,"baleen_biomass","biomass","absolute",2111,0.447037173179833,0.451375789504324,0.278396334535723,0.0196907639733817,0.217954484161184,0.700027618386651,0.863206353427179,2111,0.973472288015159,0.805779251539555,0.454760776882994,0.2202747513027,0.577925153955471
"1981-1990",1981,1990,"baleen_biomass","biomass","absolute",2111,0.408532764805214,0.417153865322625,0.292263601413695,0.00967169514855725,0.13442796635345,0.685760757497798,0.849343870276746,2111,0.982946470866888,0.823306489815253,0.495026054002842,0.306489815253434,0.598768356229275
"1991-2000",1991,2000,"baleen_biomass","biomass","absolute",2111,0.399278237822993,0.413259776926053,0.291062182623174,0.0111198620920765,0.131848954664723,0.6825245266906,0.844427253321147,2111,0.980104216011369,0.828990999526291,0.50071056371388,0.312648034107058,0.603031738512553
"2001-2010",2001,2010,"baleen_biomass","biomass","absolute",2111,0.392752296100843,0.408601150491141,0.289531951867713,0.0107606919665181,0.1287822115361,0.67585503356822,0.83849398792821,2111,0.981051634296542,0.840833728090952,0.504026527711985,0.318806252960682,0.613453339649455
"1841-1850",1841,1850,"sperm_biomass","biomass","absolute",2111,1.00263530552992,1.00388662655527,0.0035136529834269,0.998612448682932,1.00114422532167,1.00766361564958,1.00898775429178,2111,0,0,0,0,0
"1851-1860",1851,1860,"sperm_biomass","biomass","absolute",2111,0.997364694470082,0.996113373444727,0.0035136529834269,0.991012245708225,0.992336384350421,0.99885577467833,1.00138755131707,2111,0,0,0,0,0
"1861-1870",1861,1870,"sperm_biomass","biomass","absolute",2111,0.992074556808904,0.988409317471067,0.0103618186625718,0.973358153343348,0.977262683693,0.996525914738699,1.00392267228479,2111,0,0,0,0,0
"1871-1880",1871,1880,"sperm_biomass","biomass","absolute",2111,0.987003723702774,0.980934492732461,0.0171580517337284,0.956021644961958,0.962493274168953,0.994326510437402,1.00674422375212,2111,0,0,0,0,0
"1881-1890",1881,1890,"sperm_biomass","biomass","absolute",2111,0.981885274911871,0.973510536617023,0.0237708639946282,0.938995024400559,0.947956598260244,0.992066464048636,1.00922259649335,2111,0,0,0,0,0
"1891-1900",1891,1900,"sperm_biomass","biomass","absolute",2111,0.977066561424877,0.966306874172071,0.0303331196338876,0.922274696491678,0.933722187967707,0.989946253988372,1.01199327045742,2111,0,0,0,0,0
"1901-1910",1901,1910,"sperm_biomass","biomass","absolute",2111,0.972195924236936,0.959148198013925,0.0367151687163108,0.905853187172328,0.919711849634081,0.987751699195192,1.01441735859068,2111,0,0,0,0,0
"1911-1920",1911,1920,"sperm_biomass","biomass","absolute",2111,0.967453327203645,0.95220411963331,0.0430501391083582,0.889727110522071,0.905986487028605,0.985703512514464,1.0171309112109,2111,0.21222169587873,0,0,0,0
"1921-1930",1921,1930,"sperm_biomass","biomass","absolute",2111,0.962752044613432,0.945300580346697,0.0492089954345762,0.873889188627325,0.892483160457757,0.983573938206693,1.01949612948842,2111,0.284225485551871,0,0,0,0
"1931-1940",1931,1940,"sperm_biomass","biomass","absolute",2111,0.699580993367846,0.734993966488925,0.122663056552067,0.580097380879446,0.641895021061978,0.833336837308656,0.961946151473468,2111,0.866414021790621,0.590241591662719,0,0,0
"1941-1950",1941,1950,"sperm_biomass","biomass","absolute",2111,0.236683507373863,0.348726749001811,0.270586027746952,0.100205010620792,0.120927341457996,0.533956163461993,0.883192282390468,2111,0.958313595452392,0.87588820464235,0.637612505921364,0.470866887730933,0.752723827569872
"1951-1960",1951,1960,"sperm_biomass","biomass","absolute",2111,0.0366511153320735,0.178144246464299,0.257620774087442,0.00556682802069272,0.0114275285055512,0.239512260395224,0.797456324806643,2111,0.974419706300332,0.936522974893415,0.822832780672667,0.722406442444339,0.870677404073899
"1961-1970",1961,1970,"sperm_biomass","biomass","absolute",2111,0.0144373152862789,0.140440368907774,0.239559552855288,0.00142950083488649,0.00577695159544854,0.145296431534987,0.752600028278849,2111,0.980577925153955,0.946944576030317,0.860729512079583,0.778304121269541,0.899573661771672
"1971-1980",1971,1980,"sperm_biomass","biomass","absolute",2111,0.0121745548414896,0.131986624060948,0.232923644097583,0.0010798482757331,0.00534554356704827,0.12512187639304,0.733046209603124,2111,0.983420180009474,0.953102794883941,0.868782567503553,0.792515395547134,0.905731880625296
"1981-1990",1981,1990,"sperm_biomass","biomass","absolute",2111,0.0138561917481214,0.130374316484689,0.22969319137696,0.00114509676404614,0.00614584686042787,0.119037469188026,0.722221460189882,2111,0.984841307437234,0.954523922311701,0.873993368072004,0.79441023211748,0.906679298910469
"1991-2000",1991,2000,"sperm_biomass","biomass","absolute",2111,0.0172583510114856,0.133870781527993,0.22871537552563,0.00144342945983651,0.00832699203564127,0.125878267661704,0.720293366064008,2111,0.984841307437234,0.95594504973946,0.873519658929417,0.790620558976788,0.907153008053055
"2001-2010",2001,2010,"sperm_biomass","biomass","absolute",2111,0.0222149179355383,0.137686115485798,0.227650430992672,0.00169148110664706,0.0111446241754974,0.135834831133871,0.713159807869638,2111,0.983420180009474,0.956892468024633,0.873993368072004,0.788252013263856,0.908574135480815
"1841-1850",1841,1850,"apex_biomass","biomass","absolute",2111,1.0025786445219,1.00362615709841,0.00357580464317561,0.998891361097715,1.00071179122166,1.00704762892649,1.0089511221606,2111,0,0,0,0,0
"1851-1860",1851,1860,"apex_biomass","biomass","absolute",2111,0.9974213554781,0.996373842901595,0.00357580464317561,0.991048877839403,0.992952371073506,0.999288208778337,1.00110863890229,2111,0,0,0,0,0
"1861-1870",1861,1870,"apex_biomass","biomass","absolute",2111,0.992248693404204,0.989187871454832,0.0104982472147264,0.973465165194502,0.97911036460351,0.997762858777798,1.00304854243147,2111,0,0,0,0,0
"1871-1880",1871,1880,"apex_biomass","biomass","absolute",2111,0.987309164187765,0.982239530032735,0.0173248746643715,0.956199218161999,0.96553848958528,0.996388244117039,1.00521572383718,2111,0.00142112742775936,0,0,0,0
"1881-1890",1881,1890,"apex_biomass","biomass","absolute",2111,0.982398940271797,0.975338943554574,0.0239349826560915,0.939240274591937,0.952202746074997,0.994926430833633,1.00704096304191,2111,0.00189483657034581,0,0,0,0
"1891-1900",1891,1900,"apex_biomass","biomass","absolute",2111,0.977717964308334,0.968663787210917,0.0304630847878,0.922587776757755,0.939123412160662,0.993568331095138,1.00899650355143,2111,0.00284225485551871,0,0,0,0
"1901-1910",1901,1910,"apex_biomass","biomass","absolute",2111,0.973012118105732,0.962028968531818,0.0367889149709098,0.906231238816488,0.92625533616014,0.992104395992056,1.01067917079086,2111,0.00331596399810516,0,0,0,0
"1911-1920",1911,1920,"apex_biomass","biomass","absolute",2111,0.968548050408642,0.955612235301398,0.0430463683107503,0.890170334864592,0.91363250708847,0.990835737263704,1.01244445055433,2111,0.181430601610611,0.00142112742775936,0,0,0
"1921-1930",1921,1930,"apex_biomass","biomass","absolute",2111,0.96405722510955,0.949231399467743,0.0491156335903281,0.874394780290257,0.901234416823381,0.989363194086343,1.01410021919523,2111,0.245855045002369,0.00142112742775936,0,0,0
"1931-1940",1931,1940,"apex_biomass","biomass","absolute",2111,0.793520853300132,0.795804125930569,0.109843280209852,0.606407974067682,0.712112091548462,0.877354260591953,0.970612109550301,2111,0.801989578398863,0.313121743249645,0,0,0
"1941-1950",1941,1950,"apex_biomass","biomass","absolute",2111,0.482370033122502,0.515149818046688,0.229434622594392,0.153713367414655,0.340953125070227,0.683907479277445,0.915659711614842,2111,0.942681193747039,0.812884888678352,0.307437233538607,0.0862150639507342,0.58076740881099
"1951-1960",1951,1960,"apex_biomass","biomass","absolute",2111,0.378735942860457,0.391409577402792,0.236422482099635,0.0297626399164637,0.213267772624271,0.509900942902205,0.850263617995524,2111,0.964945523448603,0.900521080056845,0.562292752250118,0.238749407863572,0.777830412126954
"1961-1970",1961,1970,"apex_biomass","biomass","absolute",2111,0.368135602987455,0.363925419027124,0.230015447301207,0.0161481574482445,0.190191628579298,0.471324816835043,0.812354467551992,2111,0.972998578872572,0.924680246328754,0.608716248223591,0.262434864992894,0.81572714353387
"1971-1980",1971,1980,"apex_biomass","biomass","absolute",2111,0.361418113036991,0.351664080001407,0.224991969765795,0.0130765687049881,0.182180412325324,0.452720450619233,0.796969052443891,2111,0.97726196115585,0.935101847465656,0.641402179062056,0.272856466129796,0.834201800094742
"1981-1990",1981,1990,"apex_biomass","biomass","absolute",2111,0.298890867244653,0.306610714267664,0.212256262793714,0.0110861824617235,0.148245195008557,0.399430030202867,0.743025029016161,2111,0.987683562292752,0.951681667456182,0.753197536712459,0.327333017527238,0.876361913784936
"1991-2000",1991,2000,"apex_biomass","biomass","absolute",2111,0.30398147893192,0.310378629677497,0.212521761582008,0.0112614885693329,0.149763046840756,0.40431538559501,0.744322221667377,2111,0.987683562292752,0.951681667456182,0.74230222643297,0.318332543818096,0.875414495499763
"2001-2010",2001,2010,"apex_biomass","biomass","absolute",2111,0.30956055674961,0.314314630415235,0.212948649261303,0.0113976982217227,0.152690287028705,0.410512422978138,0.748130376483578,2111,0.987683562292752,0.952629085741355,0.731406916153482,0.312174324964472,0.872098531501658
"1841-1850",1841,1850,"minke_biomass","biomass","absolute",2111,1.00416115470902,1.00768076371304,0.0153244288243388,0.985832225901241,0.999958583951113,1.0176360582136,1.03236175467801,2111,0,0,0,0,0
"1851-1860",1851,1860,"minke_biomass","biomass","absolute",2111,0.995838845290982,0.992319236286961,0.0153244288243388,0.967638245321986,0.982363941786401,1.00004141604889,1.01416777409876,2111,0,0,0,0,0
"1861-1870",1861,1870,"minke_biomass","biomass","absolute",2111,0.987750030653894,0.979152558484052,0.0463346054060207,0.907146119789943,0.948472032924154,1.00127680759024,1.05025414118626,2111,0.0426338228327807,0,0,0,0
"1871-1880",1871,1880,"minke_biomass","biomass","absolute",2111,0.980317863852099,0.966130388411219,0.075188079946213,0.849740523694732,0.915683684579453,1.00157271159879,1.07857042834341,2111,0.163903363334912,0.00615821885362387,0,0,0
"1881-1890",1881,1890,"minke_biomass","biomass","absolute",2111,0.973712829400905,0.955122761231834,0.105003480388733,0.795206935023385,0.884055733765324,1.00263189471357,1.11497333482048,2111,0.328754144954998,0.024159166271909,0,0,0
"1891-1900",1891,1900,"minke_biomass","biomass","absolute",2111,0.967260377225766,0.944158373082297,0.133251263307896,0.744158260890151,0.853494047234574,1.0031259637984,1.14367842849427,2111,0.372335386072951,0.0554239696826149,0,0,0.00236854571293226
"1901-1910",1901,1910,"minke_biomass","biomass","absolute",2111,0.96074582231193,0.935134185259783,0.163244130233886,0.694792352179851,0.824083985072952,1.00458356212777,1.18057900616873,2111,0.393178588346755,0.0904784462340123,0.00142112742775936,0,0.00852676456655613
"1911-1920",1911,1920,"minke_biomass","biomass","absolute",2111,0.954872608616749,0.926068816842871,0.192409062385912,0.648847267456743,0.79578098752165,1.00500623678908,1.20957618158273,2111,0.413074372335386,0.144481288488868,0.00236854571293226,0,0.0123164377072477
"1921-1930",1921,1930,"minke_biomass","biomass","absolute",2111,0.94963195007977,0.918866941501566,0.224102164772409,0.60696451531402,0.768248861304516,1.00612785290088,1.24693087430302,2111,0.426811937470393,0.19753671245855,0.00426338228327807,0.000947418285172904,0.0246328754144955
"1931-1940",1931,1940,"minke_biomass","biomass","absolute",2111,0.943954854979457,0.911539161995643,0.255545318398016,0.566833989960632,0.741761183870039,1.00631672387813,1.27633602790594,2111,0.436286120322122,0.281383230696352,0.0108953102794884,0.00142112742775936,0.0383704405495026
"1941-1950",1941,1950,"minke_biomass","biomass","absolute",2111,0.939776957778272,0.906127783012424,0.290039349575302,0.532338025175388,0.717203591866679,1.00764395168741,1.3156071155942,2111,0.447655139744197,0.320227380388442,0.0132638559924207,0.00189483657034581,0.0535291331122691
"1951-1960",1951,1960,"minke_biomass","biomass","absolute",2111,0.934398535013308,0.900987169407223,0.324892308846397,0.497061778660512,0.692504039273482,1.00899212805664,1.34821724156902,2111,0.453813358597821,0.339649455234486,0.0189483657034581,0.00236854571293226,0.0715300805305542
"1961-1970",1961,1970,"minke_biomass","biomass","absolute",2111,0.920133474184958,0.887738226661052,0.359792227733742,0.45465151997007,0.659080655119573,1.00228529103812,1.382750441659,2111,0.472761724301279,0.351965892941734,0.0303173851255329,0.00331596399810516,0.0914258645191852
"1971-1980",1971,1980,"minke_biomass","biomass","absolute",2111,0.483493090557157,0.549558382354471,0.324100493444282,0.187396497479629,0.355066912064574,0.69341872130899,1.0927151398527,2111,0.88915206063477,0.78777830412127,0.329701563240171,0.0677404073898626,0.581241117953576
"1981-1990",1981,1990,"minke_biomass","biomass","absolute",2111,0.254626212921451,0.347537900701209,0.335925295334857,0.00381934196523443,0.123319320721529,0.488954302104036,0.983886217180165,2111,0.928943628612032,0.89057318806253,0.686878256750355,0.403600189483657,0.78635717669351
"1991-2000",1991,2000,"minke_biomass","biomass","absolute",2111,0.3046612826755,0.404465050208249,0.397749066680892,0.00256862870063881,0.153147765226263,0.549181809771203,1.12118447318281,2111,0.90525817148271,0.860255802936997,0.621980104216011,0.333491236380862,0.74372335386073
"2001-2010",2001,2010,"minke_biomass","biomass","absolute",2111,0.305192651386635,0.421160797198617,0.444516250940544,0.00178572176801872,0.146909287345624,0.56978255539371,1.16576989755508,2111,0.893415442918048,0.841781146376125,0.607295120795831,0.344860255802937,0.732354334438655
"1841-1850",1841,1850,"seal_biomass","biomass","absolute",2111,1.00163564945422,1.00312882747084,0.00695669009014298,0.992864351916625,0.999992225396508,1.00580147578566,1.01735688654348,2111,0,0,0,0,0
"1851-1860",1851,1860,"seal_biomass","biomass","absolute",2111,0.998364350545784,0.996871172529156,0.00695669009014297,0.982643113456518,0.994198524214338,1.00000777460349,1.00713564808337,2111,0,0,0,0,0
"1861-1870",1861,1870,"seal_biomass","biomass","absolute",2111,0.995189989160462,0.991159501268105,0.020660360222471,0.949516796584078,0.983264491065531,1.00007484968581,1.02276011209474,2111,0.000947418285172904,0,0,0,0
"1871-1880",1871,1880,"seal_biomass","biomass","absolute",2111,0.992319746214435,0.985757342066757,0.0335784195511176,0.918007204225048,0.972664261088557,1.00016805814944,1.03727160208036,2111,0.0184746565608716,0,0,0,0
"1881-1890",1881,1890,"seal_biomass","biomass","absolute",2111,0.989409206669487,0.980762600576298,0.046337500461133,0.887911626005293,0.962052006736154,1.00026369077618,1.05283694493662,2111,0.0729512079583136,0,0,0,0
"1891-1900",1891,1900,"seal_biomass","biomass","absolute",2111,0.986801249475198,0.976027248151948,0.0583796727568749,0.859314207979791,0.952056988414082,1.00042245503039,1.06735166699301,2111,0.115111321648508,0.000947418285172904,0,0,0
"1901-1910",1901,1910,"seal_biomass","biomass","absolute",2111,0.984073424064692,0.971654536563429,0.0703292478104886,0.831912496041045,0.94182616880755,1.00069622929235,1.08221524108775,2111,0.149218379914732,0.00331596399810516,0,0,0
"1911-1920",1911,1920,"seal_biomass","biomass","absolute",2111,0.981605321549221,0.967507478096513,0.0816343071741136,0.80588685259521,0.932994963279487,1.00082973737743,1.09636350830398,2111,0.178588346755092,0.00710563713879678,0,0,0
"1921-1930",1921,1930,"seal_biomass","biomass","absolute",2111,0.979224323688007,0.96368279276096,0.0929145153301444,0.781140014161011,0.923688050104413,1.00115650516489,1.11115764102624,2111,0.201326385599242,0.0270014211274278,0,0,0
"1931-1940",1931,1940,"seal_biomass","biomass","absolute",2111,0.97714907766974,0.960198732321533,0.103697501401043,0.757681790807985,0.915157108619893,1.00156630507051,1.12582330368275,2111,0.219327333017527,0.0450023685457129,0,0,0.000947418285172904
"1941-1950",1941,1950,"seal_biomass","biomass","absolute",2111,0.975084944745037,0.957353532432463,0.114748310780911,0.735566155654668,0.907720497252179,1.0028612733696,1.14370085673161,2111,0.232591189009948,0.0592136428233065,0,0,0.00284225485551871
"1951-1960",1951,1960,"seal_biomass","biomass","absolute",2111,0.973283310145548,0.954349461513911,0.125166477865744,0.714153591755034,0.899105037415615,1.00396418423495,1.15845768408565,2111,0.25106584557082,0.0772145902415917,0.000473709142586452,0,0.00426338228327807
"1961-1970",1961,1970,"seal_biomass","biomass","absolute",2111,0.971065647307088,0.951504695428198,0.135622021775071,0.69352035555846,0.891095617664138,1.00497097197158,1.17404761702031,2111,0.27238275698721,0.0937944102321175,0.00189483657034581,0,0.00473709142586452
"1971-1980",1971,1980,"seal_biomass","biomass","absolute",2111,0.968751412240512,0.948289767528774,0.145586656757224,0.673721627835241,0.882808420494462,1.00534115796688,1.1877669060574,2111,0.283751776409285,0.106584557081952,0.00189483657034581,0,0.00473709142586452
"1981-1990",1981,1990,"seal_biomass","biomass","absolute",2111,0.968801367552679,0.950044323749783,0.158832552170606,0.658092928746748,0.876379836595796,1.0126305284787,1.21171814992481,2111,0.291331122690668,0.111321648507816,0.00189483657034581,0.000947418285172904,0.00521080056845097
"1991-2000",1991,2000,"seal_biomass","biomass","absolute",2111,0.972120923710393,0.957955842080022,0.176255222222578,0.645328372968976,0.871076642152803,1.03390393364628,1.25637932114437,2111,0.30033159639981,0.118427285646613,0.00189483657034581,0.00142112742775936,0.00900047370914259
"2001-2010",2001,2010,"seal_biomass","biomass","absolute",2111,0.973238637405595,0.964498676791458,0.194443446687242,0.634534574602006,0.861940924687872,1.05126696175331,1.28510973892325,2111,0.320227380388442,0.126480341070583,0.00236854571293226,0.00189483657034581,0.01468498342018
"1841-1850",1841,1850,"fish_biomass","biomass","absolute",2111,0.998207257108676,0.997028805141394,0.00372227475685265,0.990327949419349,0.996440994612036,0.998974158892168,0.999800768264242,2111,0,0,0,0,NA
