"w","n_valid","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95"
0.00326776198422312,212,1.00851279848747,1.01973541546732,0.0256770351546705,1.00013518539901,1.00275198771247,1.02598480957957,1.07998691216872
0.0046875481476536,212,1.00139796456329,1.00404788334973,0.00919331991889021,0.998644851600428,1.00033884443331,1.00568415793463,1.0159949968062
0.00672420688613729,212,1.00285582448859,1.0072384837967,0.0120206425548053,0.999155228212303,1.00103556143713,1.00920465225038,1.027260879797
0.00964575868307804,212,1.00468676462537,1.01058401795161,0.0158868703404145,0.999644174475044,1.0018623678912,1.01354121921485,1.03896763418894
0.0138366742944791,212,1.00682339857961,1.01419297301651,0.0205516676863329,0.999881476912744,1.00280099720874,1.01762759504505,1.04977492933955
0.0198484703818451,212,1.00888297439071,1.01734010228935,0.0249336409573175,1.00000201457693,1.0035965689679,1.02149929304701,1.05788435940725
0.0284722880740333,212,1.0103127330474,1.01998728945788,0.0286428216781984,1.00001954438995,1.00418866042223,1.02505882547565,1.06402142552296
0.0408430056611436,212,1.01143825245924,1.02191181045563,0.0312489255909892,1.00002296995174,1.00458830925527,1.02678733569489,1.06707620205603
0.0585885864563713,212,1.01175936124557,1.02285223757333,0.0323102857732467,1.00000860736193,1.00473947687239,1.02766083010848,1.06872362017899
0.0840443157253079,212,1.01172650946116,1.02248002078479,0.0313692944701791,0.999976551723139,1.00462853917816,1.02835541522081,1.06694341523915
0.12056011986217,212,1.01036586423499,1.02033679050958,0.0280083909032393,0.999867514257116,1.0039567402652,1.02411948390204,1.06196427809021
0.172941410442158,212,1.00805215985389,1.01570748836697,0.0222381129107363,0.999627609741497,1.00277632180198,1.01995581984977,1.05385489486086
0.248081467403285,212,1.00223873115209,1.00720738284097,0.0172402212406306,0.989806286767624,0.999718093189792,1.01067047168761,1.04107040486461
0.355868581802455,212,0.998626532373089,0.991671264145649,0.0283575454358937,0.946220938008848,0.991562973570354,1.00323970678058,1.01625430825348
0.510487336437021,212,0.994029479175541,0.980994368804998,0.0388979819049297,0.912011213527585,0.978722209509077,0.999022413627147,1.00380587927371
0.732285270429473,212,0.980260488716867,0.954102669792709,0.0680238375240665,0.836229515673476,0.941990665885985,0.993575180938178,0.998025429625899
1.05045057734576,212,0.957936525517501,0.918729461104221,0.102783829035666,0.722269668480363,0.886033111756854,0.984004417748879,0.996268824935444
1.50685321691489,212,0.973672211526754,0.895925661686317,0.182311356300987,0.521917095512674,0.891702261368377,0.989908756239325,0.998223471290478
2.16155492347296,212,0.966414490765343,0.886841461953356,0.186276177647322,0.49678204595718,0.876760041809749,0.987009285304593,0.997423716451526
3.10071321794452,212,0.956906821219642,0.873418041814991,0.1927007906407,0.418000142503993,0.840607989895091,0.983506592735258,0.997044780402656
4.44791957656499,212,0.931511353252293,0.85174144528225,0.201360696659658,0.427988465233869,0.797818952311242,0.976681724159264,0.996276392555172
6.38046383815689,212,0.982668558101316,0.971399345678517,0.0421967471327797,0.902125659121383,0.965892853225804,0.994755069706329,0.999245601419645
9.15266521555844,212,0.978016638232089,0.965090315281008,0.0518507401045232,0.882350176330502,0.959902670755132,0.994013289072817,0.99906593298888
13.1293402287023,212,0.971598216622917,0.957761512647726,0.0633631622454085,0.85618321668852,0.94985690417765,0.993261024643916,0.999001765320899
18.8338118767848,212,0.965136468119796,0.947470621880537,0.081135342117712,0.815740879624821,0.936424406261827,0.991369398159627,0.999439439070819
27.0167779668531,212,1.09277091842511,1.18943121415522,0.287680033235317,0.953257742241608,1.02621015203091,1.23356845935972,1.70342981956821
38.7551015421336,212,0.971768159143898,0.959046637328118,0.0729906605985863,0.846848899040373,0.924891823838689,0.991482080061697,1.06751860445595
55.5935240458296,212,0.979187411558022,0.977930892450135,0.0817873419616342,0.856331373428588,0.940953366561582,0.994754173868168,1.15029259885133
79.747950407875,212,0.988776312422019,1.00614272326925,0.108825654991775,0.909419468697901,0.965542034976685,1.00035194516588,1.24724057832874
