"w","fished_ratio_median","fished_ratio_q25","fished_ratio_q75","climate_ratio_median","climate_ratio_q25","climate_ratio_q75"
0.000261446683775594,1.00369185841387,0.777837919869284,1.17355812542593,1,0.77388339968358,1.17078943274712
0.000375040753934783,1.00240382927079,0.687819897018868,1.18733266824701,1,0.688890120872709,1.18043283331963
0.000537989486348578,1.00204482566502,0.661217177165895,1.47428274008756,1,0.651192190705919,1.47249747032734
0.000771736629646219,1.00253124226249,0.615299791801912,1.84658110389042,1,0.603817128866002,1.8462622699935
0.00110704287100476,1.00637804994769,0.580440901739503,2.32247746816956,1,0.566173561348217,2.30905667515636
0.00158803388508885,1.01609430943013,0.560694903394873,2.94148797802722,1,0.553709104475708,2.93091209959785
0.00227800719036431,1.02513045746992,0.599756982913523,3.52151242506572,1,0.59085565478511,3.49024156421842
0.00326776198422312,1.00580660528846,0.734578162720744,2.75596878502762,1,0.729863729146238,2.75073095071769
0.0046875481476536,1.00172268878031,0.721976799918077,1.29542940512003,1,0.719904444231201,1.29255044133629
0.00672420688613729,1.00656375090853,0.727309714442651,1.2759530769823,1,0.727293599443338,1.2700757826793
0.00964575868307804,1.00505962985716,0.739586689378667,1.25203365096707,1,0.73819641481855,1.24220406259391
0.0138366742944791,1.01549350416734,0.753496089904453,1.23963495262337,1,0.749369264300228,1.23353793920975
0.0198484703818451,1.00982446851653,0.75983259850463,1.24415667428551,1,0.755754951763602,1.22806485362953
0.0284722880740333,1.02087346068214,0.754410271137316,1.26388792445761,1,0.747305562101121,1.25503188041044
0.0408430056611436,1.02053415668329,0.740370624050964,1.29701279258978,1,0.73415722821845,1.27920127812312
0.0585885864563713,1.01140358308735,0.727157815413666,1.32312239553859,1,0.715757378176227,1.30573557484201
0.0840443157253079,1.01156846109618,0.719288416741539,1.41976454239196,1,0.714166871405063,1.39433193282124
0.12056011986217,1.01162556061705,0.717697695013561,1.5433600865897,1,0.709693555369736,1.52770264633952
0.172941410442158,1.00934479620288,0.717029735625207,1.77550044408626,1,0.712485040845318,1.75215127603617
0.248081467403285,1.00250885713948,0.66965263985249,2.0376634426814,1,0.669258163390412,2.03646429533536
0.355868581802455,1.00442493767696,0.628328710658232,2.36649314360927,1,0.631384315278243,2.40033291219167
0.510487336437021,0.985747127539583,0.802469408110201,1.13971769962583,1,0.81877710757483,1.15563386911568
0.732285270429473,0.97417227445068,0.759951675412771,1.18812255145469,1,0.795071874790788,1.23642495105366
1.05045057734576,0.929970151999172,0.74208750357476,1.32166673493455,1,0.776940797946708,1.36886135418588
1.50685321691489,0.978960092843824,0.603626849180458,1.31228379980737,1,0.660711432046631,1.32749845776496
2.16155492347296,0.967833376786942,0.559341777731284,1.47801035692514,1,0.607784289654127,1.46697636614315
3.10071321794452,0.983600031428079,0.464294562265131,1.75979472610445,1,0.513506856862739,1.74526288690489
4.44791957656499,1.01938454577298,0.317140465554299,2.37180195640303,1,0.37496811429371,2.40499409395416
6.38046383815689,0.989729551200035,0.905190998721066,1.10936901506539,1,0.905081631647067,1.12158943705613
9.15266521555844,0.99124172055469,0.89429371410222,1.0957545402243,1,0.894123867991562,1.11098306045042
13.1293402287023,0.98812405170055,0.856457720702501,1.09419978419367,1,0.858256122805045,1.11168285078194
18.8338118767848,0.980975765618711,0.782991127881575,1.17964053109433,1,0.787030075763236,1.20156001641645
27.0167779668531,1.19290660982152,0.826601505582835,2.37914578763155,1,0.671263601288545,2.02028256621646
38.7551015421336,0.966730175793553,0.865344896344274,1.09110866502747,1,0.890480982181593,1.12824705806819
55.5935240458296,0.976905064447793,0.885803633987209,1.08077538845676,1,0.902571050452696,1.10922351044652
79.747950407875,0.984068768968354,0.902458145446526,1.0836835195896,1,0.916550202206211,1.09241354760596
114.397057992117,1.02076154378634,0.942885102041683,1.10330331433798,1,0.93198264713277,1.0809388544401
164.100604596346,1.04498313788554,0.922505222023179,1.15781478273736,1,0.858484574948647,1.11870667932213
235.399484056154,1.12075722274895,0.871445085372802,1.56895213793462,1,0.757426158149022,1.41868006696321
337.676495648558,1.11353762259526,0.870176801303931,1.38339317445801,1,0.739364752493162,1.29009087535495
484.391102940098,1.16469691963301,0.784127593012769,1.64768271000063,1,0.640931865486145,1.47185860507141
694.850674036028,1.19738717290439,0.820883093458396,1.81400327362795,1,0.679045595128589,1.54459720917444
996.751295136877,1.02328073039402,0.894392945084543,1.13310611594854,1,0.861748410547984,1.10891595874573
1429.82252371756,1.027405169542,0.896216878445335,1.14221791843134,1,0.860417496890197,1.11304082086924
2051.05572403526,1.03832570714877,0.896256338158083,1.16001490442644,1,0.860718901146282,1.12013198294911
2942.20402414699,1.06039236078404,0.897578573006744,1.20930344539039,1,0.844826857130651,1.1696452153562
4220.54087476266,1.00920760272555,0.972304653560947,1.0455058291993,1,0.959432215102723,1.03473569874802
6054.29301617067,0.996983732491063,0.931801307407633,1.09161873053642,1,0.93344961401321,1.09094150157753
8684.77880283868,1.04605571011365,0.962293240632502,1.12463902103063,1,0.902206371712587,1.08807677715428
12458.1652478298,1.04494701645158,0.962464353966445,1.11279367941674,1,0.908963786547628,1.07889155552327
17871.0229547244,1.03999414873341,0.972227211176509,1.11443848266939,1,0.915305714740064,1.07849704184775
25635.6738809449,1.0859177208666,0.915171369067751,1.27239625804395,1,0.848399313558452,1.21838659700978
36773.9315760001,1.0832209062862,0.929949948290486,1.22278410292186,1,0.801829535603828,1.145928764437
52751.5699347979,1.08755099656518,0.927666848466004,1.22387900963293,1,0.799590027294233,1.14720237968077
75671.2163026369,1.09354100168981,0.930274959912788,1.22712690746529,1,0.800308129896148,1.15123411476165
108549.05330397,1.09225239679499,0.921621536352191,1.23413226536412,1,0.793708885470132,1.15188983423349
