"w","ratio_median","ratio_mean","ratio_q05","ratio_q25","ratio_q75","ratio_q95"
4.30433941612213e-05,1.00520255218914,0.991904251749561,0.931104853121215,0.992114166518761,1.01775505366868,1.05387579599331
6.17450057694841e-05,1.00234523339599,0.988836044612318,0.931030195563534,0.990070092540607,1.01428052512269,1.04689805364647
8.85721447336123e-05,0.999988163175399,0.985299254977959,0.928757438836945,0.987805994687396,1.00966534592354,1.0404944778087
0.000127055212400501,0.997156799490897,0.981476029117314,0.925478713648448,0.984856387015728,1.00550366176822,1.03411411078514
0.000182258508549024,0.994179078816473,0.977649324205149,0.923793315892018,0.980193963493691,1.00192878905826,1.02917206935074
0.000261446683775594,0.991111596248924,0.974207947689348,0.920646724475697,0.97602633581569,0.998643180581706,1.02614694229591
0.000375040753934783,0.988823562897549,0.971625519756979,0.917096845616993,0.970988669234679,0.996731015618445,1.02624974703906
0.000537989486348578,0.98605066286258,0.970419744464518,0.913316410476855,0.967712050590703,0.996568289500484,1.02872663355683
0.000771736629646219,0.984971628075641,0.971108391887452,0.913680553484393,0.965883079259001,0.997442448663313,1.03453359180775
0.00110704287100476,0.985071856167313,0.974168677841851,0.919527591612964,0.966252944372781,1.00049101979349,1.04656363168008
0.00158803388508885,0.986824820463251,0.980040192191013,0.933506250475467,0.969528619755044,1.00495979011973,1.06537023364194
0.00227800719036431,0.990655655439606,0.988830292606399,0.946770146961774,0.976458693579775,1.01186040428923,1.0782125251308
0.00326776198422312,0.996796600213034,0.999549569625055,0.962973960884644,0.988058494160694,1.01718049339871,1.07717985339568
0.0046875481476536,1.00151141877295,0.998426182530771,0.967202838804476,0.992423618965023,1.01066252332748,1.02685187535536
0.00672420688613729,1.005363752238,1.00408183559442,0.973777130730358,0.995553726717336,1.01518201911532,1.03646487345745
0.00964575868307804,1.00886437924596,1.00924395478019,0.979836730312984,0.998324273045224,1.0191369161983,1.04807494129112
0.0138366742944791,1.0117285203431,1.01427724460284,0.984332267907181,1.00112516807553,1.02274982150968,1.06001711025762
0.0198484703818451,1.01559674121366,1.02052218306396,0.988884179446226,1.00424830795603,1.02765832544132,1.07378621288176
0.0284722880740333,1.01893661513094,1.02556844613819,0.991204822084915,1.00689589979099,1.03118342846944,1.08593368186698
0.0408430056611436,1.02106280058791,1.0292182738892,0.993016416464249,1.00871289866492,1.03337742933508,1.09478061834678
0.0585885864563713,1.02200643427751,1.03115356394037,0.993542188689239,1.00947826311058,1.03445527487524,1.09915578427571
0.0840443157253079,1.02091349057497,1.03099555608277,0.993142922584954,1.00866277850189,1.03435421714926,1.09726900488011
0.12056011986217,1.01858711992576,1.02835239774807,0.989348784057284,1.00646391560721,1.03282076222939,1.08888250390479
0.172941410442158,1.01321802358193,1.02266028015949,0.982817149428434,1.00239380121194,1.02930534533921,1.07274521928344
0.248081467403285,1.00442476785555,1.01272445237027,0.972146796081473,0.995210309735543,1.01886235484378,1.0493590120542
0.355868581802455,0.990624880505653,0.996255214256725,0.935172525171584,0.97994899634318,1.00262930743457,1.02110450928998
0.510487336437021,0.968059063350534,0.996644687835675,0.882439435820014,0.95143111006085,0.981656967398624,0.994528888305166
0.732285270429473,0.958283119909875,0.994954455480475,0.805555803824866,0.926610949686292,0.972663199565716,0.988074384158054
1.05045057734576,0.950341557021779,1.04613156408381,0.703021257955536,0.892955018916979,0.972045899851317,0.997516972479318
1.50685321691489,0.985646607010161,3.05066847811616,0.378519787168163,0.919793299084439,1.00417195042718,1.06448962168023
2.16155492347296,0.976806001892286,4.01714206583912,0.359782383603882,0.902769780574253,1.00049791670799,1.16885665513586
3.10071321794452,0.963328460164867,6.08145373421611,0.345853334184441,0.875160622198621,0.992843035907878,1.3050778200641
4.44791957656499,0.940284637381375,10.2845747011709,0.347256013054328,0.821566513577375,0.979049638654385,1.60471865327181
6.38046383815689,0.991086649466947,1.01189385773046,0.91329675192304,0.973745752039848,1.00152105574841,1.10197535260106
9.15266521555844,0.986557346770762,1.01965251093584,0.891732246560988,0.965649188368217,0.998766356550728,1.12459260709068
13.1293402287023,0.979396169385542,1.03284378187721,0.863609567714253,0.954017086123513,0.994694538822143,1.18541807038767
18.8338118767848,0.969604305824303,1.06859966913319,0.819423217580338,0.93782971773932,0.98877733489697,1.32880675644828
27.0167779668531,1.09482280643009,1.41656546037416,0.970245478875292,1.02381929326945,1.28253159155982,2.61584598625931
38.7551015421336,0.96142074177014,0.964377922230244,0.824995899749364,0.927997934644715,0.980663693980424,1.08262970604547
55.5935240458296,0.965016337862197,0.981943135248017,0.856600954970266,0.937717170648153,0.98257152486135,1.16253238923752
79.747950407875,0.970465672808046,1.00994834097525,0.890203225821102,0.952159217895525,0.984680312834942,1.28903639788766
114.397057992117,0.97790688958113,1.05598871414366,0.93152231558019,0.965369487628231,1.00130177037943,1.48216395111332
164.100604596346,0.991513667138964,1.14262411897564,0.954063231560827,0.977894974419687,1.06805576926323,1.80401342045215
235.399484056154,1.04448848623,1.35533579746896,0.965011177513374,1.00025874240817,1.23023982486431,2.57707461385877
337.676495648558,1.05006365745825,1.31042858290571,0.973699330709402,1.00581472958577,1.22437784743794,2.3916335238713
484.391102940098,1.08100929701276,1.40760445902609,0.972806302489282,1.01425784997586,1.31498815237937,2.80528793104163
694.850674036028,1.12001848945382,1.414420938457,0.981371470253736,1.03207251000789,1.32253502897954,2.54704348202747
996.751295136877,0.994484762942955,1.11046127075015,0.945078386799288,0.982331373203374,1.04493982733231,1.59351873502327
1429.82252371756,1.00991209445676,1.13353447509294,0.970253859676884,0.997169302341017,1.06545446895668,1.60560188406461
2051.05572403526,1.02788039526497,1.16793194491147,0.999404223340578,1.01330307139762,1.09095223754395,1.64850767098034
2942.20402414699,1.04097679767064,1.21740008752778,0.992247164642745,1.0095570474807,1.14396656049146,1.89321000915764
4220.54087476266,1.00350640068957,1.01475204376252,0.985107685667535,0.997928691133476,1.01745674468945,1.08148674616885
6054.29301617067,0.987654105757202,0.982709711009124,0.931989816750444,0.972293030928488,0.996294226397513,1.0091575111397
8684.77880283868,1.02361716103446,1.10161299133748,0.985406122767388,1.00274343677371,1.10225862352008,1.49044394468187
12458.1652478298,1.02515852636795,1.09621990717568,0.987282987429077,1.00363416952684,1.09523946124904,1.461232947235
17871.0229547244,1.02710691646784,1.09915761751043,0.990276517023206,1.00487253169671,1.09736069552365,1.46361826714529
25635.6738809449,1.06048970659697,1.22006577865223,0.99098773890616,1.01644043199309,1.18241144058218,1.96936168230751
36773.9315760001,1.07375377469109,1.343566765202,0.980008258112829,1.02215182339373,1.25327846592876,2.73756215859044
52751.5699347979,1.08774499397308,1.37628634345457,0.976637086868145,1.03001736787145,1.28337963161388,2.82951720680549
75671.2163026369,1.09502113352288,1.40897565865839,0.965302686854761,1.0351412637698,1.30096639838854,2.94831664493608
108549.05330397,1.0949430449429,1.44629725708891,0.970052021882119,1.03004194257375,1.31064847733912,3.11475334999302
155711.742838438,1.12416656157845,1.82234118900363,0.971644406004372,1.02668542315576,1.47545620015266,4.45856713636593
223365.806700198,1.18190298332834,2.29215098511646,0.949790459543736,1.04329916970148,1.66155128051511,5.33804498307245
320414.393245838,0.99785612815137,1.00455414491414,0.964923229408235,0.989441966239494,1.0070855540974,1.05227188028614
459628.91507784,1.02543651332676,1.06774644170084,0.915005418176491,0.987466197692256,1.09491165474081,1.31774514966312
659329.743072884,0.991271948124158,0.98441958076711,0.924035377229532,0.976255174729347,1.00140649850275,1.02654163631376
945797.132947857,0.991017399475156,0.985504886708117,0.910514598933593,0.97291268957473,1.00502892465234,1.04595842561638
1356729.65779355,0.975297634263075,0.995023989001378,0.690412047495122,0.877592384276085,1.06005655577632,1.37680650006142
1946205.26983358,0.981769288986386,0.984914354946306,0.898814192696367,0.955229275814455,1.00478186710419,1.0908430089394
2791797.85786357,0.954003217045048,0.941531253134039,0.364970736087814,0.760258116482104,1.08778758834834,1.51635808635546
4004785.82602855,0.935543257109799,0.93780735638945,0.763295337058161,0.861093685291049,0.989709861263166,1.11567129627947
5744796.12382558,0.93591399207934,0.9512649746785,0.746528597663086,0.846821158882456,0.995100970475973,1.22807525706586
8240810.85430961,0.240985951809977,0.384268600752119,0.00133472818833998,0.104982480276277,0.501915551391265,1.17530475130606
11821300.8908807,0.799679262884154,0.758926538369031,0.36504380601092,0.611520795338123,0.934098496648231,1.03835512449576
16957452.0303007,0.871253880103762,0.855202771403027,0.642675511568953,0.75668507186995,0.970877378418028,1.01844649137358
24325172.1628858,0.865488749958962,0.847792876401878,0.625958995610792,0.746532172959074,0.969622716279118,1.01886486344146
34894039.487579,0.758347625739558,0.745694597295904,0.424054539229848,0.568714704122498,0.948520892031861,1.00780840848797
50054897.1907571,0.0270052138828011,0.138969259377694,0.00179425296023294,0.0138563671131316,0.134484941893398,0.713131083808311
71802885.8100286,1.00144887517386,1.00157714534851,0.952481859167143,0.990962293382817,1.01552994263008,1.05498428277598
103000000.000001,0.498077442602085,0.46014802016901,0.0108767831478175,0.174913290015144,0.725936643503247,0.860825485864338
