"time","diff_median","diff_q25","diff_q75","diff_q05","diff_q95","n_pairs"
1937,-0.00138745242552585,-0.00222145419406627,-0.00081313089352858,-0.008543062316498,-5.96858569931423e-05,212
1938,-0.00159938011323657,-0.00246009387236229,-0.000826865095993556,-0.00910136989170662,6.85456066585169e-05,212
1939,-0.00168729804138545,-0.00251222259672701,-0.000860471292338627,-0.00989027318192219,0.000335038729958089,212
1940,-0.00207076638696313,-0.00345949604243057,-0.00125692836075814,-0.00939584313213786,4.44774078721197e-05,212
1941,-0.00254092513021931,-0.00439669533216319,-0.00164117210805842,-0.0116421427820076,1.4297313831799e-05,212
1942,-0.00232001589290232,-0.00405656568997648,-0.00139906523727285,-0.0104460146804334,0.000207915869072591,212
1943,-0.00219821732468217,-0.00388782800905968,-0.00137350035429157,-0.0103790659571966,0.000696743136473154,212
1944,-0.00220561020659005,-0.00386806233587117,-0.0013602349219447,-0.0106055295817779,0.000988317366235902,212
1945,-0.00217372854057152,-0.00378273320146089,-0.00135188452447976,-0.0107199173187987,0.00122837911805222,212
1946,-0.00216980262449984,-0.00375079686842195,-0.00132838280848063,-0.0104948640496668,0.00146580327231771,212
1947,-0.00217666216553392,-0.0038193033804087,-0.00133029115373529,-0.0107962705630675,0.00149200858220597,212
1948,-0.0027374105259248,-0.00494173004394971,-0.00165876354559535,-0.0123404204282271,0.00096015757366109,212
1949,-0.00383935338269725,-0.00657250366537743,-0.00259056869604674,-0.0149198770897018,-0.000133433173854514,212
1950,-0.00410884131014255,-0.00700011583595372,-0.00263158446806067,-0.0153311661388903,-0.00022403965671436,212
1951,-0.00451298595705751,-0.00757681772267194,-0.00274963847940474,-0.0160292476865464,-0.000347021784981694,212
1952,-0.00556649095530071,-0.00886586839033759,-0.00300366986239736,-0.0165266576810194,-0.000490848928450185,212
1953,-0.00594521723144736,-0.00930860742931622,-0.0032477747419688,-0.0176300828025516,-0.000636567662347591,212
