"ensemble","time","slope_mean","slope_median","slope_sd","slope_min","slope_max","slope_q25","slope_q75","n_sims"
"Exploited",1974,-1.06432906226478,-1.0650374912711,0.0133512335402876,-1.11084186717776,-1.03396818427649,-1.07136760530654,-1.05426686268413,212
"Exploited",1975,-1.06547812676697,-1.06612216905864,0.0133150943135593,-1.11238812590885,-1.03572486450216,-1.07247953664041,-1.05576301343493,212
"Exploited",1976,-1.06436118019249,-1.06501175774659,0.0134564850927511,-1.11215508929234,-1.03404959786355,-1.07163644979879,-1.05415352064265,212
"Exploited",1977,-1.06494309537376,-1.06541215650909,0.0134372027599627,-1.11078359419319,-1.03460205494873,-1.07219541414022,-1.05503443231904,212
"Exploited",1978,-1.0649671662452,-1.0657078099251,0.0134786148788034,-1.11199419219967,-1.03518239076379,-1.0721144939634,-1.05525845954487,212
"Exploited",1979,-1.06510015792448,-1.06591775305991,0.0136258346720782,-1.11027953127478,-1.03446664756873,-1.07251529053227,-1.05609979307378,212
"Exploited",1980,-1.0687695272564,-1.06931107127474,0.0131941356908786,-1.11959302294675,-1.04180600563901,-1.0759456486077,-1.05981251924314,212
"Exploited",1981,-1.06655217624909,-1.06741210764798,0.0133795557906151,-1.11405756339112,-1.03555705481737,-1.07378373158801,-1.05870393588361,212
"Exploited",1982,-1.06793058137121,-1.06894455935607,0.0130264670627091,-1.11290018974123,-1.03820862927894,-1.07509102960336,-1.06013371845621,212
"Exploited",1983,-1.06879327805127,-1.06958368005137,0.0129871710963945,-1.11556887264787,-1.04005585915664,-1.07583753231415,-1.06077930319148,212
"Exploited",1984,-1.06893131955712,-1.06978041907707,0.0129186609983854,-1.11917838044738,-1.04122424516823,-1.07584466430752,-1.06079542405977,212
"Exploited",1985,-1.0669660383678,-1.06790161105923,0.0130837750258543,-1.1128663121191,-1.03726055546339,-1.07422769178971,-1.0589923419139,212
"Exploited",1986,-1.0688888095443,-1.06992623495033,0.0127642450671176,-1.11577032037914,-1.04145190307232,-1.07570638340985,-1.06093411232857,212
"Exploited",1987,-1.06605223317722,-1.06691725532688,0.0133836026593578,-1.10968126471958,-1.03422988537739,-1.07382124460091,-1.05729419923063,212
"Exploited",1988,-1.06723832575155,-1.06842848472388,0.0129944929854377,-1.11393493630712,-1.03792424357502,-1.07465891493727,-1.05890150429112,212
"Exploited",1989,-1.06796503352486,-1.06881797542506,0.0129473797942493,-1.11725991429116,-1.03990093095934,-1.07517500518565,-1.05956707205116,212
"Exploited",1990,-1.06966702233192,-1.07031921483096,0.0127320253697678,-1.12167772786484,-1.04347260598566,-1.07694641178282,-1.0614022345821,212
"Exploited",1991,-1.06608636836235,-1.06683834190418,0.0129581627282499,-1.1128851925096,-1.03646633028633,-1.07342515386456,-1.05828998645804,212
"Exploited",1992,-1.06783639895174,-1.06886982215182,0.0125673774176437,-1.11486983032083,-1.04037435736157,-1.07460458704375,-1.05993547781698,212
"Exploited",1993,-1.06866370443886,-1.06911780754926,0.0125686910112189,-1.12123450561665,-1.04293052986567,-1.07553640549655,-1.06052674633926,212
"Exploited",1994,-1.06942662285647,-1.06978973941272,0.0124518577677998,-1.1229402376041,-1.04428526334711,-1.07602641004802,-1.06117945433703,212
"Exploited",1995,-1.06789684920538,-1.06858580035065,0.0123850305828522,-1.11680978470217,-1.0414066775344,-1.07467459640131,-1.06005182195148,212
"Exploited",1996,-1.06738477539596,-1.06810459942729,0.0123112825778683,-1.11625471968015,-1.04125786769711,-1.07391915372012,-1.05943107557325,212
"Exploited",1997,-1.06880901956351,-1.06925043235754,0.0123072794999288,-1.1203629867523,-1.04388021109776,-1.0753126669158,-1.06045457015674,212
"Exploited",1998,-1.06732544106481,-1.06782818414244,0.0123377454932879,-1.11853240336736,-1.04163217102923,-1.07376748102482,-1.05942893402791,212
"Exploited",1999,-1.06877261317734,-1.06918065440821,0.012238173992648,-1.12062105371083,-1.04410122475388,-1.07513631389779,-1.06045177812403,212
"Exploited",2000,-1.06684949610336,-1.06741942562333,0.0123598651752679,-1.11448714343413,-1.04021924277369,-1.07348414714011,-1.05836722458146,212
