"w","ratio_median","ratio_mean","ratio_q05","ratio_q25","ratio_q75","ratio_q95","climate_ratio_median","climate_ratio_mean","climate_ratio_q05","climate_ratio_q25","climate_ratio_q75","climate_ratio_q95"
1.01654172179288e-05,1.00370258689809,1.00595279220957,0.97998996073015,1.00083518524973,1.01191440062024,1.05277993801895,1,1.11685487095798,0.561820549043799,0.767122499787499,1.42697034652395,1.91758691428035
1.45821154906901e-05,1.00356042664416,1.0055812319023,0.979598337660142,1.00078466293784,1.01157555925144,1.05234357066519,1,1.11289581872899,0.551520066839836,0.763657030254429,1.43851217388348,1.91907524922205
2.0917792907584e-05,1.0033129835129,1.00511229247784,0.97906391609008,1.0007264719116,1.01102797312736,1.05007879898544,1,1.10375025599649,0.546072169990059,0.757462686782181,1.44323926898032,1.89947864004902
3.00062127750894e-05,1.00304613604491,1.00454071395137,0.978966667090509,1.00062710175942,1.01040666821895,1.04556370907626,1,1.09330839680066,0.545388074995017,0.750408370689321,1.43493523646839,1.86538294790276
4.30433941612213e-05,1.00276532582643,1.00384805768772,0.978716142447423,1.00053406035907,1.00977939023371,1.04140175803244,1,1.07229271318017,0.538196130310742,0.752054195957576,1.39864523274008,1.77838933676973
6.17450057694841e-05,1.00246855507849,1.00313526462228,0.977871218624848,1.00042172334286,1.00891882733246,1.03841594561765,1,1.04479571514613,0.542123070211393,0.761471390417163,1.33569239806868,1.67062169875127
8.85721447336123e-05,1.00218234910134,1.00246504121366,0.978105983899889,1.00032881411952,1.00821851437466,1.03495193187765,1,1.03791281054262,0.565127096691435,0.779178611772457,1.29875841720972,1.58904328813885
0.000127055212400501,1.00194986996951,1.00190994980684,0.978180908719738,1.00026015922336,1.00742993890619,1.03364894321514,1,1.0160104407523,0.588021759090447,0.793006084030323,1.25695946986467,1.4781896989023
0.000182258508549024,1.00179578833016,1.00155690169766,0.978226988128051,1.00019698482264,1.00698083219359,1.03267707596109,1,0.985638128515077,0.557812172710321,0.792004457360986,1.21844485293977,1.34910756020886
0.000261446683775594,1.00177017605541,1.00150540297054,0.978307945812977,1.00017617295246,1.00695423374426,1.03284674647444,1,0.958608970283343,0.515557284876299,0.77388339968358,1.17078943274712,1.32989865389318
0.000375040753934783,1.00188213097273,1.00186310798145,0.978097789737474,1.00021343643722,1.00708659827491,1.03446630192238,1,0.946678407675783,0.432470981707412,0.688890120872709,1.18043283331963,1.42091899532796
