"sim_index","valid_sim_index","rmse","rank"
132,132,1.83797480444263,683
558,558,1.83821463288576,684
305,305,1.83823782520184,685
831,831,1.83876491515195,686
376,376,1.83893964305124,687
1426,1426,1.83893964305124,688
643,643,1.83934305613369,689
128,128,1.83948130264024,690
464,464,1.83951956500986,691
1534,1534,1.83951956500986,692
180,180,1.83953290854624,693
1586,1586,1.83976733937092,694
1119,1119,1.83987873499897,695
110,110,1.83992064050315,696
763,763,1.84030813848575,697
1670,1670,1.84049655352491,698
1432,1432,1.84064529330599,699
1913,1913,1.84089134508646,700
64,64,1.84092218301772,701
1407,1407,1.84125175991357,702
1602,1602,1.84127585374425,703
1488,1488,1.84129821530013,704
818,818,1.84163795109181,705
710,710,1.8417911069845,706
176,176,1.84181572600612,707
1787,1787,1.84203950503008,708
1505,1505,1.84207652056416,709
133,133,1.8421192930547,710
586,586,1.84223609143781,711
761,761,1.84273122031979,712
1462,1462,1.84293936859191,713
1483,1483,1.84297108002615,714
58,58,1.84306475942032,715
32,32,1.84313375780171,716
566,566,1.84345858115002,717
1437,1437,1.8436765884293,718
244,244,1.84386186069822,719
627,627,1.84392911120517,720
1464,1464,1.84409585421698,721
450,450,1.84413585128804,722
1517,1517,1.84413585128804,723
865,865,1.84424332515388,724
705,705,1.84433789458154,725
306,306,1.84460045263047,726
369,369,1.84463745740268,727
1988,1988,1.84488347131642,728
2065,2065,1.84488347131642,729
734,734,1.84519437019101,730
1449,1449,1.84526942045498,731
68,68,1.84543534128803,732
708,708,1.84553014435084,733
107,107,1.84561652824962,734
1425,1425,1.84577816076117,735
347,347,1.84589326071445,736
1848,1848,1.84593282968762,737
530,530,1.84594384028895,738
472,472,1.8461237058942,739
691,691,1.84638683698887,740
1508,1508,1.84652898494101,741
22,22,1.84676908117167,742
867,867,1.84715482893373,743
912,912,1.84715610815162,744
1037,1037,1.8473483735853,745
1600,1600,1.84742473488262,746
318,318,1.84743631078187,747
209,209,1.84752571889893,748
276,276,1.84765122534964,749
1331,1331,1.8477417864631,750
390,390,1.84774854779685,751
1444,1444,1.84774854779685,752
295,295,1.84776731511747,753
1835,1835,1.84779815000534,754
771,771,1.84795728128068,755
1790,1790,1.84798902096487,756
681,681,1.84839040315025,757
647,647,1.84848982202389,758
50,50,1.84850753783643,759
76,76,1.84872645807254,760
389,389,1.84882215471943,761
727,727,1.84906426831786,762
1669,1669,1.84927646005344,763
433,433,1.84955408359843,764
36,36,1.8496426728861,765
2055,2055,1.84972217212784,766
1660,1660,1.8497317266747,767
109,109,1.84984256408923,768
537,537,1.84995731537383,769
1118,1118,1.84997619710659,770
622,622,1.84998698305721,771
1358,1358,1.85004315915741,772
1765,1765,1.85015950787097,773
117,117,1.85019349654074,774
713,713,1.85033114566718,775
25,25,1.85042453833445,776
1419,1419,1.85044538691394,777
1170,1170,1.85074406666786,778
842,842,1.85078348531179,779
187,187,1.85079285461665,780
61,61,1.85084184587236,781
1718,1718,1.85091559096684,782
836,836,1.85099106683564,783
1109,1109,1.85099449193346,784
75,75,1.85102123760828,785
532,532,1.8512030538311,786
1729,1729,1.85187069773558,787
648,648,1.85214570702919,788
1025,1025,1.85226284363191,789
372,372,1.85230177993221,790
1422,1422,1.85230177993221,791
788,788,1.85264656367126,792
1990,1990,1.85264918413579,793
2068,2068,1.85264918413579,794
33,33,1.8528161951179,795
1181,1181,1.85292334868467,796
1581,1581,1.85298044248859,797
910,910,1.85307772594871,798
114,114,1.85333879161237,799
1299,1299,1.85340170933721,800
249,249,1.85353725746661,801
755,755,1.85361949895364,802
272,272,1.85382470520966,803
1589,1589,1.85391373542272,804
438,438,1.85394554509024,805
78,78,1.85394774669936,806
461,461,1.85411328279521,807
1478,1478,1.85411585707843,808
1355,1355,1.8542297541118,809
765,765,1.85448835007484,810
918,918,1.85449551310161,811
1901,1901,1.85470634909634,812
289,289,1.85484399450961,813
1755,1755,1.85559800740811,814
635,635,1.85589023719028,815
1611,1611,1.85606198474621,816
31,31,1.85644732092224,817
795,795,1.85657376432505,818
491,491,1.85674807637566,819
342,342,1.85684746357841,820
629,629,1.85686099331783,821
54,54,1.85692400921552,822
661,661,1.85702112122374,823
1055,1055,1.85727713408354,824
73,73,1.85737557943429,825
1863,1863,1.85755034349433,826
1388,1388,1.85758547770622,827
1421,1421,1.85769155725666,828
481,481,1.85769807155398,829
852,852,1.85777973345469,830
899,899,1.85782299433881,831
436,436,1.85793092743988,832
225,225,1.85793670097892,833
1570,1570,1.85802783134487,834
326,326,1.85824363838187,835
1367,1367,1.85824363838187,836
676,676,1.85829132398132,837
357,357,1.85831675571168,838
1706,1706,1.85841304756062,839
1047,1047,1.85844056080219,840
212,212,1.85844322794337,841
1590,1590,1.85860949593434,842
1158,1158,1.85863578524055,843
794,794,1.85877463247546,844
256,256,1.85894286957375,845
144,144,1.85901027744371,846
37,37,1.85908152126675,847
1447,1447,1.85909192773159,848
451,451,1.85909439018575,849
286,286,1.85910965368213,850
294,294,1.8592142558378,851
1380,1380,1.85921473954545,852
345,345,1.85929355145597,853
1393,1393,1.85929355145597,854
1361,1361,1.85999208734333,855
1953,1953,1.86006224011474,856
2012,2012,1.86006224011474,857
320,320,1.86021504320531,858
388,388,1.86025652494217,859
1442,1442,1.86025652494217,860
267,267,1.86046225056761,861
371,371,1.86047416676628,862
235,235,1.86054094714892,863
846,846,1.86061651403686,864
40,40,1.86085190210824,865
449,449,1.86104628095036,866
1777,1777,1.86109337658821,867
