"Year","signal_med","signal_mean","signal_q25","signal_q75","noise","snr_med","snr_mean","snr_q25","snr_q75","metric","window","align","baseline"
1995,-1689221197894.53,-3636516029491.25,-4916523370747.5,-772230324557.621,1686672488924.52,-1.00151108705854,-2.15602972916812,-2.91492474267038,-0.457842485502342,"Biomass","10yr","trailing","base1901_1929"
1996,-1670363482479.77,-3580059146186.04,-4872149758520.32,-756612506198.895,1686672488924.52,-0.990330661967962,-2.12255738425473,-2.88861636773775,-0.448582941363642,"Biomass","10yr","trailing","base1901_1929"
1997,-1661817630303.81,-3548587093132.29,-4832812809563.46,-744721960991.766,1686672488924.52,-0.985263968681584,-2.10389812867286,-2.86529414649138,-0.441533235338787,"Biomass","10yr","trailing","base1901_1929"
1998,-1662953376206.8,-3549653111822.97,-4849191737623.24,-745572632019.66,1686672488924.52,-0.985937333493331,-2.10453015338287,-2.8750049398833,-0.442037584009605,"Biomass","10yr","trailing","base1901_1929"
1999,-1658310473643.78,-3539089014214.63,-4842149862949.41,-736877399355.578,1686672488924.52,-0.983184633966005,-2.098266876026,-2.87082992978497,-0.436882325522152,"Biomass","10yr","trailing","base1901_1929"
2000,-1629741636481.01,-3516838522914.97,-4849162584083.35,-731241185486.871,1686672488924.52,-0.9662466466861,-2.08507493067456,-2.87498765523552,-0.433540708281272,"Biomass","10yr","trailing","base1901_1929"
2001,-1616596846955.57,-3482282688688.24,-4833137229952.47,-709606700382.348,1686672488924.52,-0.958453320114546,-2.06458735264525,-2.86548648993158,-0.420713982733435,"Biomass","10yr","trailing","base1901_1929"
2002,-1620375875039.14,-3464890831380.89,-4798262721729.73,-694945589179.449,1686672488924.52,-0.960693842864749,-2.05427601038909,-2.84480997540268,-0.412021654318066,"Biomass","10yr","trailing","base1901_1929"
2003,-1640773109165.65,-3504959196567.18,-4845547806841.6,-705448183858.584,1686672488924.52,-0.972787022934053,-2.07803187612438,-2.87284451407119,-0.418248467613534,"Biomass","10yr","trailing","base1901_1929"
2004,-1618553337724.43,-3496434674224.67,-4821952447945.71,-696458710209.941,1686672488924.52,-0.959613290874552,-2.07297782894065,-2.85885521914237,-0.412918758551655,"Biomass","10yr","trailing","base1901_1929"
2005,-1621828059163.1,-3528620525446.63,-4823592880033.19,-701116228173.852,1686672488924.52,-0.961554818622337,-2.09206028355665,-2.85982780397924,-0.415680123306516,"Biomass","10yr","trailing","base1901_1929"
2006,-1636406887676.93,-3557956893983.02,-4879729970203.68,-719226227052.289,1686672488924.52,-0.970198363003102,-2.10945332739239,-2.89311054887436,-0.426417239727965,"Biomass","10yr","trailing","base1901_1929"
2007,-1594846934799.13,-3501597137050.35,-4827937331195.01,-701736760862.256,1686672488924.52,-0.945558159791924,-2.07603856708607,-2.86240355664631,-0.41604802679251,"Biomass","10yr","trailing","base1901_1929"
