"","date","tos","date_tidy"
"319","Jul_1987",-1.58558293306043,1987-07-01
"320","Aug_1987",-1.67268907741926,1987-08-01
"321","Sep_1987",-1.7094651470303,1987-09-01
"322","Oct_1987",-1.72848923530086,1987-10-01
"323","Nov_1987",-1.60743487520382,1987-11-01
"324","Dec_1987",-1.09878218914848,1987-12-01
"325","Jan_1988",0.112309367605129,1988-01-01
"326","Feb_1988",0.648118029104083,1988-02-01
"327","Mar_1988",0.18735790667607,1988-03-01
"328","Apr_1988",-0.484555110567094,1988-04-01
"329","May_1988",-1.01503892829463,1988-05-01
"330","Jun_1988",-1.34527382285874,1988-06-01
"331","Jul_1988",-1.58067010871096,1988-07-01
"332","Aug_1988",-1.61670066327998,1988-08-01
"333","Sep_1988",-1.680297481141,1988-09-01
"334","Oct_1988",-1.67442207615546,1988-10-01
"335","Nov_1988",-1.50447526635167,1988-11-01
"336","Dec_1988",-0.949497129493553,1988-12-01
"337","Jan_1989",0.179066216816408,1989-01-01
"338","Feb_1989",0.674642116653199,1989-02-01
"339","Mar_1989",-0.0861182228436215,1989-03-01
"340","Apr_1989",-0.654275879302405,1989-04-01
"341","May_1989",-1.10763178698626,1989-05-01
"342","Jun_1989",-1.35789805510957,1989-06-01
"343","Jul_1989",-1.48157704037182,1989-07-01
"344","Aug_1989",-1.53411926765762,1989-08-01
"345","Sep_1989",-1.68355199977652,1989-09-01
"346","Oct_1989",-1.74239963855558,1989-10-01
"347","Nov_1989",-1.64272563555272,1989-11-01
"348","Dec_1989",-1.1721971595957,1989-12-01
"349","Jan_1990",-0.11381717658189,1990-01-01
"350","Feb_1990",0.397078009408326,1990-02-01
"351","Mar_1990",0.0850533756380321,1990-03-01
"352","Apr_1990",-0.648660671508001,1990-04-01
"353","May_1990",-1.08473162426605,1990-05-01
"354","Jun_1990",-1.38107077446445,1990-06-01
"355","Jul_1990",-1.54617588192738,1990-07-01
"356","Aug_1990",-1.62984285633935,1990-08-01
"357","Sep_1990",-1.6774356854146,1990-09-01
"358","Oct_1990",-1.65045316765172,1990-10-01
"359","Nov_1990",-1.5382658584274,1990-11-01
"360","Dec_1990",-1.16952925897844,1990-12-01
"361","Jan_1991",-0.167229782500616,1991-01-01
"362","Feb_1991",0.693721332900215,1991-02-01
"363","Mar_1991",-0.0082022943416146,1991-03-01
"364","Apr_1991",-0.499947329770974,1991-04-01
"365","May_1991",-0.968721482400702,1991-05-01
"366","Jun_1991",-1.31230055613755,1991-06-01
"367","Jul_1991",-1.53966438584912,1991-07-01
"368","Aug_1991",-1.6395101899391,1991-08-01
"369","Sep_1991",-1.68556091326538,1991-09-01
"370","Oct_1991",-1.70817998976944,1991-10-01
"371","Nov_1991",-1.6100201483463,1991-11-01
"372","Dec_1991",-0.911880576611085,1991-12-01
"373","Jan_1992",0.61597295245314,1992-01-01
"374","Feb_1992",0.882336822305371,1992-02-01
"375","Mar_1992",0.450190642033148,1992-03-01
"376","Apr_1992",-0.502987273113988,1992-04-01
"377","May_1992",-0.976019179939591,1992-05-01
"378","Jun_1992",-1.29402039732234,1992-06-01
"379","Jul_1992",-1.48204091928896,1992-07-01
"380","Aug_1992",-1.54162308705366,1992-08-01
"381","Sep_1992",-1.57983228892134,1992-09-01
"382","Oct_1992",-1.5711676504394,1992-10-01
"383","Nov_1992",-1.41737617080953,1992-11-01
"384","Dec_1992",-0.8058568823248,1992-12-01
"385","Jan_1993",0.42306874074225,1993-01-01
"386","Feb_1993",0.757292753055317,1993-02-01
"387","Mar_1993",0.233551280132932,1993-03-01
"388","Apr_1993",-0.51401195649335,1993-04-01
"389","May_1993",-1.00441903534832,1993-05-01
"390","Jun_1993",-1.32194171841653,1993-06-01
"391","Jul_1993",-1.51236996338318,1993-07-01
"392","Aug_1993",-1.65750622461976,1993-08-01
"393","Sep_1993",-1.71719344730054,1993-09-01
"394","Oct_1993",-1.69683256820182,1993-10-01
"395","Nov_1993",-1.63354622193298,1993-11-01
"396","Dec_1993",-1.16091224362616,1993-12-01
"397","Jan_1994",-0.318802254789655,1994-01-01
"398","Feb_1994",0.188310905073251,1994-02-01
"399","Mar_1994",-0.0886507083803894,1994-03-01
"400","Apr_1994",-0.702578175152856,1994-04-01
"401","May_1994",-1.1543325378628,1994-05-01
"402","Jun_1994",-1.39267204491506,1994-06-01
"403","Jul_1994",-1.56836095431913,1994-07-01
"404","Aug_1994",-1.64367750395233,1994-08-01
"405","Sep_1994",-1.70468226976373,1994-09-01
"406","Oct_1994",-1.72527214315253,1994-10-01
"407","Nov_1994",-1.60969022890084,1994-11-01
"408","Dec_1994",-0.976929232712806,1994-12-01
"409","Jan_1995",0.0989886490259485,1995-01-01
"410","Feb_1995",0.665983707125926,1995-02-01
"411","Mar_1995",0.13918149990927,1995-03-01
"412","Apr_1995",-0.441804133401638,1995-04-01
"413","May_1995",-0.920162215829465,1995-05-01
"414","Jun_1995",-1.29044436078013,1995-06-01
"415","Jul_1995",-1.42568351684227,1995-07-01
"416","Aug_1995",-1.58539693862194,1995-08-01
"417","Sep_1995",-1.6527523974606,1995-09-01
"418","Oct_1995",-1.69531117843399,1995-10-01
"419","Nov_1995",-1.56502929498265,1995-11-01
"420","Dec_1995",-1.02118785259497,1995-12-01
"421","Jan_1996",0.130316552068133,1996-01-01
"422","Feb_1996",0.475782565116215,1996-02-01
"423","Mar_1996",-0.0335882225432509,1996-03-01
"424","Apr_1996",-0.564485546467256,1996-04-01
"425","May_1996",-1.07645910634382,1996-05-01
