"Year","signal_med","signal_mean","signal_sd","signal_q25","signal_q75","noise","snr_med","snr_mean","snr_sd","snr_q25","snr_q75","metric","window","align","baseline"
1987,-1851327561393.05,-3791827280658.19,5090195921592.55,-4956481915264.5,-882157428588.699,1708886109621.95,-1.08335339082522,-2.21888823328141,2.97866305597079,-2.90041676116204,-0.516217800368133,"Biomass","6yr","trailing","base1841_2010"
1988,-1831242713362.25,-3767311808601.98,5086937652197,-4936516173413.43,-868002576597.406,1708886109621.95,-1.07160020966369,-2.20454235504051,2.9767563932756,-2.88873327813842,-0.507934713559952,"Biomass","6yr","trailing","base1841_2010"
1989,-1816726491144.82,-3750603295990.22,5115718771154.36,-4948908072948.15,-841052918696.66,1708886109621.95,-1.06310565748979,-2.19476492603708,2.993598427859,-2.89598472659069,-0.492164406955548,"Biomass","6yr","trailing","base1841_2010"
1990,-1776871573364.16,-3751296446346.07,5146270267977.66,-4962552585028.49,-826973928094.828,1708886109621.95,-1.03978349602084,-2.19517054133932,3.01147644597342,-2.90396917447374,-0.483925712450068,"Biomass","6yr","trailing","base1841_2010"
1991,-1765827655176.92,-3741043964255.63,5139655884108.21,-4969907781899.92,-822177070389.18,1708886109621.95,-1.03332085458145,-2.1891710297085,3.00760586394212,-2.90827326286794,-0.481118704025903,"Biomass","6yr","trailing","base1841_2010"
1992,-1735539361785.11,-3670979328337.42,5038063204570.1,-4922353845905.7,-794598499165.172,1708886109621.95,-1.015596856931,-2.14817085098172,2.94815621486013,-2.88044581683366,-0.464980372121439,"Biomass","6yr","trailing","base1841_2010"
1993,-1701418452979.04,-3645237973496.64,5015638549160.68,-4891269889612.6,-787808236252.707,1708886109621.95,-0.995630102789844,-2.13310761493816,2.93503383339588,-2.86225621594799,-0.461006869806549,"Biomass","6yr","trailing","base1841_2010"
1994,-1722949241966.12,-3658655015599.88,5041347297299.22,-4909027443735.4,-784207718149.035,1708886109621.95,-1.0082294146257,-2.14095895273517,2.95007798876339,-2.87264751939578,-0.458899931208711,"Biomass","6yr","trailing","base1841_2010"
1995,-1689221197894.53,-3636516029491.25,4998952972424.99,-4916523370747.5,-772230324557.621,1708886109621.95,-0.988492555696547,-2.12800373823375,2.92526982592824,-2.87703395976175,-0.451891041895389,"Biomass","6yr","trailing","base1841_2010"
1996,-1670363482479.77,-3580059146186.04,4908962559749.06,-4872149758520.32,-756612506198.895,1708886109621.95,-0.977457463709675,-2.09496649661342,2.87260955081147,-2.85106756447226,-0.442751861542298,"Biomass","6yr","trailing","base1841_2010"
1997,-1661817630303.81,-3548587093132.29,4865048028042.09,-4832812809563.46,-744721960991.766,1708886109621.95,-0.972456631806463,-2.07654979062199,2.84691179865601,-2.82804850618898,-0.435793793862902,"Biomass","6yr","trailing","base1841_2010"
1998,-1662953376206.8,-3549653111822.97,4871621476296.13,-4849191737623.24,-745572632019.66,1708886109621.95,-0.973121243623828,-2.077173599713,2.85075842612698,-2.83763307005638,-0.436291586561377,"Biomass","6yr","trailing","base1841_2010"
1999,-1658310473643.78,-3539089014214.63,4859240690821.19,-4842149862949.41,-736877399355.578,1708886109621.95,-0.970404326131858,-2.0709917380027,2.84351348136136,-2.83351233045052,-0.4312033407063,"Biomass","6yr","trailing","base1841_2010"
2000,-1629741636481.01,-3516838522914.97,4826885390085.1,-4849162584083.35,-731241185486.871,1708886109621.95,-0.95368651386695,-2.05797127328338,2.82457991957869,-2.83761601008982,-0.427905160776712,"Biomass","6yr","trailing","base1841_2010"
2001,-1616596846955.57,-3482282688688.24,4779910563820.04,-4833137229952.47,-709606700382.348,1708886109621.95,-0.945994491881732,-2.0377500110049,2.79709135495137,-2.82823834937817,-0.415245168409339,"Biomass","6yr","trailing","base1841_2010"
2002,-1620375875039.14,-3464890831380.89,4765587047212.32,-4798262721729.73,-694945589179.449,1708886109621.95,-0.948205890325607,-2.02757270474123,2.78870956957254,-2.80783060656467,-0.406665830605405,"Biomass","6yr","trailing","base1841_2010"
2003,-1640773109165.65,-3504959196567.18,4847316041294.24,-4845547806841.6,-705448183858.584,1708886109621.95,-0.960141872490631,-2.05101977061688,2.83653545663531,-2.8355007273794,-0.412811702246586,"Biomass","6yr","trailing","base1841_2010"
2004,-1618553337724.43,-3496434674224.67,4842221412323.84,-4821952447945.71,-696458710209.941,1708886109621.95,-0.947139384310691,-2.04603142043104,2.83355419946334,-2.82169327774128,-0.407551273480721,"Biomass","6yr","trailing","base1841_2010"
2005,-1621828059163.1,-3528620525446.63,4910155654513.24,-4823592880033.19,-701116228173.852,1708886109621.95,-0.949055674354968,-2.06486582433937,2.87330772183495,-2.8226532200559,-0.410276743561896,"Biomass","6yr","trailing","base1841_2010"
2006,-1636406887676.93,-3557956893983.02,4954222858935.91,-4879729970203.68,-719226227052.289,1708886109621.95,-0.957586862262547,-2.08203277793049,2.89909481447649,-2.85550332624753,-0.420874289399778,"Biomass","6yr","trailing","base1841_2010"
2007,-1594846934799.13,-3501597137050.35,4862933199997.42,-4827937331195.01,-701736760862.256,1708886109621.95,-0.93326695431561,-2.04905237238133,2.84567425097347,-2.82519549080019,-0.410639864711346,"Biomass","6yr","trailing","base1841_2010"
2008,-1586900755979.62,-3469931235273.21,4822633793915.03,-4804012107655.21,-696935095255.066,1708886109621.95,-0.928617037170886,-2.03052223067156,2.82209198539388,-2.81119501212283,-0.407830042816163,"Biomass","6yr","trailing","base1841_2010"
2009,-1586672767587.83,-3467815661631.21,4821648869451.37,-4791275310270.86,-698704449433.957,1708886109621.95,-0.928483623720743,-2.02928424668299,2.82151563073916,-2.80374173755255,-0.408865427309564,"Biomass","6yr","trailing","base1841_2010"
2010,-1572819038977.96,-3509872210864.08,4907939389406.08,-4813825005295.97,-703384445032.408,1708886109621.95,-0.92037674724029,-2.05389475114907,2.87201081556678,-2.81693728926201,-0.411604050774346,"Biomass","6yr","trailing","base1841_2010"
1900,0,-2.64869545990566e-05,0.0125686384150272,-0.00390625,0.002197265625,493359523705.632,0,-5.36869226727653e-17,2.5475617295525e-14,-7.91765398721826e-15,4.45368036781027e-15,"Biomass variability","6yr","trailing","base1841_2010"
1901,0,0.000594229068396226,0.0139939759973979,-0.004150390625,0.0028076171875,493359523705.632,0,1.20445443909334e-15,2.83646617223255e-14,-8.4125073614194e-15,5.69081380331313e-15,"Biomass variability","6yr","trailing","base1841_2010"
1902,0,-0.000165831367924528,0.0163406201692454,-0.00390625,0.002197265625,493359523705.632,0,-3.36126820212096e-16,3.31211203677811e-14,-7.91765398721826e-15,4.45368036781027e-15,"Biomass variability","6yr","trailing","base1841_2010"
1903,0,0.00048828125,0.0153272931860001,-0.00390625,0.0023193359375,493359523705.632,0,9.89706748402283e-16,3.10671882258937e-14,-7.91765398721826e-15,4.70110705491084e-15,"Biomass variability","6yr","trailing","base1841_2010"
1904,0,-0.000340875589622641,0.0117601470037723,-0.0020751953125,0.0015869140625,493359523705.632,0,-6.90927352658197e-16,2.38368703525608e-14,-4.2062536807097e-15,3.21654693230742e-15,"Biomass variability","6yr","trailing","base1841_2010"
1905,0,-0.000808427918632075,0.0118504629985153,-0.003662109375,0.0009765625,493359523705.632,0,-1.63861824853397e-15,2.40199335963077e-14,-7.42280061301712e-15,1.97941349680457e-15,"Biomass variability","6yr","trailing","base1841_2010"
1906,0,-0.000699025280070755,0.0134866159157569,-0.003173828125,0.00146484375,493359523705.632,0,-1.41686791575515e-15,2.73362837195454e-14,-6.43309386461484e-15,2.96912024520685e-15,"Biomass variability","6yr","trailing","base1841_2010"
1907,0,-0.000511313384433962,0.0141499795337846,-0.00347900390625,0.0025634765625,493359523705.632,0,-1.0363910289873e-15,2.86808683199299e-14,-7.05166058236626e-15,5.19596042911198e-15,"Biomass variability","6yr","trailing","base1841_2010"
1908,0,0.000163528154481132,0.0118965875739468,-0.00244140625,0.00244140625,493359523705.632,0,3.31458392153595e-16,2.41134243940227e-14,-4.94853374201141e-15,4.94853374201141e-15,"Biomass variability","6yr","trailing","base1841_2010"
1909,0,0.000308054798054245,0.0109951404009983,-0.0037841796875,0.003173828125,493359523705.632,0,6.24402252824553e-16,2.22862636124131e-14,-7.67022730011769e-15,6.43309386461484e-15,"Biomass variability","6yr","trailing","base1841_2010"
1910,0,0.000307478994693396,0.0110633785337564,-0.00244140625,0.0028076171875,493359523705.632,0,6.23235145809928e-16,2.24245768089348e-14,-4.94853374201141e-15,5.69081380331313e-15,"Biomass variability","6yr","trailing","base1841_2010"
1911,0,0.000621867629716981,0.0112018140665428,-0.0029296875,0.00189208984375,493359523705.632,0,1.26047557579536e-15,2.27051744788584e-14,-5.9382404904137e-15,3.83511365005885e-15,"Biomass variability","6yr","trailing","base1841_2010"
1912,0,0.000387515661851415,0.00975855907958955,-0.0032958984375,0.003662109375,493359523705.632,0,7.85463020842849e-16,1.97798129167404e-14,-6.68052055171541e-15,7.42280061301712e-15,"Biomass variability","6yr","trailing","base1841_2010"
1913,0,-0.000318995061910377,0.00883316250784403,-0.0032958984375,0.003173828125,493359523705.632,0,-6.46577286102435e-16,1.79041086335944e-14,-6.68052055171541e-15,6.43309386461484e-15,"Biomass variability","6yr","trailing","base1841_2010"
1914,0,-0.000753726599351415,0.0113997546855696,-0.003082275390625,0.001953125,493359523705.632,0,-1.52774308214456e-15,2.31063841637145e-14,-6.24752384928941e-15,3.95882699360913e-15,"Biomass variability","6yr","trailing","base1841_2010"
1915,0,-0.00078712319428066,0.0125073172782953,-0.00262451171875,0.003082275390625,493359523705.632,0,-1.59543528899283e-15,2.53513242925821e-14,-5.31967377266227e-15,6.24752384928941e-15,"Biomass variability","6yr","trailing","base1841_2010"
1916,0,-0.000711117150648585,0.0127072017303568,-0.002716064453125,0.002227783203125,493359523705.632,0,-1.44137716306229e-15,2.57564739703671e-14,-5.5052437879877e-15,4.51553703958541e-15,"Biomass variability","6yr","trailing","base1841_2010"
1917,0,-0.000978577811762972,0.0116387394199563,-0.004150390625,0.00299072265625,493359523705.632,0,-1.98349837135575e-15,2.35907869631005e-14,-8.4125073614194e-15,6.06195383396398e-15,"Biomass variability","6yr","trailing","base1841_2010"
