"sim_index","valid_sim_index","rmse","cor_raw","cor_log","rank","pass_corr"
373,373,1.65718948812201,0.96027320016381,0.921922977819901,36,TRUE
55,55,1.65906463650839,0.830645950192603,0.921559902099428,37,TRUE
335,335,1.65913786108362,0.623604035248789,0.918914831307401,38,TRUE
1101,1101,1.65983573557674,0.559719741380377,0.91871080995462,39,TRUE
1653,1653,1.65988577038674,0.559738011616211,0.918706379318876,40,TRUE
1436,1436,1.66445535464604,0.427646522197467,0.918521082139674,41,TRUE
1569,1569,1.66584169273599,0.560202585840565,0.918650031050785,42,TRUE
812,812,1.66962505749389,0.638759007758914,0.918793587812592,43,TRUE
315,315,1.66996380525449,0.96260387204383,0.919207424542408,44,TRUE
365,365,1.67024882293844,0.820789274859878,0.919311879009867,45,TRUE
1414,1414,1.67024882293844,0.820789274859878,0.919311879009867,46,TRUE
43,43,1.6703843289013,0.54271897353207,0.919537172352777,47,TRUE
1315,1315,1.67072469322023,0.931275959489544,0.921258751259444,48,TRUE
1639,1639,1.67470294593179,0.259460677565859,0.920941251517448,49,TRUE
1087,1087,1.6747178905676,0.260542687939911,0.920927509858859,50,TRUE
620,620,1.67472731640154,0.95266127601682,0.917419489243215,51,TRUE
1805,1805,1.67484161421558,0.71801187654874,0.92940094733779,52,TRUE
163,163,1.67506703225332,0.120939933955202,0.917398239148576,53,TRUE
2098,2098,1.67740092680891,-0.00268293078219958,0.917714887633853,54,TRUE
2101,2101,1.67740092680891,-0.00268293078219958,0.917714887633853,55,TRUE
2106,2106,1.67740092680891,-0.00268293078219958,0.917714887633853,56,TRUE
757,757,1.67962426550436,0.73393590297485,0.916717021499965,57,TRUE
398,398,1.67988234152074,0.205150908370561,0.916864410639053,58,TRUE
1381,1381,1.67989723147054,0.526596840163459,0.916747916460358,59,TRUE
470,470,1.68104908140387,0.512248222436458,0.916636232080168,60,TRUE
1502,1502,1.68111593944783,0.682934705274009,0.917052871389399,61,TRUE
1500,1500,1.68132687023561,0.604806635311619,0.917627654088699,62,TRUE
348,348,1.68194841433079,0.817727641383651,0.917063495833671,63,TRUE
1769,1769,1.6829313595947,0.241922263704188,0.921775910728437,64,TRUE
1832,1832,1.68386633893099,0.965239816522059,0.930803660824591,65,TRUE
723,723,1.68475885636133,0.729249768304455,0.921876884667288,66,TRUE
323,323,1.68481181589971,0.785088355234677,0.916822407681978,67,TRUE
1003,1003,1.684876339932,0.228264759018974,0.9169231854521,68,TRUE
744,744,1.68506743582556,0.14804191777103,0.916368594646833,69,TRUE
1356,1356,1.68566545997915,0.948029816135815,0.917083758123462,70,TRUE
141,141,1.68590794212027,0.772393985446286,0.917851793364519,71,TRUE
822,822,1.68694444658504,0.55929645676188,0.916073405455108,72,TRUE
1887,1887,1.68802484060727,0.523907072581392,0.923247355286098,73,TRUE
568,568,1.6887087300593,0.94350814664597,0.915731256899117,74,TRUE
517,517,1.69015357960704,0.110752134842685,0.915981299698453,75,TRUE
26,26,1.69041496767365,0.419562532386089,0.91927013897996,76,TRUE
797,797,1.69130526997336,0.276330590578788,0.918947747007428,77,TRUE
1866,1866,1.69230718958648,0.477657402260768,0.919187893116698,78,TRUE
284,284,1.69327898448882,0.83132507770163,0.920732621345376,79,TRUE
534,534,1.69451358820636,0.343593052838838,0.915789811428139,80,TRUE
1507,1507,1.69453534168489,0.546475603807169,0.917978659629764,81,TRUE
1562,1562,1.69558134023662,0.496205096672563,0.915242621593892,82,TRUE
1296,1296,1.69686572434743,0.0449435495877041,0.91765384510647,83,TRUE
1802,1802,1.69715861838193,0.865508143181252,0.93049929601033,84,TRUE
263,263,1.69737145931066,0.24483285376566,0.915770452130712,85,TRUE
599,599,1.69802421686238,0.386290362538929,0.914790058012257,86,TRUE
810,810,1.69975194354618,0.482837819303164,0.914834819476199,87,TRUE
1757,1757,1.69996849505869,0.978420637417782,0.914932226304917,88,TRUE
1396,1396,1.70163375338823,0.714741274550837,0.914550429133065,89,TRUE
576,576,1.70191327896767,0.128844952008317,0.914483880222733,90,TRUE
1761,1761,1.70427057488336,0.71271701684618,0.916348411969365,91,TRUE
792,792,1.70458836562992,0.763010930184283,0.914170983275077,92,TRUE
1452,1452,1.70528170760469,0.868426520394643,0.915497689609096,93,TRUE
1057,1057,1.7057499142603,0.678484513385126,0.914079426590058,94,TRUE
729,729,1.70591113636699,0.42078847960221,0.914173812083017,95,TRUE
849,849,1.70630629771676,0.156157576097293,0.917327468784039,96,TRUE
1582,1582,1.7065547132664,0.55749361000162,0.915690468104527,97,TRUE
366,366,1.70699958612865,0.0499918017255098,0.91445325170048,98,TRUE
435,435,1.70914731423012,0.980265986546394,0.914646212987934,99,TRUE
453,453,1.70922570826121,0.0827512975066289,0.917099833785546,100,TRUE
2081,2081,1.70981280421434,0.010951353929057,0.915285820949509,101,TRUE
2084,2084,1.70981280421434,0.010951353929057,0.915285820949509,102,TRUE
2087,2087,1.70981280421434,0.010951353929057,0.915285820949509,103,TRUE
2090,2090,1.70981280421434,0.010951353929057,0.915285820949509,104,TRUE
2092,2092,1.70981280421434,0.010951353929057,0.915285820949509,105,TRUE
2094,2094,1.70981280421434,0.010951353929057,0.915285820949509,106,TRUE
2110,2110,1.70981280421434,0.010951353929057,0.915285820949509,107,TRUE
