"time","median","q05","q25","q75","q95"
13870,4.38956543048615,3.0045142152964,3.62140504317663,5.34529430170802,7.49597054706193
14235,4.62459291590126,3.16706977232964,3.82063229787314,5.59673224282761,7.80475694149842
14600,4.4988555179921,3.06946609724726,3.72510188166302,5.47080475165652,7.61615302163605
14965,4.66222274926093,3.21952904238731,3.87347715681461,5.60984535162935,7.74184325607223
15330,4.70780693276872,3.26645447462849,3.93522350757286,5.64728949946459,7.70250921420877
15695,4.62688674536429,3.21635475613919,3.86953227174715,5.53880276811374,7.56791182869123
16060,4.42377485952324,3.06103412387265,3.68362012986484,5.33904533189538,7.37298112719629
16425,4.49220358254066,3.09209876649714,3.72595780227023,5.42411588624465,7.48768634238365
16790,4.38013086485284,2.99698935155872,3.62400042359529,5.33449518289972,7.4278084065996
17155,4.54348457815532,3.11569720148988,3.74719427798493,5.49947216428175,7.66469831040252
17520,4.5477382369918,3.10628174083925,3.75843017932232,5.48702523622708,7.61384475412982
17885,4.51477327647791,3.11381457467559,3.74515139404113,5.43630901933886,7.5293046699957
18250,4.56444579689335,3.15188361794514,3.78065941065444,5.48137937030305,7.5442054540203
18615,4.65511402415157,3.22018477464184,3.87566501980758,5.58077231853771,7.62196775207209
18980,4.63047003996093,3.21450992470128,3.85655631221513,5.52743857802691,7.5305001732469
19345,4.53785799177151,3.14852378768459,3.78789450260306,5.43700184451057,7.42949844981844
19710,4.55353582789916,3.14684633066942,3.78979866703706,5.47830451283618,7.48781643244437
20075,4.51256072672412,3.10755494644941,3.75641659382326,5.4419026241765,7.48160768277233
20440,4.47113721330418,3.07544940003295,3.70674504009207,5.40419198645874,7.46646825600835
20805,4.42911070826076,3.04199316983839,3.66653096821672,5.37366836208972,7.481996183578
21170,4.38335095172335,2.99432781248314,3.6145761868083,5.32933288514358,7.47109965213481
21535,4.61875682208767,3.15706371174767,3.8186146890098,5.57871882894689,7.77111743512481
21900,4.49216816927484,3.06230184202681,3.72019742015563,5.43958518108143,7.5948266422664
22265,4.65776242380793,3.21490593811374,3.87242265808861,5.58668707058018,7.73689721830907
22630,4.70532319730167,3.26226104149495,3.93336180721261,5.62407585540431,7.67828786515264
22995,4.61483128724347,3.21198770681679,3.86071154926576,5.52052629612745,7.51804992602835
23360,4.41615642190203,3.05152379736937,3.67667027583522,5.32058129544086,7.3130535315265
23725,4.48498634104722,3.08060485862913,3.71812986072645,5.41131996812024,7.46512117255325
24090,4.37233124119208,2.98459972526751,3.6125182809428,5.3173775078242,7.42421230097501
24455,4.53514881988212,3.10701160104106,3.74380781207646,5.47397552930811,7.63758659603129
24820,4.54412526994759,3.10207627277575,3.75158727945941,5.47114122344597,7.59140978677477
25185,4.50128518770235,3.10829835084638,3.73544352125928,5.42004498766933,7.51030181219013
25550,4.5557583612974,3.14586627808682,3.77411370373824,5.46439562414583,7.52539708274848
25915,4.64468283899009,3.21529033296262,3.8731021729291,5.56180191454462,7.60897102736326
26280,4.62034596107975,3.20802772625702,3.85517506415411,5.51158814281792,7.53252346645912
26645,4.53453728032876,3.13956850069883,3.78633392867981,5.42201295479976,7.40727017582579
27010,4.54331865098671,3.13550107874946,3.78922945008802,5.46536009742918,7.4639027390406
27375,4.50671412886599,3.09611664375407,3.74568814139087,5.4307571703799,7.45854047982947
27740,4.46321458728472,3.06520387051455,3.70229499372125,5.3905798474922,7.4623779968465
28105,4.42549032582111,3.03240085422928,3.65985410653764,5.36228453627924,7.48906159271586
28470,4.37532889166289,2.98549308685434,3.60662455080516,5.32232696943443,7.48774012881908
28835,4.60544587954134,3.15104780439319,3.81741538380607,5.56724998601555,7.80500049539006
29200,4.48705399871811,3.05812016286729,3.7171348277527,5.43444679361934,7.59314838727432
29565,4.65247549701786,3.2109844887193,3.86819096843733,5.5711693087284,7.73961427515573
29930,4.69213794043343,3.25102529311078,3.92215973316228,5.60167786105188,7.68027168827969
30295,4.61002125373751,3.20773207502866,3.85546881385859,5.51362313447343,7.54926021196593
30660,4.41226295530427,3.04377612307809,3.66856441769752,5.30623653465231,7.34329927504479
31025,4.47509832094068,3.07328611179946,3.71555183541382,5.40428698580691,7.50555879306371
31390,4.35951233764054,2.97792948851645,3.60519825487359,5.30799296779764,7.4402679096306
31755,4.52468200183884,3.09536325666954,3.73287557135399,5.46974947407886,7.67922828959398
32120,4.53476556387743,3.09750507134625,3.74493178160347,5.46511978510017,7.64227510483146
32485,4.49786100233223,3.0970749269446,3.73244074809069,5.41748335174275,7.56490145324006
32850,4.54715537689543,3.13436240001732,3.77148155753835,5.45979930039043,7.63137462607006
33215,4.6376090803079,3.20861786165838,3.86240023454076,5.5535044633061,7.71478902737276
33580,4.61624621111501,3.19625683120062,3.84829155294116,5.50632801985732,7.62434049893722
33945,4.52889889023216,3.13597294312029,3.77296779277232,5.41157931361003,7.52551191543427
