"year","median","q05","q25","q75","q95"
1893,4.58036634444367,3.17385093664948,3.84226263184966,5.44642351005899,7.6035438466109
1894,4.49780709230895,3.10117175635454,3.75912973445687,5.36515532986617,7.4953392344902
1895,4.51536668817993,3.10961585650773,3.75879990748439,5.39077304425334,7.55417349338799
1896,4.47262937813188,3.07545428752703,3.72314838119309,5.35716748342406,7.54183759883916
1897,4.4279186360617,3.0436098133694,3.68073663756635,5.3255920544462,7.53838256869128
1898,4.38441804744607,2.99688709758805,3.63683643576304,5.30260635816627,7.54084876346682
1899,4.33615434351183,2.95326520528376,3.58327261002619,5.26020371102783,7.52063852329325
1900,4.57136532952308,3.13206194354782,3.79692045531028,5.49035746559549,7.80013496963738
1901,4.44773774753589,3.03821957648359,3.69907417266432,5.36089861672345,7.63246368546636
1902,4.60970538809071,3.19196177170155,3.84963208854694,5.50414628555546,7.76092800039943
1903,4.66426587424656,3.22825932115244,3.90634363119295,5.54817049412538,7.73680847163348
1904,4.56878887040144,3.16425594085633,3.8319608414923,5.43762364403538,7.58851578853364
1905,4.36576913207815,3.01224656909333,3.6548559833095,5.25436086524834,7.38209046734933
1906,4.44679319941669,3.05819602709168,3.69022685582409,5.33049279323722,7.51535431953771
1907,4.32964059420357,2.96192675994206,3.58483110354827,5.24102801164736,7.45933086979782
1908,4.48012848896351,3.06433842975904,3.71694372453242,5.38774329145804,7.6657184642499
1909,4.48073082784876,3.07129126770649,3.73228931069342,5.38897822271863,7.6075133306597
1910,4.46234962353265,3.06791376805959,3.71622904621046,5.33414861148066,7.552309266082
1911,4.50219352614582,3.09513546699802,3.75411107421167,5.37898899205903,7.58423784214458
1912,4.59711319036513,3.18078586219055,3.85052875599072,5.48457009437056,7.66361035936453
1913,4.57134241393083,3.1677220050024,3.83532898132134,5.4224654823395,7.58899699445479
1914,4.4891464379045,3.10070390556579,3.7539057057394,5.35232917691095,7.46726279334972
1915,4.50290824053196,3.10815204165066,3.75571146065797,5.37989123876096,7.52976172974528
1916,4.45604479757444,3.07430728388549,3.72081810539368,5.34471406298386,7.50673955111251
