"Year","Species","min_yield_t","median_yield_t","max_yield_t","q05_yield_t","q95_yield_t","ObsYield_t"
1865,"shelf and coastal fishes",0,0,0,0,0,NA
1865,"sperm whales",0,0,0,0,0,NA
1865,"squids",0,0,0,0,0,NA
1865,"toothfishes",0,0,0,0,0,NA
1866,"antarctic krill",0,0,0,0,0,NA
1866,"baleen whales",0,0,0,0,0,NA
1866,"bathypelagic fishes",0,0,0,0,0,NA
1866,"minke whales",0,0,0,0,0,NA
1866,"orca",0,0,0,0,0,NA
1866,"shelf and coastal fishes",0,0,0,0,0,NA
1866,"sperm whales",0,0,0,0,0,NA
1866,"squids",0,0,0,0,0,NA
1866,"toothfishes",0,0,0,0,0,NA
1867,"antarctic krill",0,0,0,0,0,NA
1867,"baleen whales",0,0,0,0,0,NA
1867,"bathypelagic fishes",0,0,0,0,0,NA
1867,"minke whales",0,0,0,0,0,NA
1867,"orca",0,0,0,0,0,NA
1867,"shelf and coastal fishes",0,0,0,0,0,NA
1867,"sperm whales",0,0,0,0,0,NA
1867,"squids",0,0,0,0,0,NA
1867,"toothfishes",0,0,0,0,0,NA
1868,"antarctic krill",0,0,0,0,0,NA
1868,"baleen whales",0,0,0,0,0,NA
1868,"bathypelagic fishes",0,0,0,0,0,NA
1868,"minke whales",0,0,0,0,0,NA
1868,"orca",0,0,0,0,0,NA
1868,"shelf and coastal fishes",0,0,0,0,0,NA
1868,"sperm whales",0,0,0,0,0,NA
1868,"squids",0,0,0,0,0,NA
1868,"toothfishes",0,0,0,0,0,NA
1869,"antarctic krill",0,0,0,0,0,NA
1869,"baleen whales",0,0,0,0,0,NA
1869,"bathypelagic fishes",0,0,0,0,0,NA
1869,"minke whales",0,0,0,0,0,NA
1869,"orca",0,0,0,0,0,NA
1869,"shelf and coastal fishes",0,0,0,0,0,NA
1869,"sperm whales",0,0,0,0,0,NA
1869,"squids",0,0,0,0,0,NA
1869,"toothfishes",0,0,0,0,0,NA
1870,"antarctic krill",0,0,0,0,0,NA
1870,"baleen whales",0,0,0,0,0,NA
1870,"bathypelagic fishes",0,0,0,0,0,NA
1870,"minke whales",0,0,0,0,0,NA
1870,"orca",0,0,0,0,0,NA
1870,"shelf and coastal fishes",0,0,0,0,0,NA
1870,"sperm whales",0,0,0,0,0,NA
1870,"squids",0,0,0,0,0,NA
1870,"toothfishes",0,0,0,0,0,NA
1871,"antarctic krill",0,0,0,0,0,NA
1871,"baleen whales",0,0,0,0,0,NA
1871,"bathypelagic fishes",0,0,0,0,0,NA
1871,"minke whales",0,0,0,0,0,NA
1871,"orca",0,0,0,0,0,NA
1871,"shelf and coastal fishes",0,0,0,0,0,NA
1871,"sperm whales",0,0,0,0,0,NA
1871,"squids",0,0,0,0,0,NA
1871,"toothfishes",0,0,0,0,0,NA
1872,"antarctic krill",0,0,0,0,0,NA
1872,"baleen whales",0,0,0,0,0,NA
1872,"bathypelagic fishes",0,0,0,0,0,NA
1872,"minke whales",0,0,0,0,0,NA
1872,"orca",0,0,0,0,0,NA
1872,"shelf and coastal fishes",0,0,0,0,0,NA
1872,"sperm whales",0,0,0,0,0,NA
1872,"squids",0,0,0,0,0,NA
1872,"toothfishes",0,0,0,0,0,NA
1873,"antarctic krill",0,0,0,0,0,NA
1873,"baleen whales",0,0,0,0,0,NA
1873,"bathypelagic fishes",0,0,0,0,0,NA
1873,"minke whales",0,0,0,0,0,NA
1873,"orca",0,0,0,0,0,NA
1873,"shelf and coastal fishes",0,0,0,0,0,NA
1873,"sperm whales",0,0,0,0,0,NA
1873,"squids",0,0,0,0,0,NA
1873,"toothfishes",0,0,0,0,0,NA
1874,"antarctic krill",0,0,0,0,0,NA
1874,"baleen whales",0,0,0,0,0,NA
1874,"bathypelagic fishes",0,0,0,0,0,NA
1874,"minke whales",0,0,0,0,0,NA
1874,"orca",0,0,0,0,0,NA
1874,"shelf and coastal fishes",0,0,0,0,0,NA
1874,"sperm whales",0,0,0,0,0,NA
1874,"squids",0,0,0,0,0,NA
1874,"toothfishes",0,0,0,0,0,NA
1875,"antarctic krill",0,0,0,0,0,NA
1875,"baleen whales",0,0,0,0,0,NA
1875,"bathypelagic fishes",0,0,0,0,0,NA
1875,"minke whales",0,0,0,0,0,NA
1875,"orca",0,0,0,0,0,NA
1875,"shelf and coastal fishes",0,0,0,0,0,NA
1875,"sperm whales",0,0,0,0,0,NA
1875,"squids",0,0,0,0,0,NA
1875,"toothfishes",0,0,0,0,0,NA
1876,"antarctic krill",0,0,0,0,0,NA
1876,"baleen whales",0,0,0,0,0,NA
1876,"bathypelagic fishes",0,0,0,0,0,NA
1876,"minke whales",0,0,0,0,0,NA
1876,"orca",0,0,0,0,0,NA
1876,"shelf and coastal fishes",0,0,0,0,0,NA
1876,"sperm whales",0,0,0,0,0,NA
1876,"squids",0,0,0,0,0,NA
1876,"toothfishes",0,0,0,0,0,NA
1877,"antarctic krill",0,0,0,0,0,NA
1877,"baleen whales",0,0,0,0,0,NA
1877,"bathypelagic fishes",0,0,0,0,0,NA
1877,"minke whales",0,0,0,0,0,NA
1877,"orca",0,0,0,0,0,NA
1877,"shelf and coastal fishes",0,0,0,0,0,NA
1877,"sperm whales",0,0,0,0,0,NA
1877,"squids",0,0,0,0,0,NA
1877,"toothfishes",0,0,0,0,0,NA
1878,"antarctic krill",0,0,0,0,0,NA
1878,"baleen whales",0,0,0,0,0,NA
1878,"bathypelagic fishes",0,0,0,0,0,NA
1878,"minke whales",0,0,0,0,0,NA
1878,"orca",0,0,0,0,0,NA
1878,"shelf and coastal fishes",0,0,0,0,0,NA
1878,"sperm whales",0,0,0,0,0,NA
1878,"squids",0,0,0,0,0,NA
1878,"toothfishes",0,0,0,0,0,NA
1879,"antarctic krill",0,0,0,0,0,NA
1879,"baleen whales",0,0,0,0,0,NA
1879,"bathypelagic fishes",0,0,0,0,0,NA
1879,"minke whales",0,0,0,0,0,NA
1879,"orca",0,0,0,0,0,NA
1879,"shelf and coastal fishes",0,0,0,0,0,NA
1879,"sperm whales",0,0,0,0,0,NA
1879,"squids",0,0,0,0,0,NA
1879,"toothfishes",0,0,0,0,0,NA
1880,"antarctic krill",0,0,0,0,0,NA
1880,"baleen whales",0,0,0,0,0,NA
1880,"bathypelagic fishes",0,0,0,0,0,NA
1880,"minke whales",0,0,0,0,0,NA
1880,"orca",0,0,0,0,0,NA
1880,"shelf and coastal fishes",0,0,0,0,0,NA
1880,"sperm whales",0,0,0,0,0,NA
1880,"squids",0,0,0,0,0,NA
1880,"toothfishes",0,0,0,0,0,NA
1881,"antarctic krill",0,0,0,0,0,NA
1881,"baleen whales",0,0,0,0,0,NA
1881,"bathypelagic fishes",0,0,0,0,0,NA
1881,"minke whales",0,0,0,0,0,NA
1881,"orca",0,0,0,0,0,NA
1881,"shelf and coastal fishes",0,0,0,0,0,NA
1881,"sperm whales",0,0,0,0,0,NA
1881,"squids",0,0,0,0,0,NA
1881,"toothfishes",0,0,0,0,0,NA
1882,"antarctic krill",0,0,0,0,0,NA
1882,"baleen whales",0,0,0,0,0,NA
1882,"bathypelagic fishes",0,0,0,0,0,NA
1882,"minke whales",0,0,0,0,0,NA
1882,"orca",0,0,0,0,0,NA
1882,"shelf and coastal fishes",0,0,0,0,0,NA
1882,"sperm whales",0,0,0,0,0,NA
1882,"squids",0,0,0,0,0,NA
1882,"toothfishes",0,0,0,0,0,NA
1883,"antarctic krill",0,0,0,0,0,NA
1883,"baleen whales",0,0,0,0,0,NA
1883,"bathypelagic fishes",0,0,0,0,0,NA
1883,"minke whales",0,0,0,0,0,NA
1883,"orca",0,0,0,0,0,NA
1883,"shelf and coastal fishes",0,0,0,0,0,NA
1883,"sperm whales",0,0,0,0,0,NA
1883,"squids",0,0,0,0,0,NA
1883,"toothfishes",0,0,0,0,0,NA
1884,"antarctic krill",0,0,0,0,0,NA
1884,"baleen whales",0,0,0,0,0,NA
1884,"bathypelagic fishes",0,0,0,0,0,NA
1884,"minke whales",0,0,0,0,0,NA
1884,"orca",0,0,0,0,0,NA
1884,"shelf and coastal fishes",0,0,0,0,0,NA
1884,"sperm whales",0,0,0,0,0,NA
1884,"squids",0,0,0,0,0,NA
1884,"toothfishes",0,0,0,0,0,NA
1885,"antarctic krill",0,0,0,0,0,NA
1885,"baleen whales",0,0,0,0,0,NA
1885,"bathypelagic fishes",0,0,0,0,0,NA
1885,"minke whales",0,0,0,0,0,NA
1885,"orca",0,0,0,0,0,NA
1885,"shelf and coastal fishes",0,0,0,0,0,NA
1885,"sperm whales",0,0,0,0,0,NA
1885,"squids",0,0,0,0,0,NA
1885,"toothfishes",0,0,0,0,0,NA
1886,"antarctic krill",0,0,0,0,0,NA
1886,"baleen whales",0,0,0,0,0,NA
1886,"bathypelagic fishes",0,0,0,0,0,NA
1886,"minke whales",0,0,0,0,0,NA
1886,"orca",0,0,0,0,0,NA
1886,"shelf and coastal fishes",0,0,0,0,0,NA
1886,"sperm whales",0,0,0,0,0,NA
1886,"squids",0,0,0,0,0,NA
1886,"toothfishes",0,0,0,0,0,NA
1887,"antarctic krill",0,0,0,0,0,NA
1887,"baleen whales",0,0,0,0,0,NA
1887,"bathypelagic fishes",0,0,0,0,0,NA
1887,"minke whales",0,0,0,0,0,NA
1887,"orca",0,0,0,0,0,NA
1887,"shelf and coastal fishes",0,0,0,0,0,NA
1887,"sperm whales",0,0,0,0,0,NA
1887,"squids",0,0,0,0,0,NA
1887,"toothfishes",0,0,0,0,0,NA
1888,"antarctic krill",0,0,0,0,0,NA
1888,"baleen whales",0,0,0,0,0,NA
1888,"bathypelagic fishes",0,0,0,0,0,NA
1888,"minke whales",0,0,0,0,0,NA
1888,"orca",0,0,0,0,0,NA
1888,"shelf and coastal fishes",0,0,0,0,0,NA
1888,"sperm whales",0,0,0,0,0,NA
1888,"squids",0,0,0,0,0,NA
1888,"toothfishes",0,0,0,0,0,NA
1889,"antarctic krill",0,0,0,0,0,NA
1889,"baleen whales",0,0,0,0,0,NA
1889,"bathypelagic fishes",0,0,0,0,0,NA
1889,"minke whales",0,0,0,0,0,NA
1889,"orca",0,0,0,0,0,NA
1889,"shelf and coastal fishes",0,0,0,0,0,NA
1889,"sperm whales",0,0,0,0,0,NA
1889,"squids",0,0,0,0,0,NA
1889,"toothfishes",0,0,0,0,0,NA
1890,"antarctic krill",0,0,0,0,0,NA
1890,"baleen whales",0,0,0,0,0,NA
1890,"bathypelagic fishes",0,0,0,0,0,NA
1890,"minke whales",0,0,0,0,0,NA
1890,"orca",0,0,0,0,0,NA
1890,"shelf and coastal fishes",0,0,0,0,0,NA
1890,"sperm whales",0,0,0,0,0,NA
1890,"squids",0,0,0,0,0,NA
1890,"toothfishes",0,0,0,0,0,NA
1891,"antarctic krill",0,0,0,0,0,NA
1891,"baleen whales",0,0,0,0,0,NA
1891,"bathypelagic fishes",0,0,0,0,0,NA
1891,"minke whales",0,0,0,0,0,NA
1891,"orca",0,0,0,0,0,NA
1891,"shelf and coastal fishes",0,0,0,0,0,NA
1891,"sperm whales",0,0,0,0,0,NA
1891,"squids",0,0,0,0,0,NA
1891,"toothfishes",0,0,0,0,0,NA
1892,"antarctic krill",0,0,0,0,0,NA
1892,"baleen whales",0,0,0,0,0,NA
1892,"bathypelagic fishes",0,0,0,0,0,NA
1892,"minke whales",0,0,0,0,0,NA
1892,"orca",0,0,0,0,0,NA
1892,"shelf and coastal fishes",0,0,0,0,0,NA
1892,"sperm whales",0,0,0,0,0,NA
1892,"squids",0,0,0,0,0,NA
