"sim_id","species","gamma","catchability","abundance_scaling"
3,"flying birds",3.45313274214385e-10,0,0.5
3,"small divers",6.00760081401093e-11,0,0.5
3,"squids",2.76747526926761e-09,5.68999675055037e-05,0.5
3,"toothfishes",8.33607185507934e-11,0.000942897806052681,116.013279356592
3,"leopard seals",1.11449933751632e-09,0,1.59048168706363
3,"medium divers",3.02726622106308e-10,0,40.8569002769427
3,"large divers",6.3798214799565e-11,0,18.2773549623039
3,"minke whales",5.4595654501122e-10,0.305198083941512,83.4015575299087
3,"orca",3.34791440779851e-09,0.124082598588233,0.5
3,"sperm whales",1.09131047338419e-10,1,10.2378773869192
3,"baleen whales",3.11919162271451e-09,0.027542151840478,0.5
4,"mesozooplankton",4.96367733251556e-13,0,0.5
4,"other krill",1.03056749628583e-12,0,8.26728767523851
4,"other macrozooplankton",1.92035243438608e-12,0,19.6412119931484
4,"antarctic krill",8.78072827327537e-12,0.0406054522453988,0.5
4,"salps",7.32918782922745e-12,0,0.5
4,"mesopelagic fishes",6.78014843856141e-12,0,8.36503936635091
4,"bathypelagic fishes",6.48381724389891e-11,0.00174850734410599,1.03545915129997
4,"shelf and coastal fishes",1.40391721672775e-09,1.09784613611383e-05,0.5
4,"flying birds",1.09422436117177e-08,0,0.5
4,"small divers",6.3888346697951e-11,0,2024.48168100656
4,"squids",2.00020147282632e-08,2.02527814873192e-05,902.014690524033
4,"toothfishes",6.44296275703341e-10,0.00339295242209393,9.45805426316183
4,"leopard seals",8.95828035930418e-10,0,0.5
4,"medium divers",3.06100320075338e-09,0,0.5
4,"large divers",6.3798214799565e-11,0,0.5
4,"minke whales",5.4595654501122e-10,0.124146626914274,2867.72355631986
4,"orca",7.96490641676527e-09,0.673594131082297,0.5
4,"sperm whales",1.10952513570407e-10,0.454758820007677,0.5
4,"baleen whales",3.11919162271451e-09,1,0.5
5,"mesozooplankton",4.96367733251556e-13,0,0.5
5,"other krill",1.03056749628583e-12,0,1.92361575113227
5,"other macrozooplankton",2.5497934025154e-12,0,0.5
5,"antarctic krill",9.42215094485044e-12,0.0371756167949949,0.5
5,"salps",7.32918782922745e-12,0,1.00073399409794
5,"mesopelagic fishes",1.38386174710262e-10,0,76.6799747920235
5,"bathypelagic fishes",1.08091898071688e-11,0.002198707262436,8.11930885502543
5,"shelf and coastal fishes",1.0162885198331e-09,3.63384322662916e-05,0.5
5,"flying birds",3.45313274214385e-10,0,5.00206252295323
5,"small divers",1.59271298379494e-11,0,0.5
5,"squids",4.15034493184643e-10,3.65709559733926e-05,1.11014225791736
5,"toothfishes",1.04200898188492e-08,0.00108536125836775,0.5
5,"leopard seals",4.28949631401391e-10,0,37.4924033959335
5,"medium divers",3.02726622106308e-10,0,2.6832162823767
5,"large divers",1.54246988379358e-10,0,0.5
5,"minke whales",5.4595654501122e-10,0.293887097944044,0.5
5,"orca",3.34791440779851e-09,0.213854478702596,30.5283151010028
5,"sperm whales",1.09131047338419e-10,1,13.6624154633764
5,"baleen whales",6.61953101166426e-08,0.0128951225502085,0.5
6,"mesozooplankton",5.82274564842669e-13,0,7.8094792584486
6,"other krill",4.85024033127193e-12,0,0.5
6,"other macrozooplankton",2.15666358889939e-11,0,0.5
6,"antarctic krill",1.69245887831531e-12,0.0649675703126448,674.190850388539
6,"salps",7.32918782922745e-12,0,0.5
6,"mesopelagic fishes",1.79581383786006e-11,0,0.5
6,"bathypelagic fishes",8.10011170859365e-12,0.00176623523939189,0.5
6,"shelf and coastal fishes",2.04492835494462e-10,1.96425697212556e-05,1.48516578783382
6,"flying birds",3.06330344825984e-09,0,4.25985490928
6,"small divers",6.66290980333534e-12,0,104.07744474369
6,"squids",4.15034493184643e-10,8.14994874259889e-06,0.553539811952027
6,"toothfishes",8.33607185507934e-11,0.000405502776320631,0.5
6,"leopard seals",1.34310954884276e-10,0,0.751432282041264
6,"medium divers",9.16836186369596e-09,0,1.93436969738136
6,"large divers",6.3798214799565e-11,0,0.5
6,"minke whales",2.32198091338844e-09,0.723898914654115,0.5
6,"orca",1.50286304799228e-07,0.914826647067064,0.5
6,"sperm whales",1.44994989528499e-10,1,0.5
6,"baleen whales",3.11919162271451e-09,0.152436125011585,24.200852108732
7,"mesozooplankton",4.96367733251556e-13,0,0.5
7,"other krill",1.03056749628583e-12,0,14.3738049914612
7,"other macrozooplankton",1.12625504113832e-12,0,0.5
7,"antarctic krill",1.69245887831531e-12,0.0351414695440784,0.5
7,"salps",7.32918782922745e-12,0,0.5
7,"mesopelagic fishes",2.81862052364399e-11,0,6.19915918949568
7,"bathypelagic fishes",7.67549989317749e-12,0.0062367457595909,0.5
7,"shelf and coastal fishes",2.59480090225272e-09,2.55566637207943e-05,13.6774096681705
7,"flying birds",8.97811119357923e-10,0,0.5
7,"small divers",4.91566158717923e-11,0,0.890772422213922
7,"squids",1.06135131913898e-09,4.01157287281553e-05,1.60732348624205
7,"toothfishes",8.33607185507934e-11,0.000690033553997899,25.3555387218042
7,"leopard seals",1.34310954884276e-10,0,0.5
7,"medium divers",5.57398856091075e-10,0,0.864842726381766
7,"large divers",4.82716480089963e-10,0,0.5
7,"minke whales",5.63311411916702e-09,1,8.69495079333906
7,"orca",3.34791440779851e-09,0.217168642015339,1.47434197742225
7,"sperm whales",1.09131047338419e-10,1,42.2643468010973
7,"baleen whales",1.54371887304475e-07,0.106216759142641,3.75728451882238
8,"mesozooplankton",4.96367733251556e-13,0,1.03863690580592
8,"other krill",1.07967945418639e-12,0,0.551241095011043
8,"other macrozooplankton",1.12625504113832e-12,0,2.93276054898294
8,"antarctic krill",2.11557359789414e-10,0.0194830038207216,8.54732627286251
8,"salps",1.50761104717898e-11,0,7666.61361502678
8,"mesopelagic fishes",4.69544187876804e-11,0,0.5
8,"bathypelagic fishes",7.67549989317749e-12,0.000732990576421655,1007.74002045111
8,"shelf and coastal fishes",6.26565619022774e-10,3.30346345713001e-05,525.271658169655
8,"flying birds",3.45313274214385e-10,0,0.824580656289371
8,"small divers",8.07200635530834e-12,0,0.5
8,"squids",4.15034493184643e-10,3.72166668367089e-06,4.76895464460676
8,"toothfishes",1.04200898188492e-08,0.00112925929875578,0.5
8,"leopard seals",2.34375971497205e-10,0,2677.65110056964
8,"medium divers",3.02726622106308e-10,0,0.5
8,"large divers",1.28733951263044e-10,0,37.4287493006219
8,"minke whales",3.16860071112271e-08,0.103632356139639,0.5
8,"orca",6.67698809622384e-09,0.0771085461652594,10.1045227740367
8,"sperm whales",1.09131047338419e-10,0.161249715982806,0.5
8,"baleen whales",4.70188563672452e-09,0.0792037464565056,0.732884603067898
9,"mesozooplankton",2.27943138140754e-12,0,0.5
9,"other krill",6.88627294873995e-12,0,0.5
9,"other macrozooplankton",2.34860477530126e-12,0,0.5
9,"antarctic krill",2.40611598516672e-11,0.0686347110675417,0.5
9,"salps",2.92067629403596e-11,0,0.5
9,"mesopelagic fishes",2.57428872778668e-11,0,18.0729694532497
9,"bathypelagic fishes",6.77725555272783e-10,0.00695517862302177,0.5
9,"shelf and coastal fishes",6.46131916243631e-10,9.86045228910025e-06,0.5
9,"flying birds",1.09081872086336e-09,0,58.7085514187668
9,"small divers",4.73513036590333e-10,0,6.15744474296979
9,"squids",4.15034493184643e-10,0.000151264186199466,0.5
9,"toothfishes",8.33607185507934e-11,0.000624427140852303,0.5
9,"leopard seals",4.20604040951044e-09,0,547.486964745386
9,"medium divers",5.36480751149025e-10,0,0.5
9,"large divers",6.3798214799565e-11,0,1.28646517982271
9,"minke whales",5.4595654501122e-10,0.994918104567645,0.706815067386723
9,"orca",3.34791440779851e-09,0.19211640352805,7.27779949906723
9,"sperm whales",1.80589277032059e-09,1,9.80216957721701
9,"baleen whales",3.31341182187789e-09,0.0765015721254546,0.5
10,"mesozooplankton",4.96367733251556e-13,0,0.5
10,"other krill",2.42093967969454e-12,0,0.5
10,"other macrozooplankton",9.97769926640463e-12,0,0.5
10,"antarctic krill",9.8906310418378e-12,0.0366857910812874,1.76206000745614
10,"salps",7.32918782922745e-12,0,0.5
10,"mesopelagic fishes",6.78014843856141e-12,0,5.35240199635221
10,"bathypelagic fishes",7.67549989317749e-12,0.00343604067931344,0.5
10,"shelf and coastal fishes",2.04492835494462e-10,0.00016813126710886,38.6541898863224
10,"flying birds",2.76209158639826e-09,0,0.5
10,"small divers",1.59169138657507e-11,0,0.526784581848923
10,"squids",1.56588548260358e-08,4.27246355053103e-05,0.5
10,"toothfishes",5.64829943998974e-10,0.000502849436596454,0.5
10,"leopard seals",1.34310954884276e-10,0,0.5
10,"medium divers",3.40495077881185e-09,0,0.5
10,"large divers",1.47191888387402e-10,0,0.5
10,"minke whales",1.96341564860946e-09,0.544748995788269,131.491034007893
10,"orca",1.3548068827833e-08,0.394421607071287,0.584152088017349
10,"sperm whales",1.09131047338419e-10,0.846444083256136,1.51413960052058
10,"baleen whales",3.11919162271451e-09,0.436851555040193,0.5
11,"mesozooplankton",4.11184145297613e-12,0,0.541575730572222
11,"other krill",3.63814052447283e-12,0,0.5
11,"other macrozooplankton",1.12625504113832e-12,0,0.5
11,"antarctic krill",8.66721755355165e-12,0.0166987031221322,21.3074584622935
11,"salps",7.32918782922745e-12,0,36.7041939190126
11,"mesopelagic fishes",6.78014843856141e-12,0,0.5
11,"bathypelagic fishes",4.21950356152768e-10,0.0289461923762525,0.5
11,"shelf and coastal fishes",2.04492835494462e-10,0.000152227894422988,1.25148150317686
11,"flying birds",2.66439506562898e-09,0,0.5
11,"small divers",3.70341879515374e-11,0,2.84553972434095
11,"squids",6.72655195940316e-09,2.24489756390489e-05,0.5
