"Year","Species","min_biomass_t","median_biomass_t","max_biomass_t","q05_biomass_t","q95_biomass_t","ObsBiomass_t"
1881,"squids",40771.4319089424,141037.265184043,431281.287621808,89839.7480282914,300123.199392585,221151.2
1881,"toothfishes",2241.07378694234,1022861.08454221,2770173.86400781,151520.497365661,1831411.59599983,1105756
1882,"antarctic krill",151990.513225245,13478458.272969,58223769.554204,1770256.51377283,36804727.1703743,5897364
1882,"baleen whales",107975.109826525,872686.737567435,111035541.481476,177254.237751687,18951169.7894734,187241.3
1882,"bathypelagic fishes",314154.787136983,2343306.78150924,7659500.06122233,961385.44971206,4475801.47235683,1769209
1882,"flying birds",3958.11227974641,6022.79270508943,6615.05181617878,5437.96203077282,6299.98537241673,4423.023
1882,"large divers",2221.32020413321,18620.963018547,3596114.73380121,5701.81967893109,274542.358206167,16217.75
1882,"leopard seals",522.707151485906,3297.20131193029,34623.3867104835,1898.68399698674,4657.39522765767,2948.682
1882,"medium divers",63570.5202226215,416961.155689545,1654153.66696082,156713.957637152,857453.522819984,390700.4
1882,"mesopelagic fishes",22482.2932766973,1747396.67377276,4677439.92770955,499214.933940707,3570284.56765535,1769209
1882,"mesozooplankton",6111735.99045372,18283658.2908474,30125907.4026922,10254248.662029,25615675.3523481,12974200
1882,"minke whales",2072.82846485793,26941.4407749842,206932021.813902,7240.48636101761,20947253.0480687,20640.77
1882,"orca",4592.1872406225,8951.53629232671,322274.702761617,6904.51497196874,19055.1684951421,8846.046
1882,"other krill",211466.753863372,12014405.8934576,127748077.185129,1532366.5199742,78034934.6552301,2801248
1882,"other macrozooplankton",1402245.11508672,19298227.3387541,38793977.9146332,8160379.28449751,29310316.7476267,14743410
1882,"salps",105839.302359416,1086101.86792802,2892488.82431591,418195.217447642,2076250.34251881,961270.3
1882,"shelf and coastal fishes",1233190.2150481,4864177.01499739,7559937.52358454,2553705.51197162,6256293.67333086,4027900
1882,"small divers",11076.3780802184,37822.5172151536,48213.0927865753,22181.3054195508,42789.1466938892,23589.46
1882,"sperm whales",10888.6262523179,24533.5904195406,13699239.53051,14603.8623224453,2743160.79779433,16217.75
1882,"squids",40301.3922990357,140530.442911464,431290.88075948,89357.3778452106,299791.58246161,221151.2
1882,"toothfishes",2257.31049598323,1023365.76596014,2769937.31045042,152254.599947336,1831000.29048045,1105756
1883,"antarctic krill",164621.025510222,13819058.4725851,58125210.2677792,1836454.63624619,36868259.413284,5897364
1883,"baleen whales",108058.555568519,871838.406362918,110893781.183546,177288.823060738,18927182.5285212,187241.3
1883,"bathypelagic fishes",320593.295528481,2381903.91010609,7681347.28149267,982369.457457896,4506770.16439453,1769209
1883,"flying birds",3958.62658868366,6022.96080286081,6614.45043549507,5443.64476432192,6299.83483896963,4423.023
1883,"large divers",2230.66472960766,18619.1822721716,3576541.27072032,5706.08756884829,272799.975279751,16217.75
1883,"leopard seals",527.282038872818,3297.05531810739,34328.1832875116,1902.54725049718,4657.63892427616,2948.682
1883,"medium divers",63798.9612021228,416778.239598003,1648048.70704561,156827.694463221,856555.824066195,390700.4
1883,"mesopelagic fishes",23186.4693310175,1790784.88084423,4704733.84583172,512108.564209302,3594904.17897888,1769209
1883,"mesozooplankton",6391675.70653218,18123377.4651767,29533953.5687485,9855227.51836938,25256042.2028455,12974200
1883,"minke whales",2073.70649918377,26897.9207304685,206246354.425033,7255.83398260664,20874615.3862538,20640.77
1883,"orca",4601.61666717913,8952.0219678691,321421.56525584,6908.79058879262,19028.0778994275,8846.046
1883,"other krill",234755.377917354,12130302.4253828,124243912.585514,1691148.92609114,75964841.4194847,2801248
1883,"other macrozooplankton",1513417.65389272,20191159.3935729,39679325.324389,8699812.59237774,30035440.7059698,14743410
1883,"salps",109567.14621944,1100736.04632889,2904059.65901314,430943.602486051,2093699.71239003,961270.3
1883,"shelf and coastal fishes",1239108.5758363,4861698.1866152,7562822.49490994,2564645.37750765,6257234.22929903,4027900
1883,"small divers",11093.6613312622,37869.3875801599,48204.7353664725,22216.8549785058,42779.2288795234,23589.46
1883,"sperm whales",10896.7025769017,24521.6732107712,13674517.2688495,14609.2312104081,2738235.25954843,16217.75
1883,"squids",40056.6064502132,140283.868795417,431222.3884009,89226.9461960407,299520.692914946,221151.2
1883,"toothfishes",2280.03094502645,1024035.48934536,2769776.15550937,153058.228211433,1830594.54790318,1105756
1884,"antarctic krill",173317.242657741,13768255.2416062,57901137.1410286,1895297.86277261,36729213.1715213,5897364
1884,"baleen whales",108136.567303089,870991.315784315,110752195.432981,177317.864957102,18903225.0892221,187241.3
1884,"bathypelagic fishes",330810.217615278,2422414.16260048,7716245.94640791,1009149.80272277,4548562.27757385,1769209
1884,"flying birds",3957.76171610771,6022.73222759748,6613.74273761981,5441.29555204645,6299.40907876149,4423.023
1884,"large divers",2241.53946937124,18611.2969520303,3557062.28615138,5713.81379169293,271074.180859048,16217.75
1884,"leopard seals",532.250202287824,3300.55461115372,34036.6744667224,1902.82668898167,4657.58375602861,2948.682
1884,"medium divers",64061.4907954931,416762.698251168,1641987.36329272,156985.391027783,855677.224263665,390700.4
1884,"mesopelagic fishes",23987.191942922,1820981.01065017,4729879.21267658,524461.068571387,3632015.03271362,1769209
1884,"mesozooplankton",5257271.39604022,17650998.7283598,29129953.4133324,9129708.25174073,24929667.7979705,12974200
1884,"minke whales",2079.97791582589,26887.3000649132,205562935.609172,7273.44043513592,20802215.7827109,20640.77
1884,"orca",4610.6890516259,8952.03571474786,320570.713806351,6912.48995762389,19000.2425924411,8846.046
1884,"other krill",238297.356710005,11559481.6040839,121812650.14828,1687515.49219466,73755475.8853812,2801248
1884,"other macrozooplankton",1585915.78312986,19497037.1740181,39081012.3321474,8603429.275369,28902681.8131296,14743410
1884,"salps",111593.202185172,1096415.95681357,2915166.58717082,434168.34344962,2099335.57839456,961270.3
1884,"shelf and coastal fishes",1253071.17700421,4868973.61041012,7570803.29384473,2594741.73962296,6263015.26323801,4027900
1884,"small divers",11097.0472992492,37879.7126787963,48197.3764888143,22221.275803804,42771.8324589219,23589.46
1884,"sperm whales",10904.7798700316,24509.3855380492,13649839.2279595,14614.1297580073,2733317.77923723,16217.75
1884,"squids",40443.7255883802,140585.341546053,431314.555056388,89700.7483936929,299535.522028638,221151.2
1884,"toothfishes",2296.09006530311,1025093.79960197,2769883.04532112,153944.270812428,1830297.00423456,1105756
1885,"antarctic krill",170063.642262546,13346171.5358432,57558631.2213539,1839543.59473677,36253387.8985055,5897364
1885,"baleen whales",108208.712201501,870145.319367185,110610783.327496,177340.754662065,18879297.2254472,187241.3
1885,"bathypelagic fishes",333657.455602575,2424491.18609314,7733052.57486536,1004066.06232556,4562562.48777922,1769209
1885,"flying birds",3955.85684933837,6020.31670360936,6612.88553617375,5431.71247436146,6297.63565336965,4423.023
1885,"large divers",2252.70134534038,18601.32599405,3537675.56937748,5730.82836828,269359.402038534,16217.75
1885,"leopard seals",537.347646113652,3301.36885040004,33748.1348069559,1907.12130637591,4657.46235251312,2948.682
1885,"medium divers",64332.2828595809,416760.047682164,1635955.17908253,157149.506217041,854776.98202435,390700.4
1885,"mesopelagic fishes",23659.2582190312,1813594.536245,4724852.21306127,522648.383507506,3638876.97593923,1769209
1885,"mesozooplankton",3936678.65288376,16647295.47574,27745586.7419458,7686729.2660246,23808885.5117356,12974200
