"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsYield_t"
1849,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1849,"flying birds",2111,0,0,0,0,0,0,0,NA
1849,"small divers",2111,0,0,0,0,0,0,0,NA
1849,"squids",2111,0,0,0,0,0,0,0,NA
1849,"toothfishes",2111,0,0,0,0,0,0,0,NA
1849,"leopard seals",2111,0,0,0,0,0,0,0,NA
1849,"medium divers",2111,0,0,0,0,0,0,0,NA
1849,"large divers",2111,0,0,0,0,0,0,0,NA
1849,"minke whales",2111,0,0,0,0,0,0,0,NA
1849,"orca",2111,0,0,0,0,0,0,0,NA
1849,"sperm whales",2111,0,0,0,0,0,0,0,NA
1849,"baleen whales",2111,0,0,0,0,0,0,0,NA
1850,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1850,"other krill",2111,0,0,0,0,0,0,0,NA
1850,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1850,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1850,"salps",2111,0,0,0,0,0,0,0,NA
1850,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1850,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1850,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1850,"flying birds",2111,0,0,0,0,0,0,0,NA
1850,"small divers",2111,0,0,0,0,0,0,0,NA
1850,"squids",2111,0,0,0,0,0,0,0,NA
1850,"toothfishes",2111,0,0,0,0,0,0,0,NA
1850,"leopard seals",2111,0,0,0,0,0,0,0,NA
1850,"medium divers",2111,0,0,0,0,0,0,0,NA
1850,"large divers",2111,0,0,0,0,0,0,0,NA
1850,"minke whales",2111,0,0,0,0,0,0,0,NA
1850,"orca",2111,0,0,0,0,0,0,0,NA
1850,"sperm whales",2111,0,0,0,0,0,0,0,NA
1850,"baleen whales",2111,0,0,0,0,0,0,0,NA
1851,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1851,"other krill",2111,0,0,0,0,0,0,0,NA
1851,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1851,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1851,"salps",2111,0,0,0,0,0,0,0,NA
1851,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1851,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1851,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1851,"flying birds",2111,0,0,0,0,0,0,0,NA
1851,"small divers",2111,0,0,0,0,0,0,0,NA
1851,"squids",2111,0,0,0,0,0,0,0,NA
1851,"toothfishes",2111,0,0,0,0,0,0,0,NA
1851,"leopard seals",2111,0,0,0,0,0,0,0,NA
1851,"medium divers",2111,0,0,0,0,0,0,0,NA
1851,"large divers",2111,0,0,0,0,0,0,0,NA
1851,"minke whales",2111,0,0,0,0,0,0,0,NA
1851,"orca",2111,0,0,0,0,0,0,0,NA
1851,"sperm whales",2111,0,0,0,0,0,0,0,NA
1851,"baleen whales",2111,0,0,0,0,0,0,0,NA
1852,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1852,"other krill",2111,0,0,0,0,0,0,0,NA
1852,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1852,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1852,"salps",2111,0,0,0,0,0,0,0,NA
1852,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1852,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1852,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1852,"flying birds",2111,0,0,0,0,0,0,0,NA
1852,"small divers",2111,0,0,0,0,0,0,0,NA
1852,"squids",2111,0,0,0,0,0,0,0,NA
1852,"toothfishes",2111,0,0,0,0,0,0,0,NA
1852,"leopard seals",2111,0,0,0,0,0,0,0,NA
1852,"medium divers",2111,0,0,0,0,0,0,0,NA
1852,"large divers",2111,0,0,0,0,0,0,0,NA
1852,"minke whales",2111,0,0,0,0,0,0,0,NA
1852,"orca",2111,0,0,0,0,0,0,0,NA
1852,"sperm whales",2111,0,0,0,0,0,0,0,NA
1852,"baleen whales",2111,0,0,0,0,0,0,0,NA
1853,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1853,"other krill",2111,0,0,0,0,0,0,0,NA
1853,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1853,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1853,"salps",2111,0,0,0,0,0,0,0,NA
1853,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1853,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1853,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1853,"flying birds",2111,0,0,0,0,0,0,0,NA
1853,"small divers",2111,0,0,0,0,0,0,0,NA
1853,"squids",2111,0,0,0,0,0,0,0,NA
1853,"toothfishes",2111,0,0,0,0,0,0,0,NA
1853,"leopard seals",2111,0,0,0,0,0,0,0,NA
1853,"medium divers",2111,0,0,0,0,0,0,0,NA
1853,"large divers",2111,0,0,0,0,0,0,0,NA
1853,"minke whales",2111,0,0,0,0,0,0,0,NA
1853,"orca",2111,0,0,0,0,0,0,0,NA
1853,"sperm whales",2111,0,0,0,0,0,0,0,NA
1853,"baleen whales",2111,0,0,0,0,0,0,0,NA
1854,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1854,"other krill",2111,0,0,0,0,0,0,0,NA
1854,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1854,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1854,"salps",2111,0,0,0,0,0,0,0,NA
1854,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1854,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1854,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1854,"flying birds",2111,0,0,0,0,0,0,0,NA
1854,"small divers",2111,0,0,0,0,0,0,0,NA
1854,"squids",2111,0,0,0,0,0,0,0,NA
1854,"toothfishes",2111,0,0,0,0,0,0,0,NA
1854,"leopard seals",2111,0,0,0,0,0,0,0,NA
1854,"medium divers",2111,0,0,0,0,0,0,0,NA
1854,"large divers",2111,0,0,0,0,0,0,0,NA
1854,"minke whales",2111,0,0,0,0,0,0,0,NA
1854,"orca",2111,0,0,0,0,0,0,0,NA
1854,"sperm whales",2111,0,0,0,0,0,0,0,NA
1854,"baleen whales",2111,0,0,0,0,0,0,0,NA
1855,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1855,"other krill",2111,0,0,0,0,0,0,0,NA
1855,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1855,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1855,"salps",2111,0,0,0,0,0,0,0,NA
1855,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1855,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1855,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1855,"flying birds",2111,0,0,0,0,0,0,0,NA
