"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsBiomass_t"
1868,"mesopelagic fishes",2111,27822.7025885731,521873.601146525,1247872.66313359,1766245.52291882,2615404.31164682,3580784.05148414,4679727.96894031,NA
1868,"bathypelagic fishes",2111,325863.384163388,985762.653002509,1643915.69482888,2376154.16363584,3282866.99436127,4511288.82399598,7709334.68261625,NA
1868,"shelf and coastal fishes",2111,1207933.46111427,2522280.91273042,4185926.48193793,4870209.83168346,5545340.21255781,6270015.21914136,7579049.78971515,NA
1868,"flying birds",2111,3960.72951005452,5440.311572495,5948.74387250862,6025.4280569688,6123.71082756978,6313.02098924748,6624.0643734332,NA
1868,"small divers",2111,11091.9515599499,22174.4951572535,35255.3336760695,37888.8660926631,40280.1845740167,42895.0924068818,48348.6399862813,NA
1868,"squids",2111,39044.2022293036,88837.3886355308,120472.808628704,140677.824760395,167692.934553721,298948.883932311,431281.276529478,NA
1868,"toothfishes",2111,2333.01153211098,144252.579514795,617248.140071516,1014589.79635423,1357623.89143628,1832766.74170962,2767923.51926593,NA
1868,"leopard seals",2111,470.030566434084,1828.11247479862,2591.55141173818,3286.6725219019,3775.43783775724,4647.34191861429,39076.419953906,NA
1868,"medium divers",2111,60505.5859393885,154204.742819421,277311.783690044,417586.416979263,659262.664007698,876725.702947309,1742911.04340951,NA
1868,"large divers",2111,2099.19671211322,5616.86797627711,11074.2994192374,18745.6076164474,43532.2829588312,296332.901945654,3880224.99455251,NA
1868,"minke whales",2111,2067.10721192054,6931.87524381854,13600.6456666583,27131.0458077286,90926.6246159978,21989804.5032943,216772973.586848,NA
1868,"orca",2111,4458.10797497784,6837.80611419944,8335.39599392655,8947.16466127042,10194.5162327083,19445.7495508508,334466.861877349,NA
1868,"sperm whales",2111,10776.3393689366,14531.3466895267,20507.9830339122,24722.5962512704,112801.068059948,2813065.22685524,14050091.3350452,NA
1868,"baleen whales",2111,106870.550105753,176841.49806759,879995.492846701,884676.882145559,3343576.78719375,19290276.5332454,113039442.029599,NA
1869,"mesozooplankton",2111,4991745.64826179,8203294.94498712,12529036.152813,17060217.5988903,20174122.4172154,24391675.4539729,28506708.3683423,NA
1869,"other krill",2111,181768.50241681,1400148.83095175,5215434.82239048,11465453.1801041,31015547.9237909,78467440.6241887,127428059.360847,NA
1869,"other macrozooplankton",2111,1403392.7453295,7914578.94374154,15238750.7342374,19049035.2747371,22997181.1727936,28332235.6182025,38137807.0127886,NA
1869,"antarctic krill",2111,146504.145892354,1773105.03291048,7201826.97565521,13186316.8827523,24292228.2835582,36523884.629239,57902518.8090942,NA
1869,"salps",2111,104918.998199918,411161.596070423,826654.434501563,1073799.0764071,1553612.4699562,2076174.4348646,2899832.19933929,NA
1869,"mesopelagic fishes",2111,27469.4546513334,527664.799214861,1266279.90810756,1779342.90148625,2624311.82642373,3583605.0143229,4684994.8385071,NA
1869,"bathypelagic fishes",2111,322969.748028031,990549.212096124,1651007.52769982,2375863.96044662,3281305.03388627,4504419.01695356,7694447.16768124,NA
1869,"shelf and coastal fishes",2111,1212069.98392935,2527768.26979114,4187068.23882291,4872054.19951287,5545264.21061269,6269929.47129095,7577959.08049589,NA
1869,"flying birds",2111,3962.33065988391,5450.65714533243,5951.26350461744,6026.5456980895,6124.79664347705,6313.4654577167,6623.55405851027,NA
1869,"small divers",2111,11121.7319772141,22227.2016216956,35303.8448745542,37942.4614594232,40299.0594011806,42904.5184300004,48339.833714989,NA
1869,"squids",2111,38644.1491494251,88521.6179356489,120570.215242392,140538.773839289,167482.012891263,298873.330621106,431267.686872372,NA
1869,"toothfishes",2111,2345.17494029553,144885.782500132,617717.86967901,1014996.21409621,1357801.98322689,1832798.18570405,2768288.87683924,NA
1869,"leopard seals",2111,472.924204105554,1832.70199846447,2591.73872761598,3286.22146359313,3774.76540717658,4648.40767256987,38737.3282504258,NA
1869,"medium divers",2111,60683.8118075404,154382.467712242,277285.838119011,417446.89534226,657848.144482042,874841.075673248,1736361.0922988,NA
1869,"large divers",2111,2106.05213107229,5619.18682215602,11078.4724135554,18733.9991100664,43494.5245425947,294673.556141973,3859297.90406771,NA
1869,"minke whales",2111,2061.51427061264,6940.67401240099,13591.9301556496,27125.7981301044,90509.9455636856,21913731.2895747,216054887.844703,NA
1869,"orca",2111,4467.86108337627,6843.72857219966,8337.80251520111,8946.90419130591,10191.8724626675,19418.0556743431,333580.519947607,NA
1869,"sperm whales",2111,10784.4207745309,14536.9548264684,20503.5792696785,24709.4172188384,112628.720140464,2808014.2409232,14024735.4273191,NA
1869,"baleen whales",2111,106959.255931436,176881.438883049,879122.177294696,883813.138155522,3339564.40006954,19265851.5429526,112895124.203929,NA
1870,"mesozooplankton",2111,4821558.15473873,8724714.91222511,12753528.009476,17197770.0530595,20261762.8019847,24346571.1333602,28537798.271002,NA
1870,"other krill",2111,190393.655005769,1432562.16483657,5189541.58320573,11343353.6142741,30426826.6707593,75965037.8880328,125148846.112002,NA
1870,"other macrozooplankton",2111,1425826.85355076,7902103.14007353,15109821.906446,18541955.7619305,22594185.061729,27747298.4297846,37492069.1321743,NA
1870,"antarctic krill",2111,146944.907925106,1769602.65340151,7228791.57956203,13200326.4269063,24300786.8902609,36425956.2024812,57647052.6192547,NA
